mese,fascia,peso,n_anni_6190,n_anni_9120,media_1961_1990,media_1991_2020,t_2003,t_2026,vs_1961_1990,vs_1991_2020,vs_2003
5,giorno,area,30,30,16.31246369145043,17.482596579132963,19.875459412296873,18.573846666935403,2.261382975484974,1.0912500878024396,-1.3016127453614708
5,giorno,pop,30,30,17.727253258130457,18.965776009324955,21.534760898575204,20.210693791706696,2.483440533576239,1.2449177823817408,-1.3240671068685081
5,notte,area,30,30,11.476980885290109,12.471844112316148,14.19454544691837,13.400805653546087,1.9238247682559777,0.9289615412299383,-0.7937397933722838
5,notte,pop,30,30,13.02718705604142,14.07186697605432,15.844895898593442,15.101739507857518,2.074552451816098,1.029872531803198,-0.7431563907359244
6,giorno,area,30,30,20.29943681302979,21.99749295921055,25.669080643329053,25.447015874201615,5.147579061171825,3.4495229149910642,-0.22206476912743867
6,giorno,pop,30,30,21.601031264214452,23.339794458505462,27.355045119637857,26.928578501054723,5.327547236840271,3.5887840425492605,-0.4264666185831345
6,notte,area,30,30,15.284019688860619,16.759067860198662,19.85220422808976,19.784101799587877,4.5000821107272575,3.025033939389214,-0.0681024285018843
6,notte,pop,30,30,16.803377956200134,18.327360973318985,21.795881214966375,21.473948018952676,4.670570062752542,3.146587045633691,-0.3219331960136991
