mese,giorni,peso,stat,n_anni_6190,n_anni_9120,media_1961_1990,media_1991_2020,t_2003,t_2026,vs_1961_1990,vs_1991_2020,vs_2003
5,1-31,area,max,30,30,18.26986463607789,19.47438993756812,22.075602076645534,20.538199762644386,2.2683351265664946,1.063809825076266,-1.5374023140011488
5,1-31,area,mean,30,30,13.88894238305703,14.975225112282052,17.05401565283022,15.987405650915528,2.0984632678584987,1.0121805386334763,-1.0666100019146914
5,1-31,area,min,30,30,9.187471533728147,10.114477229522045,11.539256380617363,10.965496746702744,1.7780252129745975,0.8510195171806991,-0.5737596339146194
5,1-31,pop,max,30,30,19.647724110515927,20.92591065667728,23.744064270590865,22.17379231969757,2.5260682091816413,1.2478816630202871,-1.5702719508932965
5,1-31,pop,mean,30,30,15.371020069483006,16.516479191088337,18.70920530330244,17.657106934949557,2.286086865466551,1.14062774386122,-1.0520983683528833
5,1-31,pop,min,30,30,10.651055974994884,11.630264570453658,13.053891920797891,12.526883450428306,1.8758274754334217,0.896618879974648,-0.5270084703695854
6,1-30,area,max,30,30,22.29874952510118,24.0288029352862,27.867156621351114,27.58626011223036,5.28751058712918,3.5574571769441583,-0.2808965091207547
6,1-30,area,mean,30,30,17.788956525749374,19.37044587212359,22.736820296697047,22.62509946643401,4.836142940684635,3.254653594310419,-0.1117208302630388
6,1-30,area,min,30,30,12.864483589518791,14.23537031402617,17.002434454498527,17.05808561313458,4.193602023615789,2.8227152991084097,0.055651158636052855
6,1-30,pop,max,30,30,23.54050603071029,25.328376884880125,29.58694409218036,29.051091560477698,5.510585529767408,3.7227146755975724,-0.5358525317026626
6,1-30,pop,mean,30,30,19.19876604659328,20.825801283810016,24.548382749556367,24.216188074457822,5.017422027864541,3.3903867906478062,-0.3321946750985454
6,1-30,pop,min,30,30,14.339646372055642,15.758300247230537,18.841778986187542,18.739724774300377,4.400078402244736,2.9814245270698407,-0.10205421188716457
