peso,stat,giorno,t_2026,clim_1961_1990,clim_1991_2020,t_2003,vs_1961_1990,vs_1991_2020,vs_2003
area,min,5,14.168885278214448,11.408882445293182,12.900047114235731,14.719984406752964,2.7600028329212662,1.2688381639787174,-0.5510991285385156
area,min,6,14.699500272689642,11.698749320063635,12.944019109775917,15.50238023227718,3.0007509526260066,1.7554811629137248,-0.8028799595875373
area,min,7,14.123302740853871,11.781775755876541,13.03017660689634,15.507063405777997,2.34152698497733,1.093126133957531,-1.3837606649241252
area,min,8,15.195748539570058,11.85967441895475,13.414190489864868,15.85503925597443,3.336074120615308,1.7815580497051897,-0.6592907164043726
area,min,9,15.501254111581492,11.873005770810583,13.410536573651136,16.027995936754028,3.6282483407709094,2.090717537930356,-0.526741825172536
area,min,10,15.32867391547385,11.928225793946815,13.654359281592242,16.436664837465475,3.4004481215270346,1.6743146338816075,-1.1079909219916253
area,min,11,14.509293941409757,12.117751691439357,13.885287698859765,17.163017735117638,2.3915422499703993,0.6240062425499922,-2.653723793707881
area,min,12,13.802341243338164,12.46005941980819,13.8201201780813,17.936659059275346,1.3422818235299747,-0.017778934743136077,-4.134317815937182
area,min,13,14.093740065488925,12.560583116964079,13.82124831533197,18.39593649100361,1.5331569485248462,0.2724917501569557,-4.302196425514685
area,min,14,15.452656908791791,12.947696168000814,13.86932480837391,18.685723402020635,2.5049607407909775,1.5833321004178806,-3.2330664932288435
area,min,15,15.436404074554112,13.22342026907898,14.178764077670536,18.70190989904256,2.2129838054751314,1.2576399968835759,-3.2655058244884465
area,min,16,16.142001699259037,12.989908218335746,14.516080253738593,18.769333131181757,3.1520934809232912,1.6259214455204436,-2.6273314319227197
area,min,17,16.4585692246982,12.898027311490651,14.650619950909983,18.326625773724807,3.5605419132075475,1.807949273788216,-1.8680565490266083
area,min,18,17.46933478646455,12.670241823366181,14.586472639064567,17.613688359708235,4.799092963098369,2.882862147399983,-0.14435357324368425
area,min,19,18.57721607086535,12.72475004966596,14.63609386721798,16.73856217397549,5.85246602119939,3.941122203647371,1.8386538968898591
