data,fascia,t_area,t_pop,n_ore
1961-05-01,giorno,14.096314216350777,16.05810902103082,12
1961-05-02,giorno,15.313854298399985,16.974050302079668,12
1961-05-02,notte,9.206570920432899,10.773130799876817,12
1961-05-03,giorno,15.959614410545202,17.278573786108236,12
1961-05-03,notte,10.03140153021811,11.729414524733684,12
1961-05-04,giorno,17.671336769159417,18.75586025176764,12
1961-05-04,notte,11.170628719381723,12.754894376837553,12
1961-05-05,giorno,18.583938639238013,19.363793068895895,12
1961-05-05,notte,12.571897253387117,14.000116131233911,12
1961-05-06,giorno,19.59814952092414,20.384177008484077,12
1961-05-06,notte,13.532058818628283,14.851957466187864,12
1961-05-07,giorno,19.8983720793887,20.810864218940186,12
1961-05-07,notte,13.723438630187928,14.890654736523807,12
1961-05-08,giorno,19.348084359088716,20.59214738750434,12
1961-05-08,notte,13.750211739507975,15.071013638868436,12
1961-05-09,giorno,17.69851832746625,18.915605457570447,12
1961-05-09,notte,13.26105636672905,14.713839705366969,12
1961-05-10,giorno,14.43057709652572,16.177699194799434,12
1961-05-10,notte,11.703684012850216,13.195907409423636,12
1961-05-11,giorno,13.283783815906594,15.387837385062063,12
1961-05-11,notte,9.223378327551757,10.87698256980446,12
1961-05-12,giorno,12.599955034171145,14.823991591702242,12
1961-05-12,notte,7.945189171438462,9.75064581551836,12
1961-05-13,giorno,14.339609159594637,16.300335294540172,12
1961-05-13,notte,8.180193067684584,10.006249245818243,12
1961-05-14,giorno,16.256030563844146,17.684090523666214,12
1961-05-14,notte,9.175479344913953,11.037932021289985,12
1961-05-15,giorno,17.63468998955882,18.960954399038208,12
1961-05-15,notte,11.470320096146075,13.012940793057892,12
1961-05-16,giorno,18.541974692254318,19.400426908018062,12
1961-05-16,notte,12.885589415657547,14.455485124627314,12
1961-05-17,giorno,16.793843183933333,17.71449894406573,12
1961-05-17,notte,13.508881541649016,14.901441666739954,12
1961-05-18,giorno,14.703026599155812,15.839080219043263,12
1961-05-18,notte,11.414866823638997,12.94972656506671,12
1961-05-19,giorno,13.56732091392829,15.14692515113817,12
1961-05-19,notte,11.056455925423538,12.410736864950234,12
1961-05-20,giorno,14.52408565010434,16.33779092719392,12
1961-05-20,notte,9.957612628592868,11.459381489797693,12
1961-05-21,giorno,14.253742255108481,15.783503625019737,12
1961-05-21,notte,10.437497109820809,12.102617609489524,12
1961-05-22,giorno,13.820461877600797,14.810772772131122,12
1961-05-22,notte,9.765630996241521,11.427094169499494,12
1961-05-23,giorno,15.806455154231722,17.010925480970606,12
1961-05-23,notte,9.695596460672862,11.020313687643378,12
1961-05-24,giorno,16.66736940820176,17.733086836735524,12
