anno,n_tmin20,n_tmin25,n_tmax30,n_tmax35
1961,2.513412848585841,0.0011506454892252563,2.3745192909434274,0.07230992699478613
1962,1.333789976138051,0,1.756916564284865,0.00809514548968609
1963,1.3194545576875754,0,1.2955606636368413,0.015097397121266443
1964,1.2017777290318536,0,1.1907334162218857,0
1965,2.5148773031297034,1.5323629412594206e-4,3.52809791048958,0.10484783744749956
1966,1.7629954718518404,0,1.8025218273699966,0.026444108752975832
1967,0.24916715438192574,0,0.7752884954806076,0.003705689724615227
1968,0.43680613018909836,0,0.5656211157511906,0.0021719258500761756
1969,0.1485024852740714,0,0.1272842078874387,0
1970,0.8947480117346596,0,0.9964669015687688,0.006159571830549746
1971,0.5385350661894891,0,0.5561268803151362,0.003248303442148368
1972,0.7283667053459429,0,0.3274198219155735,0
1973,0.363356765171324,0,0.6917962821811425,0.005368136694221427
1974,0.37451556741023656,0,0.23297870673581625,0.002500278804155979
1975,0.3515566119903299,0,0.6711220646069875,0.021543625707494348
1976,0.5916851660520687,0,1.5406409454087637,0
1977,0.11289271523911258,0,0.39480071263263933,0
1978,0.29189018157754304,0,0.3632064413437531,0
1979,1.2359674504212477,0,1.4568149044554286,0
1980,0.11827751566602857,0,0.18732406075257768,0
1981,1.168476733908392,0,1.8201556879273653,0.04032619625416248
1982,2.2983641523293743,0.15194369354215842,3.237594929358861,0.5286281453025877
1983,0.1206040050101798,0,0.3740154710960736,0
1984,0.17755225619383017,0,0.348118113422139,1.001667294936087e-4
1985,0.4091941592142239,0,0.537384660333588,7.922646362965222e-5
1986,0.9165412431992523,0,0.820153180994128,6.601898080260574e-4
1987,0.6349622992264452,0,1.4876414458737446,0.04526546303149059
1988,0.3988965622756318,0,0.5078645260651932,0.002679542963950853
1989,0.18932636307582276,0,0.4430218868174943,0
1990,1.3474368727482533,0,2.3396338034140376,0.025555880187024593
1991,0.61796425961137,0,1.6784120236942057,0.01696895181619018
1992,0.13988586080437534,0,0.15443152984679134,0
1993,1.2800914108964958,0,1.8864696757853292,0.005428100325256154
1994,1.4010470870265284,0,2.5598210676401925,0.01076919532051418
1995,0.42850991390711995,0,0.690752162921167,0.0023312082773036826
1996,1.2934290146185545,0,3.4351002542878235,0.05025685927348706
1997,2.293985664397216,6.974620065972897e-4,2.628505453040624,0.18593345013921775
1998,2.409246731078875,0.011916541243199252,4.792111934569043,0.2459245837062243
1999,1.8526862987803585,0.007890019364215925,2.194814316432118,0.0882573956834665
2000,1.5152891775139148,0,2.3925414312192452,0.011179521304785016
2001,1.4820447358549518,0,2.959928202169419,0.03370901694115435
2002,6.126125341131862,0.01055711982864374,7.13403340672872,0.4416376541372233
2003,11.364299114001867,0.07019204767597151,14.16312844991341,1.6335639834800473
2004,1.32014330072784,0,2.797001965914925,0.023994724380202233
2005,4.712975480902607,0.012731368278630882,6.459483498019799,0.3932170128600145
2006,5.547985504027222,0.09411659635886381,9.9332156487934,0.9921930043659348
2007,3.1532007546606375,0.15581286849384005,3.652525099286538,0.59283052117483
2008,3.6058491729424484,0.0015952021721839166,4.497996204576812,0.09010378887935476
2009,1.5983090366648203,0,2.4650736273388443,0.022517053136846297
2010,1.4178340281163622,0,1.2788818524761956,0.028225192651367616
2011,1.9493940871398934,0,1.9736327951107429,0.020082452296839328
2012,5.359468954120357,0.011960596908177119,7.586866195203463,0.6136137903448047
2013,2.0061375992980586,6.24705642719617e-5,2.5064269841869655,0.13324980575875744
2014,2.38351512593192,2.750437561233227e-4,4.2323726740590475,0.0637723815220587
2015,1.6858640302085455,0,2.274973082726032,0.00284000512446647
2016,2.6575355002944723,3.473208533527006e-4,2.6770397542468096,0.05712181944366359
2017,7.851150322905904,0.060998791695046316,8.19597062095446,0.6667816415067037
2018,1.7571059667776046,0,1.1422518159136803,0.0038816174512046643
2019,7.267117994527143,0.19477090593378193,8.778880046009599,1.0903269612374664
2020,1.7336072280783896,0,2.016968712182866,0.033339336455325434
2021,6.095811080460575,0.28420552797212145,8.344029895178855,0.9251343467365167
2022,9.84431282840134,0.18168764533530693,12.106836370071273,1.2260914790998267
2023,3.8647969798827826,5.710646447758552e-4,3.4738681150350557,0.05813333013822235
2024,5.1284337289433735,0.10888624882602713,4.891101345541115,0.5548130998321645
2025,11.103391843803312,0.25661009169661314,11.671328352032413,0.9041887720727637
2026,11.247429628448531,0.6334964068826378,13.08963442093068,2.5709360722807837
