"DATAELEZIONE";"CODTIPOELEZIONE";"REGIONE";"COLLEGIO";"COMUNE";"COGNOME";"NOME";"DATANASCITA";"LUOGONASCITA";"SESSO";"TOTVOTI";"CONTRASSEGNO"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"VALGRISENCHE";"RINI";"EMILY MARINELLA";15/8/1982 00:00:00;"AOSTA";"F";"18";"LEGA PER SALVINI PREM.-FORZA IT.-NOI MODERATI-FRAT. D'ITALIA"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"VALGRISENCHE";"GIRARDINI";"GIOVANNI";3/7/1965 00:00:00;"AOSTA";"M";"5";"LA RENAISSANCE VALDOTAINE"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"VALGRISENCHE";"IANNI";"DAVIDE";13/12/1991 00:00:00;"IVREA (TO)";"M";"1";"PARTITO COMUNISTA ITALIANO"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"VALGRISENCHE";"DE ROSA";"LOREDANA";1/11/1961 00:00:00;"ROMA";"F";"1";"UNIONE POPOLARE CON DE MAGISTRIS"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"VALGRISENCHE";"MANES";"FRANCO";21/6/1963 00:00:00;"AOSTA";"M";"67";"VALLEE D?AOSTE ? AUTONOMIE PROGRES FEDERALISME"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"VALPELLINE";"RONC";"LOREDANA AUGUSTA";21/8/1964 00:00:00;"AOSTA";"F";"8";"ITALIA SOVRANA E POPOLARE"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"VALPELLINE";"GUICHARDAZ";"ERIKA";25/11/1976 00:00:00;"AOSTA";"F";"39";"VALLE D'AOSTA APERTA"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"VALPELLINE";"RINI";"EMILY MARINELLA";15/8/1982 00:00:00;"AOSTA";"F";"45";"LEGA PER SALVINI PREM.-FORZA IT.-NOI MODERATI-FRAT. D'ITALIA"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"VALPELLINE";"GIRARDINI";"GIOVANNI";3/7/1965 00:00:00;"AOSTA";"M";"16";"LA RENAISSANCE VALDOTAINE"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"VALPELLINE";"IANNI";"DAVIDE";13/12/1991 00:00:00;"IVREA (TO)";"M";"7";"PARTITO COMUNISTA ITALIANO"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"VALPELLINE";"DE ROSA";"LOREDANA";1/11/1961 00:00:00;"ROMA";"F";"0";"UNIONE POPOLARE CON DE MAGISTRIS"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"VALPELLINE";"MANES";"FRANCO";21/6/1963 00:00:00;"AOSTA";"M";"156";"VALLEE D?AOSTE ? AUTONOMIE PROGRES FEDERALISME"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"VALSAVARENCHE";"RONC";"LOREDANA AUGUSTA";21/8/1964 00:00:00;"AOSTA";"F";"3";"ITALIA SOVRANA E POPOLARE"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"VALSAVARENCHE";"GUICHARDAZ";"ERIKA";25/11/1976 00:00:00;"AOSTA";"F";"6";"VALLE D'AOSTA APERTA"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"VALSAVARENCHE";"RINI";"EMILY MARINELLA";15/8/1982 00:00:00;"AOSTA";"F";"16";"LEGA PER SALVINI PREM.-FORZA IT.-NOI MODERATI-FRAT. D'ITALIA"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"VALSAVARENCHE";"GIRARDINI";"GIOVANNI";3/7/1965 00:00:00;"AOSTA";"M";"15";"LA RENAISSANCE VALDOTAINE"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"VALSAVARENCHE";"IANNI";"DAVIDE";13/12/1991 00:00:00;"IVREA (TO)";"M";"2";"PARTITO COMUNISTA ITALIANO"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"VALSAVARENCHE";"DE ROSA";"LOREDANA";1/11/1961 00:00:00;"ROMA";"F";"1";"UNIONE POPOLARE CON DE MAGISTRIS"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"VALSAVARENCHE";"MANES";"FRANCO";21/6/1963 00:00:00;"AOSTA";"M";"34";"VALLEE D?AOSTE ? AUTONOMIE PROGRES FEDERALISME"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"VALTOURNENCHE";"RONC";"LOREDANA AUGUSTA";21/8/1964 00:00:00;"AOSTA";"F";"26";"ITALIA SOVRANA E POPOLARE"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"VALTOURNENCHE";"GUICHARDAZ";"ERIKA";25/11/1976 00:00:00;"AOSTA";"F";"63";"VALLE D'AOSTA APERTA"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"VALTOURNENCHE";"RINI";"EMILY MARINELLA";15/8/1982 00:00:00;"AOSTA";"F";"400";"LEGA PER SALVINI PREM.-FORZA IT.-NOI MODERATI-FRAT. D'ITALIA"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"VALTOURNENCHE";"GIRARDINI";"GIOVANNI";3/7/1965 00:00:00;"AOSTA";"M";"74";"LA RENAISSANCE VALDOTAINE"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"VALTOURNENCHE";"IANNI";"DAVIDE";13/12/1991 00:00:00;"IVREA (TO)";"M";"14";"PARTITO COMUNISTA ITALIANO"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"VALTOURNENCHE";"DE ROSA";"LOREDANA";1/11/1961 00:00:00;"ROMA";"F";"24";"UNIONE POPOLARE CON DE MAGISTRIS"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"VALTOURNENCHE";"MANES";"FRANCO";21/6/1963 00:00:00;"AOSTA";"M";"258";"VALLEE D?AOSTE ? AUTONOMIE PROGRES FEDERALISME"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"VERRAYES";"RONC";"LOREDANA AUGUSTA";21/8/1964 00:00:00;"AOSTA";"F";"19";"ITALIA SOVRANA E POPOLARE"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"VERRAYES";"GUICHARDAZ";"ERIKA";25/11/1976 00:00:00;"AOSTA";"F";"52";"VALLE D'AOSTA APERTA"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"VERRAYES";"RINI";"EMILY MARINELLA";15/8/1982 00:00:00;"AOSTA";"F";"154";"LEGA PER SALVINI PREM.-FORZA IT.-NOI MODERATI-FRAT. D'ITALIA"
