dim,vista,macro_settore,lavoratori_2014,lavoratori_2024,settimane_utili_2014,settimane_utili_2024,stipendio_annuo_reale_2014,stipendio_annuo_reale_2024,stipendio_settimanale_reale_2014,stipendio_settimanale_reale_2024,stipendio_settimanale_fte_reale_2014,stipendio_settimanale_fte_reale_2024,stipendio_annuo_fte_reale_2014,stipendio_annuo_fte_reale_2024,lavoratori_var_pct,settimane_utili_var_pct,stipendio_annuo_reale_var_pct,stipendio_settimanale_reale_var_pct,stipendio_settimanale_fte_reale_var_pct,stipendio_annuo_fte_reale_var_pct
macro_settore,anno_intero,Altri servizi,223240,260804,10241392,11673761,28400.092913697703,25180.08744497784,546.1629725405559,484.2337719756513,619.060059614345,562.5494239602815,32191.123099945944,29252.570045934637,16.82673356029385,13.986077283244303,-11.338010331532466,-11.338959921950032,-9.128457695892688,-9.128457695892699
macro_settore,anno_intero,Commercio,1312700,1664426,60891848,76719405,31624.86534712146,30072.658714175337,608.173801820977,578.3210614894293,681.7654925034685,652.4257461720408,35451.80561018037,33926.13880094612,26.794088519844593,25.992899739222896,-4.908184164292129,-4.908587025972421,-4.303495359334053,-4.303495359334065
macro_settore,anno_intero,Costruzioni,298795,536610,14874547,26797614,32830.0585065104,30972.247714354933,631.3742205912356,595.6206179553692,659.4794000417476,620.2051363975912,34292.92880217087,32250.667092674743,79.59135862380562,80.15751336830628,-5.658871402215304,-5.662822692124769,-5.9553435090876405,-5.9553435090876405
macro_settore,anno_intero,Cultura e intrattenimento,55587,75251,2573836,3531692,35518.059918613515,34002.413150655804,683.0438673007319,653.8927276950901,767.0816620390614,724.5013415665919,39888.24642603119,37674.06976146278,35.37517764945042,37.215113938883434,-4.267256633472327,-4.267828319847434,-5.550950124303866,-5.550950124303866
macro_settore,anno_intero,Finanza e assicurazioni,454008,419062,22850952,21054241,60035.9719498817,60447.40704239468,1154.5391447058755,1162.450188775545,1192.8085776479636,1203.1405591871016,62026.046037694105,62563.30907772928,-7.697221194340187,-7.8627402481962205,0.6853142860024919,0.6852122863001631,0.8661894064772024,0.8661894064772024
macro_settore,anno_intero,ICT,298861,434822,14657176,21779833,44602.31081191067,43222.38193559663,857.7592655846694,831.2000569817883,909.4447123755923,862.9103151525542,47291.125043530796,44871.33638793282,45.493055299955486,48.59501584752752,-3.09385063507861,-3.096347619722617,-5.11679232281026,-5.116792322810248
macro_settore,anno_intero,Immobiliari,23907,41455,1064158,1819974,36854.83292711754,33353.519141237484,708.7467870599527,641.4153173861309,827.9677367351455,759.7197190729098,43054.322310227566,39505.42539179131,73.40109591333082,71.02479143134761,-9.50028397307917,-9.500074060741559,-8.242835394933657,-8.242835394933657
macro_settore,anno_intero,"Industria estrattiva, energia, utilities",223377,255763,11424723,13040440,47762.09979583577,42971.3902010846,918.5140177591388,826.3730748868788,933.8479861695034,842.8006778912368,48560.095280814174,43825.63525034431,14.498359276022143,14.142285988027892,-10.030357993533734,-10.031522773822488,-9.749692629496188,-9.749692629496176
macro_settore,anno_intero,Istruzione (privata),115234,188039,5321205,8917912,26089.60188307791,26041.430421348763,501.7247877379865,500.79807050561044,564.9865365823343,549.0976514457644,29379.299902281386,28553.07787517975,63.18013780655014,67.59196460200275,-0.18463854659427348,-0.18470628819320378,-2.8122590730539354,-2.8122590730539354
macro_settore,anno_intero,Lavoro domestico,31299,26019,1437947,1185013,21624.273695077314,19557.96275798455,415.8521837382222,376.11661435009063,470.68364994135726,429.42873453708944,24475.549796950578,22330.29419592865,-16.869548547876935,-17.589938989406427,-9.555516019773425,-9.55521479554019,-8.76489238778696,-8.76489238778696
macro_settore,anno_intero,Manifattura,2356960,2698557,118686189,135800617,39769.79167767663,38781.81365633559,764.810662650663,745.8044117214345,789.7785663386386,770.6513933953629,41068.4854496092,40073.87245655887,14.49311825402213,14.419898510685192,-2.4842423851458295,-2.485092305506964,-2.4218399635670074,-2.421839963566985
macro_settore,anno_intero,Sanita' e assistenza sociale (privata),392195,542167,17868351,24709574,26451.40723575297,23908.210632517286,508.68726879778603,459.7740968084075,580.5857328875023,524.5838246341276,30190.458110150124,27278.358880974636,38.23914124351406,38.28681784905614,-9.61459849969033,-9.615568344177017,-9.645760321193764,-9.645760321193775
macro_settore,anno_intero,Servizi alle imprese,559763,810663,24159211,36598426,25443.335851590014,25091.196180163643,489.29838307120406,482.52389629665686,589.5158582080177,555.7753868704626,30654.82462681692,28900.320117264055,44.822540968231195,51.48849852753883,-1.3840153409143685,-1.384530791216887,-5.7234204759338825,-5.723420475933894
macro_settore,anno_intero,Servizi professionali,280861,432420,12975146,20496699,33816.581644165904,35836.7428102308,650.3228407738861,689.1693875765767,731.9963056417307,756.049758353772,38063.80789337,39314.58743439614,53.96228027387213,57.96892767141117,5.973877511695247,5.9734249463640365,3.2860073919299237,3.2860073919299015
macro_settore,anno_intero,Trasporti e magazzinaggio,568737,737036,28516113,37002382,36880.73955836667,34128.03207577377,709.2619710152044,656.3098161018702,735.5645271221497,679.7829461087126,38249.35541035178,35348.71319765306,29.591709348960936,29.759557342194576,-7.463807709811576,-7.465810529435402,-7.583506131226725,-7.583506131226714
macro_settore,anno_intero,Turismo e ristorazione,324827,514201,13470509,21612224,22232.33907839396,20556.04901974131,427.5480197375979,395.3099212311598,536.1092150131428,489.07233989431165,27877.679180683426,25431.761674504207,58.299956592278356,60.44103455927314,-7.539872672604742,-7.540228703719354,-8.773748669415815,-8.773748669415804
macro_settore,complessivo,Altri servizi,464327,506493,16527923,17658923,18996.801823896392,17526.901364875725,443.1563492097491,404.8452929398898,533.6864166468067,502.7063571770487,27751.69366563395,26140.730573206532,9.081100172938461,6.842965083997554,-7.737620640815734,-8.645042847332963,-5.804918113600898,-5.804918113600898
