anno,eta_decennale,tipologia_contrattuale,lavoratori,settimane_retribuite,settimane_utili,giornate_retribuite,somma_retribuzioni,stipendio_annuo,stipendio_settimanale,stipendio_settimanale_fte,stipendio_annuo_fte,somma_retribuzioni_reale,stipendio_annuo_reale,stipendio_settimanale_reale,stipendio_settimanale_fte_reale,stipendio_annuo_fte_reale,vista
2015,<20,Tempo indeterminato,6841,355732,308686,2121550,97510951,14253.903084344394,274.1135208527768,315.89042263011606,16426.301976766037,116720608.34699999,17061.921991960236,328.11388446077376,378.1208358882489,19662.283466188943,anno_intero
2015,20-29,Stagionale,806,41912,37048,248737,17488499,21697.889578163773,417.2671072723802,472.04974627510256,24546.586806305335,20933733.302999996,25972.373825062034,499.46872740503903,565.0435462912977,29382.264407147482,anno_intero
2015,20-29,Tempo determinato,60114,3125899,2742954,18608323,1263025888,21010.511494826496,404.0520464672723,460.4619282714913,23944.020270117548,1511841987.9359999,25149.582259307314,483.6502996213249,551.1729281409749,28660.9922633307,anno_intero
2015,20-29,Tempo indeterminato,811185,42181220,38016803,252069932,16962236183,20910.441123788038,402.12768106280475,446.1773438182059,23201.221878546705,20303796711.051,25029.798025174277,481.34683423217723,534.0742805503924,27771.862588620403,anno_intero
2015,30-39,Stagionale,615,31977,28356,190052,12931532,21026.88130081301,404.40103824623947,456.04217802228806,23714.19325715898,15479043.803999998,25169.176917073168,484.06804278074856,545.8824870926787,28385.889328819292,anno_intero
2015,30-39,Tempo determinato,72724,3781608,3397169,22521013,1688988168,23224.63241845883,446.63227071658406,497.1751973481449,25853.110262103535,2021718837.0959997,27799.885004895215,534.6188280477511,595.1187112257294,30946.172983737928,anno_intero
2015,30-39,Tempo indeterminato,1911384,99391394,91954846,594237462,52108374481,27262.117126124318,524.2745109400518,566.6735006113762,29467.022031791563,62373724253.75699,32632.754199970805,627.5565895952419,678.3081802318172,35272.02537205449,anno_intero
2015,40-49,Stagionale,479,24908,22020,147988,11374451,23746.24425887265,456.6585434398587,516.5509082652135,26860.647229791102,13615217.846999997,28424.25437787056,546.6202764975108,618.3114371934605,32152.194734059944,anno_intero
2015,40-49,Tempo determinato,59810,3110104,2769183,18518913,1442075605,24110.944741681993,463.67439963422447,520.7585071120254,27079.442369825323,1726164499.1849997,28860.800855793343,555.0182563621667,623.3479330130943,32414.092516680907,anno_intero
2015,40-49,Tempo indeterminato,2553099,132760416,122424832,793966481,82153135673,32177.810446441756,618.8074589416773,671.0496092247037,34894.57967968459,98337303400.581,38516.839104390776,740.7125283531876,803.2463822419702,41768.81187658245,anno_intero
2015,50-59,Stagionale,251,13052,11650,77559,6571394,26180.852589641436,503.4779344161814,564.0681545064377,29331.544034334762,7865958.617999999,31338.480549800795,602.663087496169,675.1895809442059,35109.858209098704,anno_intero
2015,50-59,Tempo determinato,32055,1666842,1484104,9926425,855578530,26690.9539853377,513.2931195638218,576.4949963075364,29977.739807991893,1024127500.4099998,31949.071920449223,614.4118641178947,690.064510580121,35883.35455016629,anno_intero
2015,50-59,Tempo indeterminato,1849037,96149437,89686099,575196728,66395229284,35908.00469866206,690.5420494973881,740.3068036664188,38495.95379065377,79475089452.94798,42981.881624298476,826.5788332483735,886.1472439887032,46079.656687412564,anno_intero
2015,60+,Stagionale,57,2964,2415,17635,1670615,29309.035087719298,563.635290148448,691.7660455486542,35971.83436853002,1999726.1549999998,35082.91499999999,674.6714423076921,828.043956521739,43058.28573913043,anno_intero
2015,60+,Tempo determinato,7296,379389,326356,2262619,285905431,39186.59964364035,753.5944136493151,876.0538522349826,45554.800316219094,342228800.90699995,46906.35977343749,902.0525131382301,1048.636461125274,54529.09597851425,anno_intero
2015,60+,Tempo indeterminato,308343,16033671,14458400,95951732,11392179174,36946.44981076269,710.5159619403441,787.9280676976706,40972.25952027887,13636438471.277998,44224.90042348294,850.4876064425919,943.1498970341116,49043.79464577381,anno_intero
2016,<20,Stagionale,38,1976,1745,11735,836830,22021.842105263157,423.496963562753,479.5587392550143,24937.054441260745,1002688.1981981983,26386.531531531535,507.43329868329874,574.6064173055578,29879.533699889005,anno_intero
2016,<20,Tempo determinato,772,40144,33829,238879,19955849,25849.545336787563,497.10664109206857,589.9036034171864,30674.987377693695,23911062.31531532,30972.8786467815,595.6322816688751,706.8214347250973,36754.71460570506,anno_intero
2016,<20,Tempo indeterminato,8483,441116,371083,2632145,121391723,14309.999174820228,275.19229182346595,327.12822468288766,17010.667683510157,145451343.7747748,17146.215227487304,329.7349082209097,391.9644493948114,20382.15136853019,anno_intero
2016,20-29,Stagionale,875,45500,39531,270511,19908148,22752.169142857143,437.5417142857143,503.60850977713693,26187.64250841112,23853907.063063066,27261.60807207208,524.2616936936938,603.4228090122452,31377.986068636754,anno_intero
2016,20-29,Tempo determinato,80863,4204872,3694131,25043314,1700908968,21034.452938921386,404.5090951638956,460.435476706159,23942.64478872027,2038026060.756757,25203.443611500403,484.6820689801633,551.6929585758483,28688.033845944112,anno_intero
2016,20-29,Tempo indeterminato,881687,45847589,41076791,274102832,18338572551,20799.413568533957,399.9899002540788,446.4460856009906,23215.19645125151,21973244588.13514,24921.819861396547,479.2671777819143,534.9308953597456,27816.40655870677,anno_intero
2016,30-39,Stagionale,711,36972,31715,219586,16464678,23157.071729957806,445.32830249918857,519.1448210625887,26995.530695254613,19727947.513513517,27746.76162238188,533.59156966119,622.0383892011199,32345.996238458236,anno_intero
2016,30-39,Tempo determinato,86523,4499194,4026210,26802005,1988966055,22987.714885059464,442.07163660869037,494.0045489430507,25688.236545038635,2383175543.378379,27543.838555972154,529.6894384590615,591.9153604452771,30779.598743154405,anno_intero
2016,30-39,Tempo indeterminato,1972390,102564173,94412751,613345130,53044283884,26893.40540359665,517.1814126946648,561.8338976691824,29215.362678797486,63557565374.52253,32223.6298980032,619.6858368323462,673.1883638738854,35005.79492144204,anno_intero
2016,40-49,Stagionale,557,28963,25383,172152,13157717,23622.472172351885,454.29399578772916,518.367293070165,26955.09923964858,15765552.801801804,28304.40359389911,544.334247205117,621.1067565615492,32297.551341200557,anno_intero
2016,40-49,Tempo determinato,67909,3531258,3127123,21035815,1610823600,23720.325730021057,456.1614019706292,515.1136044217001,26785.907429928404,1930085935.1351354,28421.651550385595,546.571769928772,617.2081926854605,32094.826019643948,anno_intero
2016,40-49,Tempo indeterminato,2659366,138286915,127095203,827213795,84414734686,31742.428340439037,610.4318307050237,664.1850572912654,34537.6229791458,101145583002.14417,38033.72044394948,731.418319673587,795.8253389165613,41382.9176236612,anno_intero
2016,50-59,Stagionale,307,15964,13868,94846,7888211,25694.498371335503,494.12496867952893,568.8066772425728,29577.94721661379,9451640.2072072085,30787.101652140744,592.0596471565527,681.543135795155,35440.24306134806,anno_intero
2016,50-59,Tempo determinato,36129,1878698,1652609,11195698,926096559,25633.052644689862,492.9459439462862,560.3845549673274,29139.996858301027,1109647228.3513515,30713.477493186958,590.6469418455503,671.451764059951,34915.49173111745,anno_intero
2016,50-59,Tempo indeterminato,2004651,104241789,96791535,623757646,70906408924,35370.94931935783,680.2109749286824,732.5682863072685,38093.550887977966,84959931413.44145,42381.407743014344,815.0275645541872,877.7620007105111,45643.62403694658,anno_intero
2016,60+,Stagionale,71,3692,3024,21979,2081906,29322.61971830986,563.8965330444204,688.4609788359788,35799.9708994709,2494536.0180180185,35134.31011292984,675.6598098640353,824.9127043710379,42895.46062729397,anno_intero
2016,60+,Tempo determinato,9093,472836,398723,2820892,348022420,38273.66325745079,736.0319857202074,872.8426000005016,45387.81520002609,416999836.57657665,45859.43435352213,881.9121991061946,1045.8384306312319,54383.59839282406,anno_intero
2016,60+,Tempo indeterminato,376694,19588037,17640977,117245946,13720785607,36424.221269783964,700.4676174034182,777.7792356398402,40444.52025327169,16440220592.171173,43643.43629622764,839.2990370689607,931.9336787396285,48460.551294460674,anno_intero
2017,<20,Stagionale,32,1664,1589,9925,675335,21104.21875,405.8503605769231,425.00629326620515,22100.327249842667,800372.2722772277,25011.633508663366,480.9929520896801,503.69557726697775,26192.170017882843,anno_intero
2017,<20,Tempo determinato,1256,65312,53147,388739,28271839,22509.42595541401,432.8735760656541,531.9555007808531,27661.68604060436,33506328.002970297,26677.012741218387,513.0194757926613,630.4462717175061,32783.20612931031,anno_intero
2017,<20,Tempo indeterminato,8126,422547,359595,2520901,114657453,14109.949913856755,271.3484014795987,318.85163308722315,16580.284920535603,135886110.13960394,16722.38618503617,321.5881550208709,377.88653941129314,19650.100049387245,anno_intero
2017,20-29,Stagionale,1169,60788,54822,361414,28650799,24508.81009409752,471.3232710403369,522.6149903323484,27175.979497282115,33955451.88415842,29046.579883796763,558.5880746883993,619.3763796315059,32207.571740838306,anno_intero
2017,20-29,Tempo determinato,124495,6473725,5667215,38557694,2567241812,20621.244323065184,396.56330968646336,452.99883840651887,23555.939597138982,3042562820.7564354,24439.23708387032,469.9864175195016,536.8709005669338,27917.286829480556,anno_intero
2017,20-29,Tempo indeterminato,859254,44681184,40200266,267118701,18123781338,21092.46082997577,405.6244646068466,450.8373486384394,23443.542129198846,21479372536.223763,24997.69862720891,480.725231816233,534.3092141784276,27784.079137278233,anno_intero
2017,30-39,Stagionale,911,47372,41845,281357,20874087,22913.377607025246,440.64187705817784,498.8430397897001,25939.838069064404,24738893.206930693,27155.755441197245,522.2260661768702,591.2030877507633,30742.560563039693,anno_intero
2017,30-39,Tempo determinato,128253,6669130,5936509,39730510,2841308792,22153.936297786408,426.03889742740057,478.61610114631344,24888.0372596083,3367372895.073267,26255.70470143597,504.919366555048,567.2311614575616,29496.020395793203,anno_intero
2017,30-39,Tempo indeterminato,1908400,99236757,91424425,593450167,51850655736,27169.700134143786,522.4944597494253,567.1422679005091,29491.39793082647,61450727639.59604,32200.1297629407,619.2335329901605,672.1478165117915,34951.686458613156,anno_intero
2017,40-49,Stagionale,702,36504,31767,216903,16527772,23543.834757834757,452.7660530352838,520.2811722857053,27054.620958856678,19587864.43960396,27902.940797156636,536.5950153299353,616.6104586395933,32063.74384925885,anno_intero
2017,40-49,Tempo determinato,103771,5396082,4755210,32155043,2340458724,22554.073141821897,433.73297959519516,492.188299570366,25593.79157765903,2773791180.819802,26729.92628788199,514.037996609355,583.316232263097,30332.444077681048,anno_intero
2017,40-49,Tempo indeterminato,2662999,138475841,127309899,828360321,84900068443,31881.374511593884,613.1038297359032,666.8771958023468,34677.614181722034,100619190026.01088,37784.16365383948,726.6190932612635,790.3485181934743,41098.12294606066,anno_intero
2017,50-59,Stagionale,407,21164,18644,125780,9949754,24446.570024570025,470.1263466263466,533.6705642565973,27750.869341343063,11791936.176237622,28972.816157832,557.1695414967692,632.4788766486604,32888.90158573034,anno_intero
2017,50-59,Tempo determinato,57036,2965847,2595808,17680915,1362485641,23888.169594641982,459.39174913608156,524.8792056269185,27293.718692599763,1614747833.9376237,28311.02871761035,544.447449223653,622.0598110251698,32347.110173308825,anno_intero
2017,50-59,Tempo indeterminato,2110868,109765068,101759083,656813449,74537634997,35311.3671707563,679.0651739677326,732.4912214175515,38089.54351371268,88338167417.23663,41849.21435979731,804.7930824152236,868.1108832047615,45141.7659266476,anno_intero
2017,60+,Stagionale,80,4160,3483,24718,2267151,28339.3875,544.9882211538461,650.9190353143841,33847.789836347976,2686910.640594059,33586.38300742574,645.8919809120334,771.4357279914037,40114.65785555299,anno_intero
2017,60+,Tempo determinato,13490,701472,582704,4187397,448217018,33225.87234988881,638.9663707175768,769.2018898102639,39998.49827013372,531203733.21386135,39377.59327011574,757.2700452959796,911.61847732959,47404.16082113868,anno_intero
2017,60+,Tempo indeterminato,427467,22228235,20017574,133045505,15580034692,36447.33907412736,700.9119118994378,778.3178267256561,40472.52698973412,18464654976.558414,43195.50977399055,830.6847114293337,922.4222164263468,47965.95525417004,anno_intero
2018,<20,Stagionale,47,2444,2258,14568,1049772,22335.574468085106,429.5302782324059,464.9123117803366,24175.440212577505,1230731.7179236042,26185.78123241711,503.57271600802136,545.0539051920302,28342.803069985574,anno_intero
2018,<20,Tempo determinato,1560,81120,65716,482578,34861240,22346.94871794872,429.7490138067061,530.4832917402155,27585.131170491204,40870621.234084226,26199.116175695017,503.8291572249042,621.9280119618393,32340.25662201564,anno_intero
2018,<20,Tempo indeterminato,8547,444444,383680,2649714,125173812,14645.35064935065,281.64135864135864,326.24533986655547,16964.757673060885,146751276.16454455,17169.916481168195,330.1907015609268,382.48351794345433,19889.142933059626,anno_intero
2018,20-29,Stagionale,1228,63856,56544,379043,29766336,24239.687296416938,466.1478326234027,526.427843803056,27374.247877758913,34897457.582761995,28418.125067395762,546.5024051422262,617.1734858298315,32093.02126315124,anno_intero
2018,20-29,Tempo determinato,136140,7079251,6202735,42149748,2804448845,20599.741773174672,396.15050306875685,452.1310107557392,23510.81255929844,3287879791.8364344,24150.725663555415,464.4389345477981,530.0693632464445,27563.606888815113,anno_intero
2018,20-29,Tempo indeterminato,875494,45525644,41266380,272056049,18894930105,21582.021241721817,415.03927116330306,457.87709280532965,23809.60882587714,22152038526.625854,25302.330486132236,486.5837488564875,536.8059550323012,27913.909661679663,anno_intero
2018,30-39,Stagionale,995,51740,46168,307265,22950863,23066.193969849246,443.58065326633164,497.11624935019927,25850.044966210364,26907133.213516157,27042.344938207192,520.0450949655229,582.8091581510171,30306.07622385289,anno_intero
2018,30-39,Tempo determinato,144700,7524380,6674583,44809497,3152191405,21784.32208016586,418.93038429744377,472.267916212893,24557.931643070435,3695566221.141038,25539.50394707006,491.14561214891296,553.677468860757,28791.22838075936,anno_intero
2018,30-39,Tempo indeterminato,1863826,96918878,89464888,579397894,51474769289,27617.797631860485,531.1118984373716,575.3628092509321,29918.866081048465,60347991027.35847,32378.55412863565,622.6649778937647,674.5438615801818,35076.28080216945,anno_intero
2018,40-49,Stagionale,874,45446,40637,269855,20505430,23461.59038901602,451.2042864058443,504.5999950783768,26239.199744075595,24040156.425073456,27505.89979985521,528.9828901349614,591.5829521144143,30762.313509949545,anno_intero
2018,40-49,Tempo determinato,124943,6497021,5686670,38701341,2747008343,21986.092402135375,422.8104454333763,483.06097294198537,25119.17059298324,3220537694.9764934,25776.055441093085,495.69451829946263,566.3310329202316,29449.21371185204,anno_intero
2018,40-49,Tempo indeterminato,2638180,137185267,126315966,820517807,85042789843,32235.40086082072,619.9119752633495,673.2544787172826,35009.23289329869,99702467622.0088,37792.13989265661,726.7724137024773,789.3100989467064,41044.125145228725,anno_intero
2018,50-59,Stagionale,563,29275,25737,173777,13615151,24183.21669626998,465.07774551665244,529.0108015697245,27508.561681625677,15962130.99608227,28351.92006408929,545.2478563990528,620.201693906915,32250.48808315958,anno_intero
2018,50-59,Tempo determinato,73767,3835858,3331362,22858252,1679217751,22763.807000420242,437.76848647681953,504.0634284115626,26211.298277401256,1968681339.8109694,26687.832497064668,513.2310267509823,590.953892075064,30729.60238790333,anno_intero
2018,50-59,Tempo indeterminato,2187847,113767938,105428737,680707419,77799743658,35559.956275735916,683.8459501480988,737.93678907488,38372.71303189376,91210864993.7571,41689.7822351184,801.7273284302393,865.1423472307848,44987.402056000814,anno_intero
2018,60+,Stagionale,127,6604,5499,39336,2869542,22594.818897637797,434.51574803149606,521.8297872340426,27135.14893617021,3364193.7061704206,26489.714221814338,509.41758118873724,611.7828161793818,31812.706441327853,anno_intero
2018,60+,Tempo determinato,16784,872756,714087,5208123,514029653,30626.170936606293,588.9729237037615,719.8417741815773,37431.77225744202,602638094.6532811,35905.510882583476,690.5000878289935,843.9281133157178,43884.26189241733,anno_intero
2018,60+,Tempo indeterminato,471949,24541293,22103754,146883521,17334517314,36729.64094425457,706.3408319194917,784.2340859385243,40780.17246880326,20322641748.14691,43061.09716970883,828.0998783620289,919.4203730346851,47809.85939780362,anno_intero
2019,<20,Stagionale,48,2495,1961,14741,1110273,23130.6875,444.9991983967936,566.176950535441,29441.201427842934,1295318.4999999998,26985.80208333333,519.1657314629258,660.5397756246812,34348.06833248342,anno_intero
2019,<20,Tempo determinato,1163,60476,49024,359250,28506396,24511.08856405847,471.36708777035517,581.4783779373369,30236.875652741517,33257461.999999996,28596.269991401547,549.9282690654143,678.3914409268929,35276.35492819843,anno_intero
2019,<20,Tempo indeterminato,10400,540796,463799,3223361,152566025,14669.810096153846,282.1138192590182,328.94858548638524,17105.326445292034,177993695.8333333,17114.778445512817,329.1327891355212,383.77334973411604,19956.21418617404,anno_intero
2019,20-29,Stagionale,1354,70405,62945,417696,32401382,23930.11964549483,460.2142177402173,514.757041861943,26767.366176821037,37801612.33333333,27918.472919743963,536.9165873635868,600.5498821722667,31228.593872957874,anno_intero
2019,20-29,Tempo determinato,86865,4516966,3965102,26844606,1804259758,20770.848535083176,399.44063293812707,455.0348914101075,23661.81435332559,2104969717.6666665,24232.656624263702,466.01407176114816,530.8740399784587,27605.45007887985,anno_intero
2019,20-29,Tempo indeterminato,971574,50521811,45889625,301896477,21318941193,21942.683926288682,421.97499992626945,464.5699587433979,24157.63785465669,24872098058.499996,25599.79791400346,492.30416658064763,541.9982852006308,28183.9108304328,anno_intero
2019,30-39,Stagionale,1155,60060,53568,356482,25998312,22509.36103896104,432.8723276723277,485.3328853046595,25237.310035842293,30331363.999999996,26260.92121212121,505.01771561771557,566.2216995221027,29443.528375149337,anno_intero
2019,30-39,Tempo determinato,102707,5340760,4767607,31754021,2300212036,22395.864313045848,430.6900208959025,482.4667880553074,25088.272978875986,2683580708.6666665,26128.508365220154,502.4716910452195,562.8779193978586,29269.651808688646,anno_intero
2019,30-39,Tempo indeterminato,1906362,99130782,91460542,592541156,53141988517,27876.12663124842,536.079585420803,581.037323362899,30213.940814870748,61998986603.16666,32522.147736456485,625.4261829909368,677.8768772567154,35249.5976173492,anno_intero
2019,40-49,Stagionale,988,51376,46322,304915,23479072,23764.242914979757,457.0046714419184,506.8665428953845,26357.060230559993,27392250.666666664,27724.95006747638,533.1721166822381,591.3443000446151,30749.903602319988,anno_intero
2019,40-49,Tempo determinato,89860,4672705,4129625,27799017,2040191912,22704.116536835078,436.6190273085932,494.0380572085843,25689.978974846385,2380223897.333333,26488.13595964092,509.3888651933587,576.3777334100149,29971.642137320778,anno_intero
2019,40-49,Tempo indeterminato,2648580,137726073,126721425,823638918,85708936457,32360.33514449252,622.3145305028772,676.3571073873262,35170.56958414096,99993759199.83333,37753.72433524127,726.0336189200234,789.0832919518805,41032.331181497786,anno_intero
2019,50-59,Stagionale,583,30316,26954,179819,13912404,23863.471698113208,458.9129172714078,516.1535950137271,26839.98694071381,16231137.999999998,27840.71698113207,535.398403483309,602.1791941826815,31313.318097499443,anno_intero
2019,50-59,Tempo determinato,55972,2910541,2562832,17324754,1316440002,23519.61698706496,452.30079287665075,513.6661326220369,26710.638896345918,1535846668.9999998,27439.553151575783,527.6842583560924,599.2771547257097,31162.4120457369,anno_intero
2019,50-59,Tempo indeterminato,2302385,119723941,110788872,716256174,81961329854,35598.446764550674,684.5859664275501,739.7974938674346,38469.469681106595,95621551496.33333,41531.521225309116,798.6836274988084,863.0970761786735,44881.04796129102,anno_intero
2019,60+,Stagionale,138,7171,6145,42563,3125802,22650.739130434784,435.8948542741598,508.6740439381611,26451.050284784378,3646768.9999999995,26425.862318840576,508.54399665318635,593.4530512611879,30859.55866558177,anno_intero
2019,60+,Tempo determinato,12974,674634,569951,4022913,438575030,33804.1490673655,650.0932802082315,769.4960268514311,40013.79339627442,511670868.33333325,39438.17391192641,758.4421602429367,897.7453646600028,46682.75896232015,anno_intero
2019,60+,Tempo indeterminato,510909,26567213,23829724,159008315,18851010441,36897.002090391834,709.5592014487933,791.0712873132732,41135.706940290205,21992845514.499996,43046.50243879047,827.8190683569254,922.9165018654852,47991.65809700523,anno_intero
2020,<20,Stagionale,6,312,238,1863,211219,35203.166666666664,676.9839743589744,887.4747899159664,46148.68907563025,247144.81231671557,41190.802052785926,792.1308087074217,1038.4235811626704,53998.026220458865,anno_intero
2020,<20,Tempo determinato,609,31668,27451,188288,18490370,30361.855500821017,583.8818365542503,673.5772831590834,35026.01872427234,21635359.61876833,35526.04206694307,683.193116671982,788.144680294646,40983.523375321594,anno_intero
2020,<20,Tempo indeterminato,2647,137644,120983,818327,41631570,15727.831507366831,302.4582982185929,344.11090814411943,17893.76722349421,48712599.50146628,18402.946543810456,353.90281815020114,402.64003621555327,20937.28188320877,anno_intero
2020,20-29,Stagionale,319,16586,14853,98290,7971305,24988.416927899685,480.6044254190281,536.6797953275433,27907.34935703225,9327128.137829913,29238.646200093768,562.3494596545227,627.9625757644861,32654.05393975328,anno_intero
2020,20-29,Tempo determinato,46247,2404837,2175211,14289530,1030273258,22277.623586394795,428.41708523280374,473.6429054468739,24629.431083237443,1205510351.7360704,26066.77950431532,501.2856803750402,554.2038688366648,28818.60117950657,anno_intero
2020,20-29,Tempo indeterminato,489744,25466667,23924337,151861620,11978198890,24458.08195710412,470.3481177964906,500.67004531828826,26034.84235655099,14015546501.788857,28618.107627227404,550.3486774217002,585.8280002404605,30463.05601250395,anno_intero
2020,30-39,Stagionale,352,18304,17051,108394,9157307,26015.076704545456,500.28993662587413,537.0539557797197,27926.805700545425,10714854.818181818,30439.928460743806,585.3832396296885,628.4003764108744,32676.81957336547,anno_intero
2020,30-39,Tempo determinato,60915,3167576,2889884,18828499,1461970086,24000.165574981533,461.5422285053303,505.89230778813265,26306.400004982897,1710633619.6891496,28082.305174245255,540.0450122393747,591.9385067667594,30780.802351871487,anno_intero
2020,30-39,Tempo indeterminato,1080513,56186659,53111720,335125848,33610536319,31106.09156854198,598.1942496171556,632.827110833541,32907.00976334413,39327284431.909096,36396.86374149047,699.9398991121557,740.4633936146125,38504.096467959855,anno_intero
2020,40-49,Stagionale,345,17940,16329,106438,8446768,24483.385507246378,470.8343366778149,517.2863004470573,26898.88762324698,9883461.677419355,28647.715007012626,550.9175962887043,605.2704805817475,31474.064990250867,anno_intero
2020,40-49,Tempo determinato,55016,2860818,2566660,17016479,1314672916,23896.19230769231,459.54440862718286,512.2115574326167,26635.000986496067,1538282972.0938418,27960.647304308597,537.7073872206627,599.3325847965223,31165.29440941915,anno_intero
2020,40-49,Tempo indeterminato,1546580,80422128,75217941,479866896,56356139087,36439.20074422273,700.7541392960902,749.2379921300957,38960.375590764976,65941640749.8915,42637.070665527484,819.9439929007038,876.6743661580886,45587.0670402206,anno_intero
2020,50-59,Stagionale,207,10764,9551,63894,5386720,26022.80193236715,500.43849869936827,563.9953931525495,29327.760443932573,6302936.304985338,30448.967656934,585.5570703256539,659.9242283515168,34316.05987427888,anno_intero
2020,50-59,Tempo determinato,36695,1908133,1693017,11355046,903719065,24627.852977244856,473.61429470587217,533.7920794652387,27757.18813219241,1057430812.1260998,28816.75465665894,554.1703917526188,624.5836941543408,32478.352096025723,anno_intero
2020,50-59,Tempo indeterminato,1464597,76159012,71335280,454759725,59137303634,40377.86751850509,776.4977785426103,829.0049977234266,43108.259881618185,69195847947.11438,47245.65730171124,908.5707144824091,970.0087803274113,50440.45657702539,anno_intero
