dim,vista,misura,peso,livello_2014,livello_2024,delta,delta_pct,effetto_salario_puro,effetto_composizione,effetto_interazione,contrafattuale_2024_comp_2014,salario_puro_pct_delta,composizione_pct_delta
eta_decennale,complessivo,stipendio_annuo_reale,lavoratori,25526.5861061186,24486.172639425567,-1040.4134666930331,-4.07580340891589,-972.7579537621234,-3.8311273256254026,-63.824385605288455,24553.828152356476,93.4972474793167,0.36823123193538504
eta_decennale,anno_intero,stipendio_annuo_reale,lavoratori,36102.6753053856,33918.37131643268,-2184.3039889529246,-6.0502551970908485,-2507.1586093435367,577.6254425457137,-254.77082215510111,33595.516696042054,114.78066340689954,-26.444370630967267
eta_decennale,complessivo,stipendio_settimanale_reale,settimane_retribuite,589.6565803374702,560.2200236055985,-29.436556731871747,-4.992152672157868,-32.76241888456337,6.237892003011616,-2.912029850320012,556.8941614529068,111.29840756507579,-21.190970329276603
eta_decennale,anno_intero,stipendio_settimanale_reale,settimane_retribuite,694.2898765426365,652.2771771531102,-42.01269938952635,-6.051175569307954,-48.221448087427454,11.108149002335125,-4.8994003044341525,646.0684284552092,114.77826654349406,-26.43997925328349
eta_decennale,complessivo,stipendio_settimanale_fte_reale,settimane_utili,662.5229862101357,627.9880140750806,-34.534972135055114,-5.212645123848048,-38.99855247005121,7.279206391810781,-2.815626056814713,623.5244337400846,112.9248123251424,-21.077782728024676
eta_decennale,anno_intero,stipendio_settimanale_fte_reale,settimane_utili,752.0631076999849,706.4042153952837,-45.658892304701226,-6.07115172080952,-53.079096266996274,12.105028072528427,-4.68482411023349,698.9840114329887,116.25138847604288,-26.511874164065176
eta_decennale,complessivo,stipendio_annuo_fte_reale,settimane_utili,34451.19528292706,32655.376731904198,-1795.8185510228614,-5.212645123848036,-2027.924728442664,378.518732374162,-146.41255495436516,32423.2705544844,112.92481232514275,-21.077782728024808
eta_decennale,anno_intero,stipendio_annuo_fte_reale,settimane_utili,39107.28160039923,36733.01920055474,-2374.2623998444833,-6.071151720809576,-2760.113005883806,629.4614597714776,-243.6108537321417,36347.16859451542,116.25138847604192,-26.51187416406493
macro_settore,complessivo,stipendio_annuo_reale,lavoratori,25526.5861061186,24486.17263942557,-1040.4134666930295,-4.0758034089158794,-55.788316327284804,-972.2626977407471,-12.36245262500444,25470.79778979132,5.362129395019159,93.44964563281744
macro_settore,anno_intero,stipendio_annuo_reale,lavoratori,36102.675305385594,33918.37131643267,-2184.3039889529246,-6.0502551970908485,-1317.9307870014354,-862.0643155462088,-4.308886405283747,34784.74451838416,60.336418084059964,39.46631603962098
macro_settore,complessivo,stipendio_settimanale_reale,settimane_retribuite,589.6565803374702,560.2200236055985,-29.436556731871747,-4.992152672157868,-12.623345465346114,-16.641069199813483,-0.17214206671212987,577.0332348721241,42.88322707145459,56.53198283818214
macro_settore,anno_intero,stipendio_settimanale_reale,settimane_retribuite,694.2898765426364,652.27717715311,-42.01269938952646,-6.051175569307965,-25.351671594820903,-16.577739739709077,-0.08328805499660494,668.9382049478156,60.342877185227806,39.458877864538785
macro_settore,complessivo,stipendio_settimanale_fte_reale,settimane_utili,662.522989881112,627.9880131667405,-34.53497671437151,-5.212645786158864,-18.304566558807263,-15.323967763602287,-0.9064423919618589,644.2184233223047,53.00297929892604,44.37231242500104
macro_settore,anno_intero,stipendio_settimanale_fte_reale,settimane_utili,752.0631181159878,706.4042153952836,-45.65890272070419,-6.0711530217151815,-29.804604764962434,-14.939164560241384,-0.915133395500269,722.2585133510253,65.2766557866653,32.71906171645068
macro_settore,complessivo,stipendio_annuo_fte_reale,settimane_utili,34451.195473817825,32655.37668467051,-1795.8187891473135,-5.212645786158854,-951.8374610579759,-796.8463237073186,-47.135004382016795,33499.35801275985,53.0029792989261,44.37231242500115
macro_settore,anno_intero,stipendio_annuo_fte_reale,settimane_utili,39107.28214203136,36733.01920055476,-2374.262941476605,-6.071153021715148,-1549.8394477780453,-776.8365571325515,-47.586936566014174,37557.44269425332,65.2766557866656,32.719061716450845
settore_18,complessivo,stipendio_annuo_reale,lavoratori,25526.586106118604,24486.17263942557,-1040.4134666930331,-4.07580340891589,-23.542613709170283,-998.5103529450255,-18.36050003884058,25503.043492409433,2.2628132432772876,95.97245565446234
settore_18,anno_intero,stipendio_annuo_reale,lavoratori,36102.675305385594,33918.37131643267,-2184.3039889529246,-6.0502551970908485,-1276.6369450142802,-897.2905439461236,-10.376499992524588,34826.03836037132,58.44593753757934,41.0790141154415
settore_18,complessivo,stipendio_settimanale_reale,settimane_retribuite,589.6565803374702,560.2200236055985,-29.436556731871747,-4.992152672157868,-11.9233809748275,-17.2150712771293,-0.29810447991492944,577.7331993626427,40.505352183116365,58.481946220598836
settore_18,anno_intero,stipendio_settimanale_reale,settimane_retribuite,694.2898765426366,652.2771771531101,-42.012699389526574,-6.051175569307976,-24.557490246240782,-17.255198453809967,-0.20001068947583714,669.7323862963958,58.452540786662155,41.07138723419316
settore_18,complessivo,stipendio_settimanale_fte_reale,settimane_utili,662.522989881112,627.9880131667405,-34.53497671437151,-5.212645786158864,-17.542032550754453,-15.938880726622505,-1.0540634369944488,644.9809573303575,50.79497431209921,46.15286368497721
settore_18,anno_intero,stipendio_settimanale_fte_reale,settimane_utili,752.0631181159877,706.4042153952836,-45.65890272070408,-6.07115302171517,-28.968574812507008,-15.647303979510616,-1.043023928686458,723.0945433034807,63.44562196272662,34.26999565720034
settore_18,complessivo,stipendio_annuo_fte_reale,settimane_utili,34451.19547381782,32655.3766846705,-1795.8187891473171,-5.212645786158864,-912.1856926392301,-828.8217977843701,-54.81129872371149,33539.00978117859,50.79497431209917,46.15286368497724
settore_18,anno_intero,stipendio_annuo_fte_reale,settimane_utili,39107.28214203136,36733.01920055475,-2374.2629414766125,-6.07115302171517,-1506.3658902503637,-813.6598069345514,-54.23724429169595,37600.91625178099,63.44562196272657,34.26999565720031
tempo_parziale_x_sesso,complessivo,stipendio_annuo_reale,lavoratori,25526.586106118604,24486.17263942557,-1040.4134666930331,-4.07580340891589,-509.23689052245845,-562.1075067101584,30.9309305395823,25017.349215596143,48.94562660180419,54.02731939801049
tempo_parziale_x_sesso,anno_intero,stipendio_annuo_reale,lavoratori,36102.6753053856,33918.37131643268,-2184.3039889529246,-6.0502551970908485,-1664.352063152741,-571.6676240907734,51.7156982905895,34438.32324223286,76.19599064828749,26.17161471031374
tempo_parziale_x_sesso,complessivo,stipendio_settimanale_reale,settimane_retribuite,589.6565803374701,560.2200236055985,-29.436556731871633,-4.992152672157857,-19.854632663950717,-10.353660259100113,0.7717361911790632,569.8019476735195,67.44889643445849,35.17279671467135
tempo_parziale_x_sesso,anno_intero,stipendio_settimanale_reale,settimane_retribuite,694.2898765426365,652.2771771531101,-42.01269938952646,-6.051175569307965,-32.014348911938434,-10.992994716307058,0.9946442387189425,662.2755276306982,76.20159946189851,26.16588525860719
tempo_parziale_x_sesso,complessivo,stipendio_settimanale_fte_reale,settimane_utili,662.522993552088,627.9880168001013,-34.53497675198673,-5.212645762953672,-27.820560719603325,-6.68879784690402,-0.025618185479486633,634.7024328324846,80.55763558028994,19.368184015120917
tempo_parziale_x_sesso,anno_intero,stipendio_settimanale_fte_reale,settimane_utili,752.0631139495868,706.4042169218525,-45.65889702773427,-6.071152298368798,-38.52729417754851,-7.50835635358044,0.37675350339490615,713.535819772038,84.380693984233,16.44445407653998
tempo_parziale_x_sesso,complessivo,stipendio_annuo_fte_reale,settimane_utili,34451.195664708575,32655.37687360526,-1795.8187911033165,-5.212645762953693,-1446.669157419373,-347.81748803900916,-1.332145644933238,33004.5265072892,80.55763558028967,19.368184015120857
tempo_parziale_x_sesso,anno_intero,stipendio_annuo_fte_reale,settimane_utili,39107.28192537851,36733.019279936336,-2374.262645442177,-6.071152298368787,-2003.4192972325227,-390.43453038618287,19.591182176535128,37103.86262814598,84.38069398423318,16.444454076540012
tipologia_contrattuale,complessivo,stipendio_annuo_reale,lavoratori,25526.586106118604,24486.172639425567,-1040.4134666930368,-4.075803408915912,6.981745364933261,-995.1368196650819,-52.25839239288912,25533.567851483534,-0.6710548823560308,95.64820636435368
tipologia_contrattuale,anno_intero,stipendio_annuo_reale,lavoratori,36102.675305385594,33918.37131643267,-2184.3039889529246,-6.0502551970908485,-2104.501914676824,-69.54846864458577,-10.253605631515967,33998.17339070877,96.3465673880697,3.184010513020432
tipologia_contrattuale,complessivo,stipendio_settimanale_reale,settimane_retribuite,589.6565803374702,560.2200236055985,-29.436556731871747,-4.992152672157868,-19.399165226748643,-8.897140043631484,-1.1402514614916672,570.2574151107216,65.90161139921861,30.22479879244271
tipologia_contrattuale,anno_intero,stipendio_settimanale_reale,settimane_retribuite,694.2898765426365,652.27717715311,-42.012699389526574,-6.051175569307987,-40.478059259217105,-1.3374690447712858,-0.1971710855381819,653.8118172834195,96.34719941206149,3.18348752688028
tipologia_contrattuale,complessivo,stipendio_settimanale_fte_reale,settimane_utili,662.5229837628185,627.9880177084415,-34.53496605437704,-5.212644225296859,-26.039942506987437,-7.699665668906068,-0.7953578784835154,636.483041255831,75.40167396135917,22.295275046115748
tipologia_contrattuale,anno_intero,stipendio_settimanale_fte_reale,settimane_utili,752.063107699985,706.4042153952836,-45.65889230470145,-6.071151720809553,-44.34985502317652,-1.1618741956206105,-0.1471630859043278,707.7132526768086,97.13300692274976,2.5446832741077543
tipologia_contrattuale,complessivo,stipendio_annuo_fte_reale,settimane_utili,34451.19515566656,32655.376920838953,-1795.818234827606,-5.21264422529687,-1354.077010363345,-400.3826147831156,-41.358609681142845,33097.11814530321,75.40167396135907,22.295275046115755
tipologia_contrattuale,anno_intero,stipendio_annuo_fte_reale,settimane_utili,39107.28160039922,36733.01920055475,-2374.2623998444687,-6.071151720809542,-2306.1924612051703,-60.417458172271694,-7.652480467025121,36801.08913919405,97.13300692274967,2.5446832741077596
periodo_retribuito,complessivo,stipendio_annuo_reale,lavoratori,25526.586106118604,24486.172639425564,-1040.4134666930404,-4.075803408915924,-1408.1230200200748,385.91116669615093,-18.20161336911507,24118.463086098527,135.34263685530726,-37.09209646456919
periodo_retribuito,complessivo,stipendio_settimanale_reale,settimane_retribuite,589.6565803374704,560.2200236055985,-29.43655673187186,-4.99215267215789,-31.45561706913459,2.1163972733801977,-0.09733693611743954,558.2009632683357,106.85902347769034,-7.189690331847507
periodo_retribuito,complessivo,stipendio_settimanale_fte_reale,settimane_utili,662.5229862101357,627.9880140750806,-34.534972135055114,-5.212645123848048,-36.02665903999623,1.5784828792123593,-0.08679597427119623,626.4963271701395,104.31935169690485,-4.570679463818366
periodo_retribuito,complessivo,stipendio_annuo_fte_reale,settimane_utili,34451.19528292706,32655.376731904194,-1795.818551022865,-5.212645123848048,-1873.3862700798084,82.08110971904267,-4.513390662102239,32577.809012847254,104.31935169690514,-4.570679463818368
