"Osservatorio: Osservatorio sui Lavoratori Dipendenti - Anni 2019-2023 (classificazione dell'attività economica ISTAT ATECO 2007)"
"Filtri:"


"
                                
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                        
                                        
                                        
                                            
                                                Cerca
                                            
                                        
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                            
" ";"2021";"Totale";"";"186.660 ";"6.460.066 ";"304.832.809 ";"1.201.747 ";"1.671.224 ";"51.715 ";"5.714.671 ";"285.527.579 ";"941.781 ";"1.222.000 ";"23.991 ";"5.232.948 ";"262.383.656 ";"816.087 ";"1.017.766 ";"7.046 ";"2.181.847 ";"123.253.533 ";"323.654 ";"366.392 ";"269.412 ";"19.589.532 ";"975.997.577 ";"3.283.269 ";"4.277.382 "
" ";"2022";"Maschi";"";"126.053 ";"4.639.467 ";"234.846.639 ";"889.768 ";"1.203.730 ";"44.488 ";"4.911.187 ";"260.325.668 ";"862.245 ";"1.073.415 ";"25.518 ";"5.674.472 ";"307.131.294 ";"928.350 ";"1.108.071 ";"9.118 ";"2.821.045 ";"164.169.883 ";"426.415 ";"474.136 ";"205.177 ";"18.046.171 ";"966.473.484 ";"3.106.778 ";"3.859.352 "
" ";" ";"Femmine";"";"95.241 ";"3.216.757 ";"144.591.485 ";"635.599 ";"905.339 ";"22.371 ";"2.412.709 ";"106.126.228 ";"396.513 ";"558.993 ";"9.533 ";"2.064.136 ";"86.731.651 ";"288.449 ";"405.746 ";"2.840 ";"879.038 ";"37.330.127 ";"114.335 ";"147.674 ";"129.985 ";"8.572.640 ";"374.779.491 ";"1.434.897 ";"2.017.752 "
" ";"2022";"Totale";"";"221.294 ";"7.856.224 ";"379.438.124 ";"1.525.368 ";"2.109.069 ";"66.859 ";"7.323.896 ";"366.451.896 ";"1.258.758 ";"1.632.408 ";"35.051 ";"7.738.608 ";"393.862.945 ";"1.216.800 ";"1.513.817 ";"11.958 ";"3.700.083 ";"201.500.010 ";"540.750 ";"621.810 ";"335.162 ";"26.618.811 ";"1.341.252.975 ";"4.541.675 ";"5.877.104 "
" ";"2023";"Maschi";"";"139.175 ";"5.173.686 ";"267.280.137 ";"1.007.142 ";"1.362.003 ";"49.290 ";"5.448.801 ";"294.385.031 ";"956.101 ";"1.199.932 ";"30.202 ";"6.759.539 ";"369.320.366 ";"1.102.207 ";"1.322.361 ";"11.229 ";"3.476.150 ";"206.644.705 ";"520.851 ";"583.906 ";"229.896 ";"20.858.176 ";"1.137.630.239 ";"3.586.301 ";"4.468.202 "
" ";" ";"Femmine";"";"103.569 ";"3.545.941 ";"161.390.713 ";"714.117 ";"1.016.401 ";"25.263 ";"2.733.246 ";"121.455.128 ";"455.866 ";"641.834 ";"11.275 ";"2.459.038 ";"104.613.803 ";"340.814 ";"484.623 ";"3.449 ";"1.068.249 ";"45.843.658 ";"136.877 ";"179.345 ";"143.556 ";"9.806.474 ";"433.303.302 ";"1.647.673 ";"2.322.203 "
" ";"2023";"Totale";"";"242.744 ";"8.719.627 ";"428.670.850 ";"1.721.259 ";"2.378.404 ";"74.553 ";"8.182.047 ";"415.840.159 ";"1.411.966 ";"1.841.766 ";"41.477 ";"9.218.577 ";"473.934.169 ";"1.443.021 ";"1.806.984 ";"14.678 ";"4.544.399 ";"252.488.363 ";"657.727 ";"763.251 ";"373.452 ";"30.664.650 ";"1.570.933.541 ";"5.233.974 ";"6.790.405 "
"20  - 24";"2019";"Maschi";"";"194.585 ";"6.870.636 ";"361.651.490 ";"1.383.504 ";"1.874.076 ";"121.071 ";"14.107.507 ";"773.253.718 ";"2.440.510 ";"3.154.371 ";"206.282 ";"48.260.446 ";"2.810.146.542 ";"7.729.922 ";"9.280.514 ";"214.087 ";"66.444.790 ";"4.432.211.953 ";"10.252.791 ";"11.132.494 ";"736.025 ";"135.683.379 ";"8.377.263.703 ";"21.806.727 ";"25.441.455 "
" ";" ";"Femmine";"";"184.061 ";"6.173.738 ";"282.998.276 ";"1.294.102 ";"1.855.763 ";"96.873 ";"11.199.446 ";"519.032.527 ";"1.854.177 ";"2.645.293 ";"138.484 ";"31.781.491 ";"1.533.418.212 ";"4.456.138 ";"6.152.977 ";"110.677 ";"34.355.965 ";"1.851.698.970 ";"4.733.479 ";"5.755.196 ";"530.095 ";"83.510.640 ";"4.187.147.985 ";"12.337.895 ";"16.409.229 "
" ";"2019";"Totale";"";"378.646 ";"13.044.374 ";"644.649.766 ";"2.677.605 ";"3.729.839 ";"217.944 ";"25.306.953 ";"1.292.286.245 ";"4.294.687 ";"5.799.664 ";"344.766 ";"80.041.937 ";"4.343.564.754 ";"12.186.060 ";"15.433.491 ";"324.764 ";"100.800.755 ";"6.283.910.923 ";"14.986.270 ";"16.887.690 ";"1.266.120 ";"219.194.019 ";"12.564.411.688 ";"34.144.622 ";"41.850.684 "
