"Osservatorio: Osservatorio sui Lavoratori Dipendenti - Anno 2024 (classificazione dell'attività economica ISTAT ATECO 2007)"
"Filtri:"


"
                                
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                        
                                        
                                        
                                            
                                                Cerca
                                            
                                        
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                            
" ";"25  - 29";"Totale";"";"254.087 ";"2.500.589 ";"627.647.920 ";"1.869.437 ";"9.639.742 ";"219.014 ";"5.681.289 ";"1.718.749.511 ";"4.458.093 ";"26.202.956 ";"553.374 ";"25.138.324 ";"9.426.157.672 ";"21.430.434 ";"132.433.217 ";"893.214 ";"46.447.082 ";"23.618.015.819 ";"43.334.168 ";"277.476.859 ";"1.919.689 ";"79.767.284 ";"35.390.570.922 ";"71.092.133 ";"445.752.774 "
" ";"30  - 34";"Maschi";"";"95.256 ";"895.441 ";"273.373.201 ";"712.211 ";"3.675.180 ";"88.573 ";"2.279.351 ";"804.377.915 ";"1.898.880 ";"10.661.302 ";"293.888 ";"13.726.954 ";"6.024.096.317 ";"12.440.987 ";"72.292.696 ";"632.519 ";"32.890.968 ";"20.344.635.847 ";"31.687.796 ";"196.376.101 ";"1.110.236 ";"49.792.714 ";"27.446.483.280 ";"46.739.873 ";"283.005.279 "
" ";" ";"Femmine";"";"95.637 ";"1.025.320 ";"237.655.187 ";"701.142 ";"3.671.055 ";"94.578 ";"2.563.987 ";"725.230.068 ";"1.904.889 ";"11.472.675 ";"252.337 ";"11.438.290 ";"4.063.456.652 ";"9.190.982 ";"60.132.933 ";"416.399 ";"21.652.742 ";"11.200.571.482 ";"19.452.332 ";"129.435.440 ";"858.951 ";"36.680.339 ";"16.226.913.389 ";"31.249.344 ";"204.712.103 "
" ";"30  - 34";"Totale";"";"190.893 ";"1.920.761 ";"511.028.388 ";"1.413.353 ";"7.346.235 ";"183.151 ";"4.843.338 ";"1.529.607.983 ";"3.803.769 ";"22.133.977 ";"546.225 ";"25.165.244 ";"10.087.552.969 ";"21.631.969 ";"132.425.629 ";"1.048.918 ";"54.543.710 ";"31.545.207.329 ";"51.140.127 ";"325.811.541 ";"1.969.187 ";"86.473.053 ";"43.673.396.669 ";"77.989.218 ";"487.717.382 "
" ";"35  - 39";"Maschi";"";"81.950 ";"772.948 ";"243.217.697 ";"622.604 ";"3.153.309 ";"75.923 ";"1.965.599 ";"711.518.032 ";"1.649.044 ";"9.138.284 ";"285.638 ";"13.504.515 ";"6.278.238.009 ";"12.352.663 ";"71.046.196 ";"652.528 ";"33.931.441 ";"23.106.206.922 ";"32.773.712 ";"202.556.945 ";"1.096.039 ";"50.174.503 ";"30.339.180.660 ";"47.398.024 ";"285.894.734 "
" ";" ";"Femmine";"";"85.256 ";"911.433 ";"212.004.833 ";"612.613 ";"3.285.973 ";"85.816 ";"2.339.604 ";"667.195.680 ";"1.720.012 ";"10.432.520 ";"249.357 ";"11.409.041 ";"4.153.863.015 ";"9.015.733 ";"59.937.121 ";"426.135 ";"22.158.988 ";"11.682.234.855 ";"19.279.064 ";"132.432.779 ";"846.564 ";"36.819.066 ";"16.715.298.383 ";"30.627.423 ";"206.088.393 "
" ";"35  - 39";"Totale";"";"167.206 ";"1.684.381 ";"455.222.530 ";"1.235.217 ";"6.439.282 ";"161.739 ";"4.305.203 ";"1.378.713.712 ";"3.369.056 ";"19.570.804 ";"534.995 ";"24.913.556 ";"10.432.101.024 ";"21.368.397 ";"130.983.317 ";"1.078.663 ";"56.090.429 ";"34.788.441.777 ";"52.052.776 ";"334.989.724 ";"1.942.603 ";"86.993.569 ";"47.054.479.043 ";"78.025.447 ";"491.983.127 "
" ";"40  - 44";"Maschi";"";"74.055 ";"704.448 ";"226.150.612 ";"570.371 ";"2.833.725 ";"67.877 ";"1.768.648 ";"657.875.470 ";"1.494.896 ";"8.172.612 ";"277.301 ";"13.224.190 ";"6.408.520.864 ";"12.194.844 ";"69.467.218 ";"687.656 ";"35.758.082 ";"26.428.504.396 ";"34.630.771 ";"213.605.140 ";"1.106.889 ";"51.455.368 ";"33.721.051.342 ";"48.890.881 ";"294.078.695 "
" ";" ";"Femmine";"";"73.165 ";"747.699 ";"177.524.874 ";"502.619 ";"2.815.826 ";"74.270 ";"1.990.372 ";"569.532.248 ";"1.446.980 ";"9.055.408 ";"240.710 ";"11.090.479 ";"4.118.236.624 ";"8.717.783 ";"58.572.877 ";"496.941 ";"25.840.881 ";"14.163.256.072 ";"22.206.104 ";"154.478.839 ";"885.086 ";"39.669.431 ";"19.028.549.818 ";"32.873.485 ";"224.922.950 "
" ";"40  - 44";"Totale";"";"147.220 ";"1.452.147 ";"403.675.486 ";"1.072.989 ";"5.649.551 ";"142.147 ";"3.759.020 ";"1.227.407.718 ";"2.941.876 ";"17.228.020 ";"518.011 ";"24.314.669 ";"10.526.757.488 ";"20.912.626 ";"128.040.095 ";"1.184.597 ";"61.598.963 ";"40.591.760.468 ";"56.836.874 ";"368.083.979 ";"1.991.975 ";"91.124.799 ";"52.749.601.160 ";"81.764.366 ";"519.001.645 "
