"Osservatorio: Osservatorio sui Lavoratori Dipendenti - Anno 2024 (classificazione dell'attività economica ISTAT ATECO 2007)"
"Filtri:"


"
                                
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                        
                                        
                                        
                                            
                                                Cerca
                                            
                                        
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                            
" ";"Tempo indeterminato";"";"470.726 ";"23.813.575 ";"26.968.294.494 ";"22.872.056 ";"141.217.194 "
" ";"Stagionale";"";"88 ";"2.152 ";"834.088 ";"1.810 ";"11.006 "
"Attivita' finanziarie e assicurative";"Totale";"";"482.857 ";"24.247.370 ";"27.246.936.419 ";"23.260.635 ";"143.635.338 "
"Attivita' immobiliari";"Tempo determinato";"";"8.513 ";"259.613 ";"81.069.468 ";"188.046 ";"1.363.773 "
" ";"Tempo indeterminato";"";"53.458 ";"2.578.991 ";"1.547.165.075 ";"2.129.864 ";"15.042.550 "
" ";"Stagionale";"";"1.914 ";"49.679 ";"16.038.665 ";"37.338 ";"240.992 "
"Attivita' immobiliari";"Totale";"";"63.885 ";"2.888.283 ";"1.644.273.208 ";"2.355.248 ";"16.647.315 "
"Attivita' professionali, scientifiche e tecniche";"Tempo determinato";"";"90.220 ";"2.618.310 ";"976.859.727 ";"2.184.487 ";"13.333.079 "
" ";"Tempo indeterminato";"";"533.421 ";"26.068.948 ";"17.139.017.363 ";"23.408.601 ";"152.417.269 "
" ";"Stagionale";"";"5.365 ";"114.952 ";"33.941.722 ";"87.231 ";"556.490 "
"Attivita' professionali, scientifiche e tecniche";"Totale";"";"629.006 ";"28.802.210 ";"18.149.818.812 ";"25.680.318 ";"166.306.838 "
"Noleggio, agenzie di viaggio, servizi di supporto alle imprese";"Tempo determinato";"";"793.602 ";"22.611.836 ";"7.577.519.978 ";"18.314.145 ";"114.716.590 "
" ";"Tempo indeterminato";"";"1.054.314 ";"51.655.278 ";"23.300.363.194 ";"43.613.382 ";"297.175.399 "
" ";"Stagionale";"";"47.674 ";"1.122.460 ";"370.452.386 ";"926.639 ";"5.455.549 "
"Noleggio, agenzie di viaggio, servizi di supporto alle imprese";"Totale";"";"1.895.590 ";"75.389.574 ";"31.248.335.558 ";"62.854.166 ";"417.347.538 "
"Istruzione";"Tempo determinato";"";"575.778 ";"20.430.819 ";"8.785.141.224 ";"19.277.014 ";"113.973.975 "
" ";"Tempo indeterminato";"";"160.145 ";"7.798.313 ";"3.369.886.666 ";"6.566.379 ";"44.945.594 "
" ";"Stagionale";"";"4.655 ";"103.132 ";"28.304.068 ";"64.742 ";"512.228 "
"Istruzione";"Totale";"";"740.578 ";"28.332.264 ";"12.183.331.958 ";"25.908.135 ";"159.431.797 "
"Sanita' e assistenza sociale";"Tempo determinato";"";"194.356 ";"6.387.428 ";"2.043.072.663 ";"4.657.655 ";"33.780.997 "
" ";"Tempo indeterminato";"";"743.713 ";"36.295.087 ";"15.597.182.497 ";"30.770.976 ";"208.142.609 "
" ";"Stagionale";"";"6.231 ";"170.623 ";"37.307.704 ";"94.076 ";"848.914 "
"Sanita' e assistenza sociale";"Totale";"";"944.300 ";"42.853.138 ";"17.677.562.864 ";"35.522.707 ";"242.772.520 "
"Attivita' artistiche, sportive, di intrattenimento e divertimento";"Tempo determinato";"";"83.928 ";"1.824.299 ";"1.087.042.134 ";"1.498.171 ";"8.813.380 "
" ";"Tempo indeterminato";"";"110.987 ";"5.118.113 ";"2.708.258.754 ";"4.410.409 ";"29.194.732 "
" ";"Stagionale";"";"75.027 ";"1.366.167 ";"423.241.487 ";"1.054.657 ";"6.207.168 "
"Attivita' artistiche, sportive, di intrattenimento e divertimento";"Totale";"";"269.942 ";"8.308.579 ";"4.218.542.375 ";"6.963.237 ";"44.215.280 "
"Altre attivita' di servizi";"Tempo determinato";"";"102.560 ";"3.028.132 ";"854.546.678 ";"2.151.359 ";"15.114.093 "
" ";"Tempo indeterminato";"";"389.270 ";"18.586.601 ";"7.927.996.020 ";"15.261.002 ";"104.832.003 "
" ";"Stagionale";"";"14.663 ";"312.786 ";"94.710.155 ";"246.561 ";"1.549.015 "
"Altre attivita' di servizi";"Totale";"";"506.493 ";"21.927.519 ";"8.877.252.853 ";"17.658.923 ";"121.495.111 "
"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze";"Tempo determinato";"";"5.422 ";"78.988 ";"23.260.421 ";"63.097 ";"402.685 "
" ";"Tempo indeterminato";"";"30.438 ";"1.529.406 ";"560.275.551 ";"1.311.970 ";"8.973.396 "
" ";"Stagionale";"";"592 ";"14.162 ";"5.138.388 ";"12.262 ";"72.703 "
"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze";"Totale";"";"36.452 ";"1.622.556 ";"588.674.360 ";"1.387.329 ";"9.448.784 "
"Totale";"Tempo determinato";"";"4.047.022 ";"121.521.325 ";"43.515.266.822 ";"100.829.830 ";"620.550.195 "
" ";"Tempo indeterminato";"";"12.998.670 ";"636.739.859 ";"384.682.669.530 ";"576.483.368 ";"3.669.071.476 "
" ";"Stagionale";"";"685.310 ";"16.727.852 ";"5.966.439.690 ";"14.044.542 ";"81.599.903 "
"Totale";"Totale";"";"17.731.002 ";"774.989.036 ";"434.164.376.042 ";"691.357.740 ";"4.371.221.574 "
