"Osservatorio: Osservatorio sui Lavoratori Dipendenti - Anni 2019-2023 (classificazione dell'attività economica ISTAT ATECO 2007)"
"Filtri:"


"
                                
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                        
                                        
                                        
                                            
                                                Cerca
                                            
                                        
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                            
"Fornitura di energia elettrica, gas, vapore e aria condizionata";"Tempo determinato";"";"1.681 ";"334.359 ";"31.838.254 ";"54.579 ";"59.977 ";"1.529 ";"267.007 ";"24.308.901 ";"43.707 ";"49.980 ";"1.861 ";"354.636 ";"31.930.448 ";"58.561 ";"64.408 ";"2.030 ";"383.851 ";"34.582.869 ";"62.252 ";"70.262 ";"2.038 ";"401.211 ";"35.857.640 ";"64.182 ";"72.876 "
" ";"Tempo indeterminato";"";"79.406 ";"23.796.148 ";"3.818.199.378 ";"3.958.148 ";"4.010.553 ";"78.495 ";"23.376.721 ";"3.722.234.689 ";"3.906.982 ";"3.962.353 ";"79.783 ";"23.797.394 ";"3.857.095.620 ";"3.977.047 ";"4.032.071 ";"81.406 ";"24.383.877 ";"3.993.410.935 ";"4.055.402 ";"4.108.681 ";"83.394 ";"25.077.271 ";"4.184.771.039 ";"4.175.707 ";"4.228.614 "
" ";"Stagionale";"";"17 ";"2.043 ";"133.149 ";"349 ";"370 ";"13 ";"1.382 ";"97.409 ";"238 ";"249 ";"14 ";"2.292 ";"175.893 ";"410 ";"421 ";"9 ";"1.413 ";"108.952 ";"245 ";"267 ";"30 ";"4.493 ";"302.289 ";"735 ";"856 "
"Fornitura di energia elettrica, gas, vapore e aria condizionata";"Totale";"";"81.104 ";"24.132.550 ";"3.850.170.781 ";"4.013.076 ";"4.070.900 ";"80.037 ";"23.645.110 ";"3.746.640.999 ";"3.950.927 ";"4.012.582 ";"81.658 ";"24.154.322 ";"3.889.201.961 ";"4.036.018 ";"4.096.900 ";"83.445 ";"24.769.141 ";"4.028.102.756 ";"4.117.900 ";"4.179.210 ";"85.462 ";"25.482.975 ";"4.220.930.968 ";"4.240.624 ";"4.302.346 "
"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento";"Tempo determinato";"";"19.547 ";"3.519.006 ";"247.167.519 ";"570.117 ";"647.132 ";"17.907 ";"3.051.946 ";"211.757.379 ";"498.486 ";"573.761 ";"19.518 ";"3.559.755 ";"247.060.541 ";"577.206 ";"657.909 ";"19.664 ";"3.702.523 ";"259.176.917 ";"606.573 ";"684.484 ";"20.386 ";"3.818.502 ";"277.642.988 ";"633.058 ";"707.135 "
" ";"Tempo indeterminato";"";"157.077 ";"46.137.408 ";"4.800.169.691 ";"7.572.831 ";"7.849.740 ";"161.209 ";"46.574.404 ";"4.827.363.751 ";"7.750.262 ";"8.034.091 ";"166.203 ";"48.673.781 ";"5.112.436.980 ";"8.030.734 ";"8.306.088 ";"172.770 ";"50.818.696 ";"5.396.057.017 ";"8.382.083 ";"8.658.036 ";"177.556 ";"52.262.642 ";"5.623.385.484 ";"8.626.595 ";"8.908.026 "
" ";"Stagionale";"";"1.007 ";"130.866 ";"8.534.133 ";"21.212 ";"24.886 ";"1.230 ";"151.040 ";"10.391.238 ";"26.330 ";"29.224 ";"1.342 ";"167.773 ";"11.079.397 ";"28.393 ";"32.096 ";"1.579 ";"225.138 ";"14.809.326 ";"36.714 ";"42.695 ";"1.626 ";"210.539 ";"14.001.846 ";"34.235 ";"40.233 "
"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento";"Totale";"";"177.631 ";"49.787.280 ";"5.055.871.343 ";"8.164.160 ";"8.521.758 ";"180.346 ";"49.777.390 ";"5.049.512.368 ";"8.275.078 ";"8.637.076 ";"187.063 ";"52.401.309 ";"5.370.576.918 ";"8.636.333 ";"8.996.093 ";"194.013 ";"54.746.357 ";"5.670.043.260 ";"9.025.370 ";"9.385.215 ";"199.568 ";"56.291.683 ";"5.915.030.318 ";"9.293.888 ";"9.655.394 "
"Costruzioni";"Tempo determinato";"";"225.967 ";"29.796.014 ";"2.256.222.185 ";"5.611.638 ";"5.986.673 ";"229.472 ";"27.069.270 ";"2.051.086.752 ";"5.342.527 ";"5.734.916 ";"280.423 ";"38.314.803 ";"2.915.246.553 ";"7.227.229 ";"7.736.199 ";"305.311 ";"45.025.126 ";"3.479.889.514 ";"8.501.850 ";"9.044.486 ";"320.933 ";"46.137.854 ";"3.670.323.287 ";"8.746.610 ";"9.277.405 "
" ";"Tempo indeterminato";"";"728.854 ";"182.863.761 ";"15.849.251.160 ";"31.509.656 ";"33.086.277 ";"743.416 ";"170.632.017 ";"15.005.870.095 ";"31.430.397 ";"33.091.238 ";"815.275 ";"205.685.164 ";"18.218.565.824 ";"35.687.797 ";"37.383.565 ";"903.372 ";"235.757.721 ";"21.238.613.986 ";"40.621.473 ";"42.390.465 ";"949.312 ";"248.273.916 ";"23.212.277.125 ";"42.804.022 ";"44.615.634 "
" ";"Stagionale";"";"861 ";"99.623 ";"6.647.792 ";"19.153 ";"20.579 ";"1.053 ";"101.891 ";"6.985.416 ";"19.835 ";"21.843 ";"995 ";"112.871 ";"7.720.451 ";"20.922 ";"23.320 ";"1.186 ";"144.558 ";"10.071.361 ";"26.774 ";"29.320 ";"1.154 ";"139.600 ";"9.808.416 ";"25.872 ";"28.201 "
"Costruzioni";"Totale";"";"955.682 ";"212.759.398 ";"18.112.121.137 ";"37.140.448 ";"39.093.529 ";"973.941 ";"197.803.178 ";"17.063.942.263 ";"36.792.759 ";"38.847.997 ";"1.096.693 ";"244.112.838 ";"21.141.532.828 ";"42.935.948 ";"45.143.084 ";"1.209.869 ";"280.927.405 ";"24.728.574.861 ";"49.150.097 ";"51.464.271 ";"1.271.399 ";"294.551.370 ";"26.892.408.828 ";"51.576.503 ";"53.921.240 "
"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli";"Tempo determinato";"";"388.193 ";"59.222.714 ";"3.448.951.964 ";"8.498.224 ";"11.430.390 ";"342.532 ";"46.337.896 ";"2.597.630.846 ";"6.664.622 ";"9.370.571 ";"379.485 ";"57.890.525 ";"3.307.784.450 ";"8.253.039 ";"11.254.918 ";"411.407 ";"65.192.273 ";"3.777.383.734 ";"9.384.026 ";"12.606.128 ";"433.122 ";"69.156.924 ";"4.082.970.991 ";"9.923.887 ";"13.362.754 "
" ";"Tempo indeterminato";"";"1.983.479 ";"554.548.860 ";"47.666.258.550 ";"81.998.454 ";"95.866.736 ";"1.978.368 ";"504.961.836 ";"43.470.516.507 ";"78.160.562 ";"92.564.403 ";"1.991.954 ";"540.405.306 ";"47.052.591.488 ";"81.269.258 ";"95.154.211 ";"2.033.927 ";"573.395.085 ";"50.546.285.500 ";"85.378.889 ";"99.123.992 ";"2.078.616 ";"589.564.599 ";"53.809.709.607 ";"87.821.137 ";"101.679.949 "
" ";"Stagionale";"";"23.392 ";"2.862.380 ";"188.820.642 ";"467.910 ";"573.746 ";"21.874 ";"2.230.766 ";"143.688.414 ";"370.051 ";"466.867 ";"25.234 ";"2.801.091 ";"180.642.550 ";"450.578 ";"565.527 ";"28.565 ";"3.521.270 ";"231.207.164 ";"566.808 ";"704.014 ";"29.460 ";"3.714.687 ";"251.388.537 ";"597.005 ";"736.755 "
"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli";"Totale";"";"2.395.064 ";"616.633.954 ";"51.304.031.156 ";"90.964.588 ";"107.870.872 ";"2.342.774 ";"553.530.498 ";"46.211.835.767 ";"85.195.236 ";"102.401.841 ";"2.396.673 ";"601.096.922 ";"50.541.018.488 ";"89.972.875 ";"106.974.656 ";"2.473.899 ";"642.108.628 ";"54.554.876.398 ";"95.329.723 ";"112.434.134 ";"2.541.198 ";"662.436.210 ";"58.144.069.135 ";"98.342.029 ";"115.779.458 "
