"Osservatorio: Osservatorio sui Lavoratori Dipendenti - Anni 2014-2018 (classificazione dell'attività economica ISTAT ATECO 2007)"
"Filtri:"
"Tipologia contrattuale:Tempo determinato"

"
                                
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                        
                                        
                                        
                                            
                                                Cerca
                                            
                                        
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                            
                                                  Entra in MyInps
                                            
                                        
                                    
                                
                            "
"";"Anno";"2014";" ";" ";" ";" ";"2015";" ";" ";" ";" ";"2016";" ";" ";" ";" ";"2017";" ";" ";" ";" ";"2018";" ";" ";" ";" ";"  ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Attivita' economica ATECO 2007";"";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero giornate retribuite nell'anno ";"Numero settimane retribuite nell'anno ";"Numero settimane utili nell'anno ";"Somma retribuzioni nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero giornate retribuite nell'anno ";"Numero settimane retribuite nell'anno ";"Numero settimane utili nell'anno ";"Somma retribuzioni nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero giornate retribuite nell'anno ";"Numero settimane retribuite nell'anno ";"Numero settimane utili nell'anno ";"Somma retribuzioni nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero giornate retribuite nell'anno ";"Numero settimane retribuite nell'anno ";"Numero settimane utili nell'anno ";"Somma retribuzioni nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero giornate retribuite nell'anno ";"Numero settimane retribuite nell'anno ";"Numero settimane utili nell'anno ";"Somma retribuzioni nell'anno "
"Estrazione di minerali da cave e miniere";"";"3.170 ";"631.925 ";"116.651 ";"113.385 ";"72.076.445 ";"2.439 ";"481.423 ";"88.117 ";"85.745 ";"56.300.896 ";"2.197 ";"390.888 ";"73.122 ";"69.813 ";"43.994.027 ";"2.449 ";"458.441 ";"85.762 ";"82.050 ";"44.988.559 ";"2.843 ";"553.018 ";"102.740 ";"97.625 ";"51.158.995 "
"Attivita' manifatturiere";"";"319.220 ";"55.301.139 ";"10.427.771 ";"9.511.071 ";"4.067.021.374 ";"264.990 ";"43.540.091 ";"8.232.265 ";"7.507.107 ";"3.308.882.709 ";"299.742 ";"50.482.377 ";"9.534.301 ";"8.647.675 ";"3.792.085.323 ";"391.364 ";"69.214.931 ";"13.019.567 ";"11.707.747 ";"5.035.706.074 ";"413.306 ";"75.359.443 ";"14.113.173 ";"12.624.445 ";"5.422.872.886 "
"Fornitura di energia elettrica, gas, vapore e aria condizionata";"";"1.293 ";"262.999 ";"47.352 ";"44.109 ";"27.395.711 ";"999 ";"205.610 ";"36.643 ";"34.041 ";"21.947.646 ";"1.008 ";"200.468 ";"35.925 ";"32.830 ";"19.876.542 ";"1.528 ";"315.503 ";"56.693 ";"52.445 ";"28.718.293 ";"1.742 ";"370.823 ";"66.322 ";"60.813 ";"34.246.599 "
