"Osservatorio: Osservatorio sui Lavoratori Dipendenti - Anni 2014-2018 (classificazione dell'attività economica ISTAT ATECO 2007)"
"Filtri:"
"Tipologia contrattuale:Tempo indeterminato"

"
                                
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                        
                                        
                                        
                                            
                                                Cerca
                                            
                                        
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                            
"Attivita' dei servizi di alloggio e di ristorazione";"";"732.223 ";"165.242.698 ";"30.806.455 ";"22.586.543 ";"9.040.610.304 ";"826.471 ";"181.659.033 ";"33.627.438 ";"24.566.447 ";"9.955.678.079 ";"818.383 ";"191.559.959 ";"35.002.415 ";"25.573.903 ";"10.535.139.103 ";"800.862 ";"190.773.521 ";"34.866.029 ";"25.538.559 ";"10.526.483.335 ";"814.713 ";"195.069.073 ";"35.694.753 ";"26.137.176 ";"10.869.163.445 "
"Servizi di informazione e comunicazione";"";"406.285 ";"116.630.614 ";"20.048.254 ";"18.626.516 ";"13.567.787.426 ";"431.207 ";"119.544.883 ";"20.454.001 ";"18.988.760 ";"14.008.128.094 ";"426.494 ";"122.756.267 ";"21.021.313 ";"19.661.960 ";"14.455.517.940 ";"426.846 ";"123.289.721 ";"21.095.466 ";"19.781.817 ";"14.697.871.035 ";"440.234 ";"126.880.479 ";"21.669.230 ";"20.350.863 ";"15.343.985.223 "
"Attivita' finanziarie e assicurative";"";"505.950 ";"151.824.435 ";"25.657.832 ";"24.675.157 ";"24.003.463.074 ";"511.517 ";"152.513.732 ";"25.764.782 ";"24.744.393 ";"24.170.041.838 ";"514.874 ";"154.762.336 ";"26.139.424 ";"25.006.831 ";"24.626.632.767 ";"503.761 ";"151.124.070 ";"25.529.382 ";"24.476.267 ";"24.284.825.733 ";"499.691 ";"149.828.982 ";"25.310.464 ";"24.270.507 ";"24.498.208.091 "
"Attivita' immobiliari";"";"32.990 ";"8.910.422 ";"1.540.472 ";"1.275.131 ";"837.190.600 ";"38.927 ";"9.657.192 ";"1.674.802 ";"1.364.811 ";"885.991.354 ";"39.853 ";"10.813.644 ";"1.865.824 ";"1.499.912 ";"958.959.525 ";"40.216 ";"11.076.009 ";"1.907.872 ";"1.537.125 ";"997.280.358 ";"41.213 ";"11.304.731 ";"1.947.631 ";"1.572.748 ";"1.036.355.147 "
"Attivita' professionali, scientifiche e tecniche";"";"361.071 ";"100.510.966 ";"17.357.406 ";"15.034.071 ";"8.788.094.560 ";"401.574 ";"105.490.302 ";"18.259.153 ";"15.753.923 ";"9.280.123.270 ";"407.214 ";"112.774.220 ";"19.461.631 ";"16.748.185 ";"9.972.593.409 ";"405.670 ";"113.580.914 ";"19.565.690 ";"16.909.729 ";"10.334.615.190 ";"410.887 ";"115.207.164 ";"19.801.717 ";"17.203.839 ";"10.742.481.480 "
"Noleggio, agenzie di viaggio, servizi di supporto alle imprese";"";"825.251 ";"219.143.932 ";"38.746.671 ";"30.553.877 ";"13.977.090.729 ";"915.199 ";"237.351.641 ";"41.949.234 ";"33.199.388 ";"15.265.803.731 ";"910.396 ";"245.527.425 ";"43.213.076 ";"34.258.749 ";"15.887.021.061 ";"885.312 ";"241.710.227 ";"42.416.719 ";"33.861.784 ";"15.941.960.091 ";"901.498 ";"246.884.329 ";"43.265.457 ";"34.869.666 ";"16.669.178.070 "
"Istruzione";"";"142.711 ";"38.036.768 ";"6.711.255 ";"5.548.572 ";"2.455.814.281 ";"157.629 ";"40.193.151 ";"7.106.546 ";"5.807.695 ";"2.574.412.509 ";"153.653 ";"41.014.489 ";"7.229.886 ";"5.883.696 ";"2.642.857.077 ";"147.090 ";"39.770.941 ";"6.986.001 ";"5.706.466 ";"2.621.750.486 ";"146.210 ";"39.713.052 ";"6.952.383 ";"5.702.986 ";"2.664.681.756 "
"Sanita' e assistenza sociale";"";"545.831 ";"151.486.085 ";"26.595.171 ";"22.312.420 ";"10.257.640.024 ";"599.331 ";"160.320.738 ";"28.180.780 ";"23.470.166 ";"10.771.640.602 ";"610.258 ";"168.063.408 ";"29.516.849 ";"24.493.161 ";"11.264.527.939 ";"612.157 ";"169.571.536 ";"29.732.281 ";"24.733.271 ";"11.461.456.552 ";"631.962 ";"175.117.741 ";"30.676.542 ";"25.561.732 ";"11.895.734.802 "
"Attivita' artistiche, sportive, di intrattenimento e divertimento";"";"91.771 ";"21.948.996 ";"3.973.177 ";"3.338.401 ";"1.901.094.959 ";"104.816 ";"23.463.417 ";"4.180.032 ";"3.517.099 ";"1.969.034.412 ";"102.234 ";"25.041.297 ";"4.418.137 ";"3.707.656 ";"2.051.395.295 ";"102.523 ";"25.521.102 ";"4.502.760 ";"3.801.844 ";"2.185.633.907 ";"101.530 ";"25.320.841 ";"4.471.978 ";"3.766.273 ";"2.107.764.308 "
"Altre attivita' di servizi";"";"378.802 ";"96.792.738 ";"17.454.179 ";"14.662.976 ";"6.703.463.860 ";"396.730 ";"98.642.442 ";"17.720.082 ";"14.718.883 ";"6.826.536.454 ";"387.546 ";"100.318.122 ";"17.912.693 ";"14.745.804 ";"6.890.727.177 ";"374.344 ";"98.223.722 ";"17.520.439 ";"14.385.092 ";"6.766.707.041 ";"372.621 ";"97.530.043 ";"17.396.183 ";"14.257.826 ";"6.770.989.822 "
"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze";"";"37.427 ";"10.872.031 ";"1.871.362 ";"1.599.098 ";"623.015.143 ";"37.240 ";"10.717.515 ";"1.843.070 ";"1.571.796 ";"614.211.852 ";"36.289 ";"10.569.892 ";"1.814.266 ";"1.546.621 ";"606.130.477 ";"35.494 ";"10.357.672 ";"1.777.168 ";"1.512.999 ";"593.438.971 ";"34.823 ";"10.180.985 ";"1.745.534 ";"1.485.707 ";"584.155.550 "
"Totale";"";"11.065.522 ";"2.982.298.559 ";"524.605.949 ";"470.881.254 ";"271.777.659.990 ";"11.710.535 ";"3.095.238.242 ";"543.215.415 ";"485.408.755 ";"283.102.569.035 ";"11.602.989 ";"3.179.398.858 ";"555.219.470 ";"495.110.250 ";"291.129.145.111 ";"11.408.339 ";"3.159.156.571 ";"550.193.765 ";"491.168.341 ";"293.097.392.248 ";"11.549.258 ";"3.202.291.739 ";"557.284.872 ";"498.097.092 ";"301.228.829.039 "
