provincia,url
Livorno,https://elezioni2020.regione.toscana.it/Elezioni2020/www/Risultati/09049008.html
Livorno,https://elezioni2020.regione.toscana.it/Elezioni2020/www/Risultati/09049009.html
Livorno,https://elezioni2020.regione.toscana.it/Elezioni2020/www/Risultati/09049010.html
Livorno,https://elezioni2020.regione.toscana.it/Elezioni2020/www/Risultati/09049011.html
Livorno,https://elezioni2020.regione.toscana.it/Elezioni2020/www/Risultati/09049012.html
Livorno,https://elezioni2020.regione.toscana.it/Elezioni2020/www/Risultati/09049013.html
Livorno,https://elezioni2020.regione.toscana.it/Elezioni2020/www/Risultati/09049014.html
Livorno,https://elezioni2020.regione.toscana.it/Elezioni2020/www/Risultati/09049021.html
Livorno,https://elezioni2020.regione.toscana.it/Elezioni2020/www/Risultati/09049017.html
Livorno,https://elezioni2020.regione.toscana.it/Elezioni2020/www/Risultati/09049018.html
Livorno,https://elezioni2020.regione.toscana.it/Elezioni2020/www/Risultati/09049019.html
Livorno,https://elezioni2020.regione.toscana.it/Elezioni2020/www/Risultati/09049020.html
Massa-Carrara,https://elezioni2020.regione.toscana.it/Elezioni2020/www/Risultati/09045001.html
Massa-Carrara,https://elezioni2020.regione.toscana.it/Elezioni2020/www/Risultati/09045002.html
Massa-Carrara,https://elezioni2020.regione.toscana.it/Elezioni2020/www/Risultati/09045003.html
Massa-Carrara,https://elezioni2020.regione.toscana.it/Elezioni2020/www/Risultati/09045004.html
Massa-Carrara,https://elezioni2020.regione.toscana.it/Elezioni2020/www/Risultati/09045005.html
Massa-Carrara,https://elezioni2020.regione.toscana.it/Elezioni2020/www/Risultati/09045006.html
Massa-Carrara,https://elezioni2020.regione.toscana.it/Elezioni2020/www/Risultati/09045007.html
Massa-Carrara,https://elezioni2020.regione.toscana.it/Elezioni2020/www/Risultati/09045008.html
Massa-Carrara,https://elezioni2020.regione.toscana.it/Elezioni2020/www/Risultati/09045009.html
Massa-Carrara,https://elezioni2020.regione.toscana.it/Elezioni2020/www/Risultati/09045010.html
Massa-Carrara,https://elezioni2020.regione.toscana.it/Elezioni2020/www/Risultati/09045011.html
Massa-Carrara,https://elezioni2020.regione.toscana.it/Elezioni2020/www/Risultati/09045012.html
Massa-Carrara,https://elezioni2020.regione.toscana.it/Elezioni2020/www/Risultati/09045013.html
Massa-Carrara,https://elezioni2020.regione.toscana.it/Elezioni2020/www/Risultati/09045014.html
Massa-Carrara,https://elezioni2020.regione.toscana.it/Elezioni2020/www/Risultati/09045015.html
Massa-Carrara,https://elezioni2020.regione.toscana.it/Elezioni2020/www/Risultati/09045016.html
Massa-Carrara,https://elezioni2020.regione.toscana.it/Elezioni2020/www/Risultati/09045017.html
Pisa,https://elezioni2020.regione.toscana.it/Elezioni2020/www/Risultati/09050001.html
Pisa,https://elezioni2020.regione.toscana.it/Elezioni2020/www/Risultati/09050002.html
