variabile,classe_dimensionale,classe_codice,anno,valore
addetti,"50-249 addetti",W50_249,2014,812215
addetti,"50-249 addetti",W50_249,2015,805504
addetti,"50-249 addetti",W50_249,2016,822177
addetti,"50-249 addetti",W50_249,2017,809609
addetti,"50-249 addetti",W50_249,2018,830841
addetti,"50-249 addetti",W50_249,2019,851064
addetti,"50-249 addetti",W50_249,2020,848292
addetti,"50-249 addetti",W50_249,2021,861634
addetti,"50-249 addetti",W50_249,2022,902523
addetti,"50-249 addetti",W50_249,2023,929594
