categoria,codice,mese,indice
"Totale industria escl. costruzioni",0020,2008-08,66.5
"Totale industria escl. costruzioni",0020,2008-09,125.9
"Totale industria escl. costruzioni",0020,2008-10,126.8
"Totale industria escl. costruzioni",0020,2008-11,116.6
"Totale industria escl. costruzioni",0020,2008-12,91.7
"Totale industria escl. costruzioni",0020,2009-01,95
"Totale industria escl. costruzioni",0020,2009-02,98.7
"Totale industria escl. costruzioni",0020,2009-03,102.4
"Totale industria escl. costruzioni",0020,2009-04,92.8
"Totale industria escl. costruzioni",0020,2009-05,102.8
"Totale industria escl. costruzioni",0020,2009-06,99.4
"Totale industria escl. costruzioni",0020,2009-07,109.8
"Totale industria escl. costruzioni",0020,2009-08,54.2
"Totale industria escl. costruzioni",0020,2009-09,105.8
"Totale industria escl. costruzioni",0020,2009-10,110.6
"Totale industria escl. costruzioni",0020,2009-11,105.8
"Totale industria escl. costruzioni",0020,2009-12,86
"Totale industria escl. costruzioni",0020,2010-01,95.1
"Totale industria escl. costruzioni",0020,2010-02,102
"Totale industria escl. costruzioni",0020,2010-03,110.5
"Totale industria escl. costruzioni",0020,2010-04,100.7
"Totale industria escl. costruzioni",0020,2010-05,110.4
"Totale industria escl. costruzioni",0020,2010-06,110.2
"Totale industria escl. costruzioni",0020,2010-07,118.9
"Totale industria escl. costruzioni",0020,2010-08,62.3
"Totale industria escl. costruzioni",0020,2010-09,112.1
"Totale industria escl. costruzioni",0020,2010-10,115.1
"Totale industria escl. costruzioni",0020,2010-11,110.9
"Totale industria escl. costruzioni",0020,2010-12,93
"Totale industria escl. costruzioni",0020,2011-01,96.8
"Totale industria escl. costruzioni",0020,2011-02,107.6
"Totale industria escl. costruzioni",0020,2011-03,116.6
"Totale industria escl. costruzioni",0020,2011-04,106.3
"Totale industria escl. costruzioni",0020,2011-05,114.3
"Totale industria escl. costruzioni",0020,2011-06,110.3
"Totale industria escl. costruzioni",0020,2011-07,119
"Totale industria escl. costruzioni",0020,2011-08,66.7
"Totale industria escl. costruzioni",0020,2011-09,110.1
"Totale industria escl. costruzioni",0020,2011-10,110.8
"Totale industria escl. costruzioni",0020,2011-11,107.1
"Totale industria escl. costruzioni",0020,2011-12,90.6
"Totale industria escl. costruzioni",0020,2012-01,92.1
"Totale industria escl. costruzioni",0020,2012-02,99.8
"Totale industria escl. costruzioni",0020,2012-03,108.6
"Totale industria escl. costruzioni",0020,2012-04,96.5
"Totale industria escl. costruzioni",0020,2012-05,107.9
