geo,nace_r2,anno,indice
DE,C12,1964,NA
DE,C12,1965,NA
DE,C12,1966,NA
DE,C12,1967,NA
DE,C12,1968,NA
DE,C12,1969,NA
DE,C12,1970,NA
DE,C12,1971,NA
DE,C12,1972,NA
DE,C12,1973,NA
DE,C12,1974,NA
DE,C12,1975,NA
DE,C12,1976,NA
DE,C12,1977,NA
DE,C12,1978,NA
DE,C12,1979,NA
DE,C12,1980,NA
DE,C12,1981,NA
DE,C12,1982,NA
DE,C12,1983,NA
DE,C12,1984,NA
DE,C12,1985,NA
DE,C12,1986,NA
DE,C12,1987,NA
DE,C12,1988,NA
DE,C12,1989,NA
DE,C12,1990,NA
DE,C12,1991,560.2
DE,C12,1992,499.5
DE,C12,1993,484.1
DE,C12,1994,512.4
DE,C12,1995,485.3
DE,C12,1996,502.8
DE,C12,1997,511.4
DE,C12,1998,534
DE,C12,1999,567
DE,C12,2000,579.2
DE,C12,2001,572.7
DE,C12,2002,507.2
DE,C12,2003,420.2
DE,C12,2004,382.7
DE,C12,2005,343
DE,C12,2006,324.7
DE,C12,2007,315.7
DE,C12,2008,228.5
DE,C12,2009,221.4
DE,C12,2010,188.4
DE,C12,2011,181.2
DE,C12,2012,155.2
DE,C12,2013,146.5
DE,C12,2014,138.5
DE,C12,2015,139.7
DE,C12,2016,140.5
DE,C12,2017,135.8
DE,C12,2018,139.1
DE,C12,2019,119.5
DE,C12,2020,104.9
DE,C12,2021,99.1
DE,C12,2022,92.5
DE,C12,2023,97.5
DE,C12,2024,100.7
DE,C12,2025,95.2
DE,C13,1953,NA
DE,C13,1954,NA
DE,C13,1955,NA
DE,C13,1956,NA
DE,C13,1957,NA
DE,C13,1958,NA
DE,C13,1959,NA
DE,C13,1960,NA
DE,C13,1961,NA
DE,C13,1962,NA
DE,C13,1963,NA
DE,C13,1964,NA
DE,C13,1965,NA
DE,C13,1966,NA
DE,C13,1967,NA
DE,C13,1968,NA
DE,C13,1969,NA
DE,C13,1970,NA
DE,C13,1971,NA
DE,C13,1972,NA
DE,C13,1973,NA
DE,C13,1974,NA
DE,C13,1975,NA
DE,C13,1976,NA
DE,C13,1977,NA
DE,C13,1978,NA
DE,C13,1979,NA
DE,C13,1980,NA
DE,C13,1981,NA
DE,C13,1982,NA
DE,C13,1983,NA
DE,C13,1984,NA
DE,C13,1985,NA
DE,C13,1986,NA
DE,C13,1987,NA
DE,C13,1988,NA
DE,C13,1989,NA
DE,C13,1990,NA
DE,C13,1991,210.5
DE,C13,1992,192.2
DE,C13,1993,169.9
DE,C13,1994,165.3
DE,C13,1995,157.4
DE,C13,1996,149.4
DE,C13,1997,150
DE,C13,1998,151.4
DE,C13,1999,140.5
DE,C13,2000,143.1
DE,C13,2001,139.1
DE,C13,2002,132.1
DE,C13,2003,127.2
DE,C13,2004,125.7
DE,C13,2005,121.6
DE,C13,2006,121.5
DE,C13,2007,123
DE,C13,2008,116.7
DE,C13,2009,94.1
DE,C13,2010,105.1
DE,C13,2011,106.9
DE,C13,2012,99.2
DE,C13,2013,98.9
DE,C13,2014,101.5
DE,C13,2015,102.7
DE,C13,2016,104.3
DE,C13,2017,108
DE,C13,2018,105
DE,C13,2019,103.7
DE,C13,2020,94.3
DE,C13,2021,99.4
DE,C13,2022,93
DE,C13,2023,87.1
DE,C13,2024,84.4
DE,C13,2025,81.4
DE,C14,1953,NA
DE,C14,1954,NA
DE,C14,1955,NA
DE,C14,1956,NA
DE,C14,1957,NA
DE,C14,1958,NA
DE,C14,1959,NA
DE,C14,1960,NA
DE,C14,1961,NA
DE,C14,1962,NA
DE,C14,1963,NA
DE,C14,1964,NA
DE,C14,1965,NA
DE,C14,1966,NA
DE,C14,1967,NA
DE,C14,1968,NA
DE,C14,1969,NA
DE,C14,1970,NA
DE,C14,1971,NA
DE,C14,1972,NA
DE,C14,1973,NA
DE,C14,1974,NA
DE,C14,1975,NA
DE,C14,1976,NA
DE,C14,1977,NA
DE,C14,1978,NA
DE,C14,1979,NA
DE,C14,1980,NA
DE,C14,1981,NA
DE,C14,1982,NA
DE,C14,1983,NA
DE,C14,1984,NA
DE,C14,1985,NA
DE,C14,1986,NA
DE,C14,1987,NA
DE,C14,1988,NA
DE,C14,1989,NA
DE,C14,1990,NA
DE,C14,1991,1130.3
DE,C14,1992,983.3
DE,C14,1993,867.5
DE,C14,1994,740.7
DE,C14,1995,691.4
DE,C14,1996,635.6
DE,C14,1997,593.5
DE,C14,1998,558.1
DE,C14,1999,493.1
DE,C14,2000,450
DE,C14,2001,421.7
DE,C14,2002,361.6
DE,C14,2003,320.9
DE,C14,2004,299.4
DE,C14,2005,276.7
DE,C14,2006,243.9
DE,C14,2007,224.5
DE,C14,2008,190.8
DE,C14,2009,164.4
DE,C14,2010,163.9
DE,C14,2011,162.2
DE,C14,2012,146.7
DE,C14,2013,142.9
DE,C14,2014,150.7
DE,C14,2015,142.3
DE,C14,2016,142
DE,C14,2017,138.9
DE,C14,2018,132.1
DE,C14,2019,127.8
DE,C14,2020,101.3
DE,C14,2021,99.7
DE,C14,2022,112
DE,C14,2023,106.3
DE,C14,2024,92.3
DE,C14,2025,87.2
DE,C15,1953,NA
