fascia,n,importo,q_pens,q_spesa
fino a 600,2264759,10082078243,13.88819883394171,2.767560733367252
600-1.200,3803807,42699923315,23.32611458523371,11.721257089671527
1.200-1.800,3821491,73730695951,23.434558312879535,20.239297299592224
1.800-2.400,2822555,76545535703,17.308775485487125,21.011979258667992
2.400-3.000,1876880,65470817166,11.509605493321152,17.971935785748514
3.000-3.600,785401,33287513785,4.816320523453777,9.137522427655206
oltre 3.600,932182,62478178187,5.716426765682994,17.150447405297285
