DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,AGE,MARITAL_STATUS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_AGE,NOTE_MARITAL_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:22_289(1.0),A,001044,JAN,9,TOTAL,99,2022-01-01,5652.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001045,JAN,9,TOTAL,99,2022-01-01,6304.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001046,JAN,9,TOTAL,99,2022-01-01,3310.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001047,JAN,9,TOTAL,99,2022-01-01,7388.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001048,JAN,9,TOTAL,99,2022-01-01,5900.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001049,JAN,9,TOTAL,99,2022-01-01,1330.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001050,JAN,9,TOTAL,99,2022-01-01,1209.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001051,JAN,9,TOTAL,99,2022-01-01,5610.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001052,JAN,9,TOTAL,99,2022-01-01,286.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001053,JAN,9,TOTAL,99,2022-01-01,2602.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001054,JAN,9,TOTAL,99,2022-01-01,596.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001055,JAN,9,TOTAL,99,2022-01-01,2060.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001056,JAN,9,TOTAL,99,2022-01-01,901.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001057,JAN,9,TOTAL,99,2022-01-01,739.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001058,JAN,9,TOTAL,99,2022-01-01,9052.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001059,JAN,9,TOTAL,99,2022-01-01,28313.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001060,JAN,9,TOTAL,99,2022-01-01,1855.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001061,JAN,9,TOTAL,99,2022-01-01,1524.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001062,JAN,9,TOTAL,99,2022-01-01,3034.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001063,JAN,9,TOTAL,99,2022-01-01,13834.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001064,JAN,9,TOTAL,99,2022-01-01,1763.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001065,JAN,9,TOTAL,99,2022-01-01,2179.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001066,JAN,9,TOTAL,99,2022-01-01,9695.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001067,JAN,9,TOTAL,99,2022-01-01,401.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001068,JAN,9,TOTAL,99,2022-01-01,6469.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001069,JAN,9,TOTAL,99,2022-01-01,2226.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001070,JAN,9,TOTAL,99,2022-01-01,5374.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001071,JAN,9,TOTAL,99,2022-01-01,1782.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001072,JAN,9,TOTAL,99,2022-01-01,1017.0,,,FILTER__ITC1,,,,,,,
IT1:22_289(1.0),A,001073,JAN,9,TOTAL,99,2022-01-01,159.0,,,FILTER__ITC1,,,,,,,
