DATAFLOW,FREQ,REF_AREA,DATA_TYPE,MEASURE,SEX,AGE,EDU_LEV_HIGHEST,LABOUR_PROFESS_STATUS_B,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_MEASURE,NOTE_SEX,NOTE_AGE,NOTE_EDU_LEV_HIGHEST,NOTE_LABOUR_PROFESS_STATUS_B,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITC3,11_BIC_VINO,HSC,9,Y_GE11,99,99,2025,14.4,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITC3,11_PIU_VINO,HSC,9,Y_GE11,99,99,2023,1.7,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITC3,11_PIU_VINO,HSC,9,Y_GE11,99,99,2024,1.5,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITC3,11_PIU_VINO,HSC,9,Y_GE11,99,99,2025,1.5,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITC3,11_VINO,HSC,9,Y_GE11,99,99,2023,58.1,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITC3,11_VINO,HSC,9,Y_GE11,99,99,2024,57.8,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITC3,11_VINO,HSC,9,Y_GE11,99,99,2025,56.7,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITC4,11_BIC_VINO,HSC,9,Y_GE11,99,99,2023,14,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITC4,11_BIC_VINO,HSC,9,Y_GE11,99,99,2024,12.6,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITC4,11_BIC_VINO,HSC,9,Y_GE11,99,99,2025,13.2,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITC4,11_PIU_VINO,HSC,9,Y_GE11,99,99,2023,1.9,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITC4,11_PIU_VINO,HSC,9,Y_GE11,99,99,2024,2.2,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITC4,11_PIU_VINO,HSC,9,Y_GE11,99,99,2025,1.9,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITC4,11_VINO,HSC,9,Y_GE11,99,99,2023,56.1,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITC4,11_VINO,HSC,9,Y_GE11,99,99,2024,57.2,,,,,,,,,,,,,
