DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:29_316(1.0),A,001073,FJAN,9,2020-01-01,10.0,,,,,,,,
IT1:29_316(1.0),A,001074,FJAN,9,2020-01-01,77.0,,,,,,,,
IT1:29_316(1.0),A,001075,FJAN,9,2020-01-01,31.0,,,,,,,,
IT1:29_316(1.0),A,001076,FJAN,9,2020-01-01,80.0,,,,,,,,
IT1:29_316(1.0),A,001077,FJAN,9,2020-01-01,115.0,,,,,,,,
IT1:29_316(1.0),A,001078,FJAN,9,2020-01-01,3390.0,,,,,,,,
IT1:29_316(1.0),A,001079,FJAN,9,2020-01-01,37.0,,,,,,,,
IT1:29_316(1.0),A,001080,FJAN,9,2020-01-01,39.0,,,,,,,,
IT1:29_316(1.0),A,001081,FJAN,9,2020-01-01,152.0,,,,,,,,
IT1:29_316(1.0),A,001082,FJAN,9,2020-01-01,2059.0,,,,,,,,
IT1:29_316(1.0),A,001083,FJAN,9,2020-01-01,8.0,,,,,,,,
IT1:29_316(1.0),A,001084,FJAN,9,2020-01-01,22.0,,,,,,,,
IT1:29_316(1.0),A,001085,FJAN,9,2020-01-01,14.0,,,,,,,,
IT1:29_316(1.0),A,001086,FJAN,9,2020-01-01,1194.0,,,,,,,,
IT1:29_316(1.0),A,001087,FJAN,9,2020-01-01,35.0,,,,,,,,
IT1:29_316(1.0),A,001088,FJAN,9,2020-01-01,69.0,,,,,,,,
IT1:29_316(1.0),A,001089,FJAN,9,2020-01-01,249.0,,,,,,,,
IT1:29_316(1.0),A,001090,FJAN,9,2020-01-01,2700.0,,,,,,,,
IT1:29_316(1.0),A,001091,FJAN,9,2020-01-01,59.0,,,,,,,,
IT1:29_316(1.0),A,001092,FJAN,9,2020-01-01,46.0,,,,,,,,
IT1:29_316(1.0),A,001093,FJAN,9,2020-01-01,193.0,,,,,,,,
IT1:29_316(1.0),A,001094,FJAN,9,2020-01-01,188.0,,,,,,,,
IT1:29_316(1.0),A,001095,FJAN,9,2020-01-01,26.0,,,,,,,,
IT1:29_316(1.0),A,001096,FJAN,9,2020-01-01,84.0,,,,,,,,
IT1:29_316(1.0),A,001097,FJAN,9,2020-01-01,374.0,,,,,,,,
IT1:29_316(1.0),A,001098,FJAN,9,2020-01-01,1120.0,,,,,,,,
IT1:29_316(1.0),A,001099,FJAN,9,2020-01-01,603.0,,,,,,,,
IT1:29_316(1.0),A,001100,FJAN,9,2020-01-01,13.0,,,,,,,,
IT1:29_316(1.0),A,001101,FJAN,9,2020-01-01,455.0,,,,,,,,
IT1:29_316(1.0),A,001102,FJAN,9,2020-01-01,283.0,,,,,,,,
IT1:29_316(1.0),A,001103,FJAN,9,2020-01-01,21.0,,,,,,,,
IT1:29_316(1.0),A,001104,FJAN,9,2020-01-01,123.0,,,,,,,,
IT1:29_316(1.0),A,001105,FJAN,9,2020-01-01,35.0,,,,,,,,
IT1:29_316(1.0),A,001106,FJAN,9,2020-01-01,156.0,,,,,,,,
IT1:29_316(1.0),A,001107,FJAN,9,2020-01-01,337.0,,,,,,,,
IT1:29_316(1.0),A,001108,FJAN,9,2020-01-01,0.0,,,,,,,,
IT1:29_316(1.0),A,001109,FJAN,9,2020-01-01,92.0,,,,,,,,
IT1:29_316(1.0),A,001110,FJAN,9,2020-01-01,145.0,,,,,,,,
IT1:29_316(1.0),A,001111,FJAN,9,2020-01-01,23.0,,,,,,,,
IT1:29_316(1.0),A,001112,FJAN,9,2020-01-01,707.0,,,,,,,,
IT1:29_316(1.0),A,001113,FJAN,9,2020-01-01,97.0,,,,,,,,
IT1:29_316(1.0),A,001114,FJAN,9,2020-01-01,8.0,,,,,,,,
IT1:29_316(1.0),A,001115,FJAN,9,2020-01-01,1241.0,,,,,,,,
IT1:29_316(1.0),A,001116,FJAN,9,2020-01-01,118.0,,,,,,,,
IT1:29_316(1.0),A,001117,FJAN,9,2020-01-01,40.0,,,,,,,,
IT1:29_316(1.0),A,001118,FJAN,9,2020-01-01,1.0,,,,,,,,
IT1:29_316(1.0),A,001119,FJAN,9,2020-01-01,47.0,,,,,,,,
IT1:29_316(1.0),A,001120,FJAN,9,2020-01-01,1553.0,,,,,,,,
IT1:29_316(1.0),A,001121,FJAN,9,2020-01-01,1.0,,,,,,,,
IT1:29_316(1.0),A,001122,FJAN,9,2020-01-01,26.0,,,,,,,,
IT1:29_316(1.0),A,001123,FJAN,9,2020-01-01,7.0,,,,,,,,
IT1:29_316(1.0),A,001124,FJAN,9,2020-01-01,22.0,,,,,,,,
IT1:29_316(1.0),A,001125,FJAN,9,2020-01-01,2027.0,,,,,,,,
IT1:29_316(1.0),A,001126,FJAN,9,2020-01-01,45.0,,,,,,,,
IT1:29_316(1.0),A,001127,FJAN,9,2020-01-01,291.0,,,,,,,,
IT1:29_316(1.0),A,001128,FJAN,9,2020-01-01,391.0,,,,,,,,
IT1:29_316(1.0),A,001129,FJAN,9,2020-01-01,110.0,,,,,,,,
IT1:29_316(1.0),A,001130,FJAN,9,2020-01-01,1107.0,,,,,,,,
IT1:29_316(1.0),A,001131,FJAN,9,2020-01-01,16.0,,,,,,,,
IT1:29_316(1.0),A,001132,FJAN,9,2020-01-01,75.0,,,,,,,,
IT1:29_316(1.0),A,001133,FJAN,9,2020-01-01,43.0,,,,,,,,
IT1:29_316(1.0),A,001134,FJAN,9,2020-01-01,58.0,,,,,,,,
IT1:29_316(1.0),A,001135,FJAN,9,2020-01-01,78.0,,,,,,,,
IT1:29_316(1.0),A,001136,FJAN,9,2020-01-01,91.0,,,,,,,,
IT1:29_316(1.0),A,001137,FJAN,9,2020-01-01,46.0,,,,,,,,
IT1:29_316(1.0),A,001139,FJAN,9,2020-01-01,785.0,,,,,,,,
IT1:29_316(1.0),A,001140,FJAN,9,2020-01-01,10.0,,,,,,,,
IT1:29_316(1.0),A,001141,FJAN,9,2020-01-01,29.0,,,,,,,,
IT1:29_316(1.0),A,001142,FJAN,9,2020-01-01,48.0,,,,,,,,
IT1:29_316(1.0),A,001143,FJAN,9,2020-01-01,9.0,,,,,,,,
IT1:29_316(1.0),A,001144,FJAN,9,2020-01-01,27.0,,,,,,,,
IT1:29_316(1.0),A,001145,FJAN,9,2020-01-01,0.0,,,,,,,,
IT1:29_316(1.0),A,001146,FJAN,9,2020-01-01,270.0,,,,,,,,
IT1:29_316(1.0),A,001147,FJAN,9,2020-01-01,33.0,,,,,,,,
IT1:29_316(1.0),A,001148,FJAN,9,2020-01-01,254.0,,,,,,,,
IT1:29_316(1.0),A,001149,FJAN,9,2020-01-01,40.0,,,,,,,,
IT1:29_316(1.0),A,001150,FJAN,9,2020-01-01,219.0,,,,,,,,
IT1:29_316(1.0),A,001152,FJAN,9,2020-01-01,34.0,,,,,,,,
IT1:29_316(1.0),A,001153,FJAN,9,2020-01-01,38.0,,,,,,,,
IT1:29_316(1.0),A,001154,FJAN,9,2020-01-01,15.0,,,,,,,,
IT1:29_316(1.0),A,001155,FJAN,9,2020-01-01,5.0,,,,,,,,
IT1:29_316(1.0),A,001156,FJAN,9,2020-01-01,5649.0,,,,,,,,
IT1:29_316(1.0),A,001157,FJAN,9,2020-01-01,0.0,,,,,,,,
IT1:29_316(1.0),A,001158,FJAN,9,2020-01-01,17.0,,,,,,,,
IT1:29_316(1.0),A,001159,FJAN,9,2020-01-01,91.0,,,,,,,,
IT1:29_316(1.0),A,001160,FJAN,9,2020-01-01,240.0,,,,,,,,
IT1:29_316(1.0),A,001161,FJAN,9,2020-01-01,211.0,,,,,,,,
IT1:29_316(1.0),A,001162,FJAN,9,2020-01-01,87.0,,,,,,,,
IT1:29_316(1.0),A,001163,FJAN,9,2020-01-01,44.0,,,,,,,,
IT1:29_316(1.0),A,001164,FJAN,9,2020-01-01,2844.0,,,,,,,,
IT1:29_316(1.0),A,001165,FJAN,9,2020-01-01,2.0,,,,,,,,
IT1:29_316(1.0),A,001166,FJAN,9,2020-01-01,342.0,,,,,,,,
IT1:29_316(1.0),A,001167,FJAN,9,2020-01-01,18.0,,,,,,,,
IT1:29_316(1.0),A,001168,FJAN,9,2020-01-01,397.0,,,,,,,,
IT1:29_316(1.0),A,001169,FJAN,9,2020-01-01,10.0,,,,,,,,
IT1:29_316(1.0),A,001170,FJAN,9,2020-01-01,86.0,,,,,,,,
IT1:29_316(1.0),A,001171,FJAN,9,2020-01-01,1153.0,,,,,,,,
IT1:29_316(1.0),A,001172,FJAN,9,2020-01-01,36.0,,,,,,,,
IT1:29_316(1.0),A,001173,FJAN,9,2020-01-01,26.0,,,,,,,,
IT1:29_316(1.0),A,001174,FJAN,9,2020-01-01,27.0,,,,,,,,
IT1:29_316(1.0),A,001175,FJAN,9,2020-01-01,370.0,,,,,,,,
IT1:29_316(1.0),A,001176,FJAN,9,2020-01-01,40.0,,,,,,,,
IT1:29_316(1.0),A,001177,FJAN,9,2020-01-01,47.0,,,,,,,,
IT1:29_316(1.0),A,001178,FJAN,9,2020-01-01,307.0,,,,,,,,
IT1:29_316(1.0),A,001179,FJAN,9,2020-01-01,15.0,,,,,,,,
IT1:29_316(1.0),A,001180,FJAN,9,2020-01-01,71.0,,,,,,,,
IT1:29_316(1.0),A,001181,FJAN,9,2020-01-01,174.0,,,,,,,,
IT1:29_316(1.0),A,001183,FJAN,9,2020-01-01,258.0,,,,,,,,
IT1:29_316(1.0),A,001184,FJAN,9,2020-01-01,217.0,,,,,,,,
IT1:29_316(1.0),A,001185,FJAN,9,2020-01-01,21.0,,,,,,,,
