DATAFLOW,LAST UPDATE,freq,unit,icha11_hf,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,EUR_HAB,HF3,FR,2011-01-01,405.18,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,EUR_HAB,TOT_HF,DE,2011-01-01,3601.36,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,EUR_HAB,TOT_HF,ES,2011-01-01,2107.42,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,EUR_HAB,TOT_HF,FR,2011-01-01,3538.66,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,HF1,DE,2011-01-01,83.46,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,HF1,ES,2011-01-01,72.75,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,HF1,FR,2011-01-01,75.21,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,HF3,DE,2011-01-01,13.32,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,HF3,ES,2011-01-01,21.66,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,HF3,FR,2011-01-01,11.45,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,TOT_HF,DE,2011-01-01,100.0,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,TOT_HF,ES,2011-01-01,100.0,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,TOT_HF,FR,2011-01-01,100.0,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_GDP,HF1,DE,2011-01-01,8.78,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_GDP,HF1,ES,2011-01-01,6.71,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_GDP,HF1,FR,2011-01-01,8.41,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_GDP,HF3,DE,2011-01-01,1.4,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_GDP,HF3,ES,2011-01-01,2.0,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_GDP,HF3,FR,2011-01-01,1.28,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_GDP,TOT_HF,DE,2011-01-01,10.52,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_GDP,TOT_HF,ES,2011-01-01,9.22,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_GDP,TOT_HF,FR,2011-01-01,11.18,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PPS_HAB,HF1,DE,2011-01-01,2883.44,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PPS_HAB,HF1,ES,2011-01-01,1526.32,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PPS_HAB,HF1,FR,2011-01-01,2380.47,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PPS_HAB,HF3,DE,2011-01-01,460.29,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PPS_HAB,HF3,ES,2011-01-01,454.43,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PPS_HAB,HF3,FR,2011-01-01,362.41,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PPS_HAB,TOT_HF,DE,2011-01-01,3454.84,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PPS_HAB,TOT_HF,ES,2011-01-01,2097.98,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PPS_HAB,TOT_HF,FR,2011-01-01,3165.05,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,EUR_HAB,HF1,DE,2012-01-01,3073.99,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,EUR_HAB,HF1,ES,2012-01-01,1455.55,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,EUR_HAB,HF1,FR,2012-01-01,2725.85,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,EUR_HAB,HF1,IT,2012-01-01,1798.67,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,EUR_HAB,HF3,DE,2012-01-01,497.59,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,EUR_HAB,HF3,ES,2012-01-01,473.18,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,EUR_HAB,HF3,FR,2012-01-01,409.82,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,EUR_HAB,HF3,IT,2012-01-01,538.23,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,EUR_HAB,TOT_HF,DE,2012-01-01,3688.62,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,EUR_HAB,TOT_HF,ES,2012-01-01,2041.87,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,EUR_HAB,TOT_HF,FR,2012-01-01,3618.04,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,EUR_HAB,TOT_HF,IT,2012-01-01,2386.86,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,HF1,DE,2012-01-01,83.34,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,HF1,ES,2012-01-01,71.29,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,HF1,FR,2012-01-01,75.34,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,HF1,IT,2012-01-01,75.36,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,HF3,DE,2012-01-01,13.49,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,HF3,ES,2012-01-01,23.17,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,HF3,FR,2012-01-01,11.33,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,HF3,IT,2012-01-01,22.55,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,TOT_HF,DE,2012-01-01,100.0,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,TOT_HF,ES,2012-01-01,100.0,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,TOT_HF,FR,2012-01-01,100.0,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_CHE,TOT_HF,IT,2012-01-01,100.0,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_GDP,HF1,DE,2012-01-01,8.83,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_GDP,HF1,ES,2012-01-01,6.57,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_GDP,HF1,FR,2012-01-01,8.54,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_GDP,HF1,IT,2012-01-01,6.63,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_GDP,HF3,DE,2012-01-01,1.43,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_GDP,HF3,ES,2012-01-01,2.14,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_GDP,HF3,FR,2012-01-01,1.28,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_GDP,HF3,IT,2012-01-01,1.98,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_GDP,TOT_HF,DE,2012-01-01,10.6,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_GDP,TOT_HF,ES,2012-01-01,9.22,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_GDP,TOT_HF,FR,2012-01-01,11.34,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PC_GDP,TOT_HF,IT,2012-01-01,8.8,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PPS_HAB,HF1,DE,2012-01-01,2941.92,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PPS_HAB,HF1,ES,2012-01-01,1470.22,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PPS_HAB,HF1,FR,2012-01-01,2428.18,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PPS_HAB,HF1,IT,2012-01-01,1722.6,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PPS_HAB,HF3,DE,2012-01-01,476.21,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PPS_HAB,HF3,ES,2012-01-01,477.94,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PPS_HAB,HF3,FR,2012-01-01,365.07,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PPS_HAB,HF3,IT,2012-01-01,515.47,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PPS_HAB,TOT_HF,DE,2012-01-01,3530.15,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PPS_HAB,TOT_HF,ES,2012-01-01,2062.44,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PPS_HAB,TOT_HF,FR,2012-01-01,3222.94,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,PPS_HAB,TOT_HF,IT,2012-01-01,2285.91,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,EUR_HAB,HF1,DE,2013-01-01,3214.25,,
ESTAT:HLTH_SHA11_HF(1.0),08/05/26 11:00:00,A,EUR_HAB,HF1,ES,2013-01-01,1409.97,,
