DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,AGE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_AGE,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:26_295(1.0),A,ITDA,LIFEXP,9,Y0,2011-01-01,83.076,,,,,,,,,,
IT1:26_295(1.0),A,ITE,LIFEXP,1,Y0,2011-01-01,79.857,,,,,,,,,,
IT1:26_295(1.0),A,ITE,LIFEXP,2,Y0,2011-01-01,84.618,,,,,,,,,,
IT1:26_295(1.0),A,ITE,LIFEXP,9,Y0,2011-01-01,82.182,,,,,,,,,,
IT1:26_295(1.0),A,ITF,LIFEXP,1,Y0,2011-01-01,78.871,,,,,,,,,,
IT1:26_295(1.0),A,ITF,LIFEXP,2,Y0,2011-01-01,83.741,,,,,,,,,,
IT1:26_295(1.0),A,ITF,LIFEXP,9,Y0,2011-01-01,81.249,,,,,,,,,,
IT1:26_295(1.0),A,ITF3,LIFEXP,1,Y0,2011-01-01,77.746,,,,,,,,,,
IT1:26_295(1.0),A,ITF3,LIFEXP,2,Y0,2011-01-01,82.717,,,,,,,,,,
IT1:26_295(1.0),A,ITF3,LIFEXP,9,Y0,2011-01-01,80.173,,,,,,,,,,
IT1:26_295(1.0),A,ITF6,LIFEXP,1,Y0,2011-01-01,79.261,,,,,,,,,,
IT1:26_295(1.0),A,ITF6,LIFEXP,2,Y0,2011-01-01,84.024,,,,,,,,,,
IT1:26_295(1.0),A,ITF6,LIFEXP,9,Y0,2011-01-01,81.585,,,,,,,,,,
IT1:26_295(1.0),A,ITG1,LIFEXP,1,Y0,2011-01-01,78.712,,,,,,,,,,
IT1:26_295(1.0),A,ITG1,LIFEXP,2,Y0,2011-01-01,83.136,,,,,,,,,,
IT1:26_295(1.0),A,ITG1,LIFEXP,9,Y0,2011-01-01,80.871,,,,,,,,,,
IT1:26_295(1.0),A,IT,LIFEXP,1,Y0,2012-01-01,79.7,,,,,,,,,,
