DATAFLOW,FREQ,REF_AREA,DATA_TYPE,HOSPITAL_TYPE,CLINICAL_SPECIALTY,MEDICAL_TECHNOLOGY,PROF_STATUS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_HOSPITAL_TYPE,NOTE_CLINICAL_SPECIALTY,NOTE_MEDICAL_TECHNOLOGY,NOTE_PROF_STATUS,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,ITG,111,TOT,99,ALL,ALL,2011-01-01,3.1,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,ITG,18,TOT,99,ALL,ALL,2011-01-01,174.0,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,ITG,19,TOT,99,ALL,ALL,2011-01-01,20720.0,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,IT,111,TOT,99,ALL,ALL,2012-01-01,3.34,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,IT,18,TOT,99,ALL,ALL,2012-01-01,1091.0,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,IT,19,TOT,99,ALL,ALL,2012-01-01,199120.0,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,ITC,111,TOT,99,ALL,ALL,2012-01-01,3.53,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,ITC,18,TOT,99,ALL,ALL,2012-01-01,216.0,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,ITC,19,TOT,99,ALL,ALL,2012-01-01,55735.0,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,ITD,111,TOT,99,ALL,ALL,2012-01-01,3.7,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,ITD,18,TOT,99,ALL,ALL,2012-01-01,170.0,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,ITD,19,TOT,99,ALL,ALL,2012-01-01,42511.0,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,ITE,111,TOT,99,ALL,ALL,2012-01-01,3.3,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,ITE,18,TOT,99,ALL,ALL,2012-01-01,235.0,,,,,,,,,,,,
