DATAFLOW,LAST UPDATE,freq,unit,wstatus,isco08,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC221,UK,2013-01-01,271.29,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2261,DE,2013-01-01,84.84,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2261,FR,2013-01-01,62.06,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2261,IT,2013-01-01,78.09,e,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2261,UK,2013-01-01,52.51,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2262,DE,2013-01-01,63.77,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2262,ES,2013-01-01,111.75,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2262,FR,2013-01-01,105.78,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2262,IT,2013-01-01,113.68,e,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2262,UK,2013-01-01,80.02,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC221,DE,2014-01-01,410.82,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC221,ES,2014-01-01,380.08,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC221,FR,2014-01-01,309.21,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC221,IT,2014-01-01,388.04,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC221,UK,2014-01-01,274.53,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2261,DE,2014-01-01,85.57,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2261,FR,2014-01-01,61.69,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2261,IT,2014-01-01,78.32,e,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2261,UK,2014-01-01,53.17,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2262,DE,2014-01-01,64.22,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2262,ES,2014-01-01,117.4,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2262,FR,2014-01-01,105.75,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2262,IT,2014-01-01,115.61,e,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2262,UK,2014-01-01,82.44,,
