"Osservatorio: Osservatorio sui Lavoratori Dipendenti - Anni 2019-2023 (classificazione dell'attività economica ISTAT ATECO 2007)"
"Filtri:"


"
                                
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                        
                                        
                                        
                                            
                                                Cerca
                                            
                                        
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                            
" ";"Attivita' dei servizi di alloggio e di ristorazione";"";"464.048 ";"16.537.904 ";"746.492.596 ";"3.612.673 ";"5.219.212 ";"338.532 ";"39.558.047 ";"1.997.863.104 ";"6.689.205 ";"9.353.162 ";"542.501 ";"123.488.378 ";"6.595.091.911 ";"17.278.294 ";"24.074.238 ";"438.730 ";"136.168.649 ";"8.207.533.582 ";"17.913.298 ";"22.813.898 ";"1.783.811 ";"315.752.978 ";"17.546.981.193 ";"45.493.471 ";"61.460.510 "
" ";"Servizi di informazione e comunicazione";"";"85.749 ";"1.633.129 ";"160.212.098 ";"397.657 ";"451.936 ";"28.989 ";"3.487.523 ";"337.890.768 ";"638.533 ";"740.838 ";"101.608 ";"26.158.993 ";"2.756.533.699 ";"4.349.306 ";"4.835.487 ";"348.743 ";"108.491.206 ";"13.585.205.547 ";"17.253.395 ";"18.134.634 ";"565.089 ";"139.770.851 ";"16.839.842.112 ";"22.638.891 ";"24.162.895 "
" ";"Attivita' finanziarie e assicurative";"";"7.766 ";"361.242 ";"43.678.613 ";"65.813 ";"80.681 ";"10.510 ";"1.331.359 ";"167.178.223 ";"234.756 ";"273.961 ";"50.262 ";"12.783.051 ";"1.628.111.829 ";"2.120.067 ";"2.353.457 ";"442.013 ";"137.456.673 ";"23.135.749.032 ";"22.181.928 ";"22.984.674 ";"510.551 ";"151.932.325 ";"24.974.717.697 ";"24.602.563 ";"25.692.773 "
" ";"Attivita' immobiliari";"";"5.181 ";"219.665 ";"13.945.673 ";"35.858 ";"56.674 ";"4.447 ";"535.941 ";"33.638.303 ";"76.335 ";"115.013 ";"10.290 ";"2.450.855 ";"164.568.121 ";"335.399 ";"459.730 ";"32.186 ";"10.021.457 ";"981.818.691 ";"1.391.869 ";"1.673.672 ";"52.104 ";"13.227.918 ";"1.193.970.788 ";"1.839.461 ";"2.305.089 "
" ";"Attivita' professionali, scientifiche e tecniche";"";"53.110 ";"1.743.369 ";"116.901.097 ";"396.558 ";"521.326 ";"33.457 ";"3.983.711 ";"279.355.450 ";"690.380 ";"898.088 ";"83.235 ";"20.173.640 ";"1.471.955.486 ";"3.065.663 ";"3.820.428 ";"333.847 ";"103.920.676 ";"10.238.319.829 ";"15.473.525 ";"17.360.017 ";"503.649 ";"129.821.396 ";"12.106.531.862 ";"19.626.126 ";"22.599.859 "
" ";"Noleggio, agenzie di viaggio, servizi di supporto alle imprese";"";"341.397 ";"11.375.371 ";"616.498.757 ";"2.025.579 ";"3.015.061 ";"216.124 ";"25.552.127 ";"1.442.939.290 ";"4.139.076 ";"5.630.926 ";"494.690 ";"118.853.962 ";"7.052.117.250 ";"18.058.653 ";"22.743.064 ";"711.697 ";"221.059.204 ";"15.926.255.736 ";"31.369.200 ";"37.008.196 ";"1.763.908 ";"376.840.664 ";"25.037.811.033 ";"55.592.508 ";"68.397.247 "
" ";"Istruzione";"";"87.810 ";"4.136.665 ";"238.346.848 ";"769.201 ";"943.966 ";"90.240 ";"11.974.253 ";"707.016.263 ";"2.005.149 ";"2.317.704 ";"241.714 ";"57.413.971 ";"3.812.145.004 ";"9.328.387 ";"10.251.390 ";"135.703 ";"42.190.068 ";"3.147.575.167 ";"6.237.179 ";"7.056.548 ";"555.467 ";"115.714.957 ";"7.905.083.282 ";"18.339.916 ";"20.569.608 "
" ";"Sanita' e assistenza sociale";"";"69.695 ";"2.827.818 ";"157.595.144 ";"463.342 ";"736.565 ";"65.977 ";"7.997.943 ";"435.758.718 ";"1.168.144 ";"1.796.540 ";"213.177 ";"52.173.488 ";"3.062.601.858 ";"7.512.594 ";"10.020.114 ";"475.313 ";"147.851.573 ";"10.476.485.697 ";"21.450.815 ";"24.716.245 ";"824.162 ";"210.850.822 ";"14.132.441.417 ";"30.594.895 ";"37.269.464 "
" ";"Attivita' artistiche, sportive, di intrattenimento e divertimento";"";"88.538 ";"2.875.634 ";"156.694.704 ";"535.788 ";"785.831 ";"42.844 ";"4.893.216 ";"345.414.637 ";"798.770 ";"1.066.128 ";"44.618 ";"10.343.670 ";"774.189.642 ";"1.571.532 ";"1.990.436 ";"67.840 ";"21.081.634 ";"2.043.543.613 ";"3.132.741 ";"3.527.676 ";"243.840 ";"39.194.154 ";"3.319.842.596 ";"6.038.832 ";"7.370.071 "
" ";"Altre attivita' di servizi";"";"64.828 ";"2.449.905 ";"114.762.714 ";"461.955 ";"712.282 ";"49.883 ";"5.919.768 ";"285.980.370 ";"928.262 ";"1.430.222 ";"128.638 ";"30.882.976 ";"1.625.538.018 ";"4.417.946 ";"6.020.658 ";"248.682 ";"77.313.626 ";"5.796.915.321 ";"11.142.377 ";"12.931.434 ";"492.031 ";"116.566.275 ";"7.823.196.423 ";"16.950.540 ";"21.094.596 "
" ";"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze";"";"5.692 ";"180.019 ";"9.995.494 ";"30.784 ";"44.958 ";"2.161 ";"258.202 ";"13.494.186 ";"38.462 ";"63.040 ";"4.403 ";"1.091.801 ";"58.724.061 ";"156.667 ";"204.884 ";"28.987 ";"9.023.654 ";"526.453.774 ";"1.318.428 ";"1.507.322 ";"41.243 ";"10.553.676 ";"608.667.515 ";"1.544.342 ";"1.820.204 "
"2019";"Totale";"";"1.964.315 ";"71.854.075 ";"4.299.645.750 ";"14.186.985 ";"19.460.232 ";"1.462.656 ";"175.140.906 ";"11.032.606.644 ";"29.791.962 ";"39.077.196 ";"3.866.065 ";"937.329.446 ";"66.563.990.856 ";"149.232.241 ";"179.150.219 ";"8.704.017 ";"2.705.985.178 ";"269.162.984.866 ";"415.396.023 ";"452.608.521 ";"15.997.053 ";"3.890.309.605 ";"351.059.228.116 ";"608.607.212 ";"690.296.168 "
"2020";"Estrazione di minerali da cave e miniere";"";"1.394 ";"59.742 ";"6.540.691 ";"13.276 ";"14.950 ";"1.542 ";"190.471 ";"22.738.177 ";"41.089 ";"44.677 ";"13.562 ";"3.483.358 ";"387.809.555 ";"643.970 ";"665.937 ";"24.353 ";"7.575.512 ";"1.433.012.788 ";"1.257.380 ";"1.266.356 ";"40.851 ";"11.309.083 ";"1.850.101.211 ";"1.955.715 ";"1.991.920 "
" ";"Attivita' manifatturiere";"";"240.134 ";"10.242.688 ";"752.087.828 ";"2.112.418 ";"2.699.872 ";"244.006 ";"29.191.391 ";"2.078.205.961 ";"5.832.715 ";"7.218.682 ";"1.922.734 ";"494.540.001 ";"43.482.962.846 ";"89.395.774 ";"95.535.935 ";"1.392.271 ";"431.410.472 ";"56.339.698.174 ";"70.558.741 ";"72.398.078 ";"3.799.145 ";"965.384.552 ";"102.652.954.809 ";"167.899.648 ";"177.852.567 "
" ";"Fornitura di energia elettrica, gas, vapore e aria condizionata";"";"1.544 ";"69.566 ";"9.061.168 ";"13.192 ";"14.745 ";"1.748 ";"214.950 ";"26.531.883 ";"38.281 ";"42.884 ";"10.454 ";"2.738.536 ";"346.484.225 ";"483.451 ";"507.821 ";"66.291 ";"20.622.058 ";"3.364.563.723 ";"3.416.003 ";"3.447.132 ";"80.037 ";"23.645.110 ";"3.746.640.999 ";"3.950.927 ";"4.012.582 "
" ";"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento";"";"8.396 ";"363.457 ";"26.338.915 ";"68.128 ";"84.030 ";"8.703 ";"1.051.416 ";"77.913.728 ";"188.438 ";"221.928 ";"43.468 ";"11.121.551 ";"966.580.568 ";"1.946.909 ";"2.102.613 ";"119.779 ";"37.240.966 ";"3.978.679.157 ";"6.071.602 ";"6.228.505 ";"180.346 ";"49.777.390 ";"5.049.512.368 ";"8.275.078 ";"8.637.076 "
" ";"Costruzioni";"";"162.487 ";"6.285.876 ";"465.641.576 ";"1.424.095 ";"1.589.545 ";"127.622 ";"15.141.376 ";"1.132.634.450 ";"3.285.280 ";"3.598.174 ";"542.713 ";"132.685.817 ";"10.935.299.210 ";"25.028.916 ";"26.322.098 ";"141.119 ";"43.690.109 ";"4.530.367.027 ";"7.054.468 ";"7.338.180 ";"973.941 ";"197.803.178 ";"17.063.942.263 ";"36.792.759 ";"38.847.997 "
" ";"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli";"";"245.029 ";"10.277.138 ";"605.122.243 ";"1.721.755 ";"2.649.761 ";"212.040 ";"25.165.975 ";"1.464.262.616 ";"3.918.432 ";"5.861.318 ";"1.069.819 ";"264.856.121 ";"19.502.262.315 ";"41.696.566 ";"51.464.722 ";"815.886 ";"253.231.264 ";"24.640.188.593 ";"37.858.483 ";"42.426.040 ";"2.342.774 ";"553.530.498 ";"46.211.835.767 ";"85.195.236 ";"102.401.841 "
