"Osservatorio: Osservatorio sui Lavoratori Dipendenti - Anni 2014-2018 (classificazione dell'attività economica ISTAT ATECO 2007)"
"Filtri:"


"
                                
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                        
                                        
                                        
                                            
                                                Cerca
                                            
                                        
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                            
                                                  Entra in MyInps
                                            
                                        
                                    
                                
                            "
"";" ";"Periodo retribuito dal datore di lavoro";"Finoa 3 mesi";" ";" ";" ";" ";"Oltre3 e fino a 6 mesi";" ";" ";" ";" ";"Oltre6 e meno di 12 mesi";" ";" ";" ";" ";"Annointero";" ";" ";" ";" ";"Totale";" ";" ";" ";" ";"  ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Anno";"Attivita' economica ATECO 2007";"";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero giornate retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero settimane retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero giornate retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero settimane retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero giornate retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero settimane retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero giornate retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero settimane retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero giornate retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero settimane retribuite nell'anno "
"2014";"Estrazione di minerali da cave e miniere";"";"1.780 ";"67.146 ";"6.580.074 ";"16.164 ";"17.622 ";"1.800 ";"220.521 ";"24.925.337 ";"47.220 ";"50.888 ";"9.620 ";"2.426.777 ";"248.635.242 ";"455.056 ";"469.000 ";"33.409 ";"10.393.030 ";"1.666.941.630 ";"1.718.770 ";"1.737.268 ";"46.609 ";"13.107.474 ";"1.947.082.283 ";"2.237.209 ";"2.274.778 "
" ";"Attivita' manifatturiere";"";"248.839 ";"9.665.830 ";"682.248.571 ";"2.238.818 ";"2.692.514 ";"215.181 ";"25.664.174 ";"1.759.752.893 ";"5.165.654 ";"6.135.247 ";"850.867 ";"213.191.925 ";"16.652.552.114 ";"37.902.088 ";"41.115.567 ";"2.356.960 ";"732.525.146 ";"78.382.063.455 ";"118.686.189 ";"122.560.802 ";"3.671.847 ";"981.047.075 ";"97.476.617.033 ";"163.992.749 ";"172.504.130 "
