comune,provincia,regione,CSX/M5S_perc_2025,CSX/M5S_voti_2025,CSX/M5S_voti_2020,CSX/M5S_perc_2020,CDX_perc_2025,CDX_voti_2025,CDX_voti_2020,CDX_perc_2020,margine_voti,vincitore,x,y,var_perc,var_perc_neg
Acquaviva Delle Fonti,BARI,PUGLIA,70.53,6574,6500,60.2,29.02,2705,4136,38.31,3869,CSX/M5S,16.844546,40.889752,10.33,-10.33
Adelfia,BARI,PUGLIA,66.24,4072,5666,68.65,32.83,2018,2429,29.43,2054,CSX/M5S,16.870496,40.991985,-2.41,2.41
Alberobello,BARI,PUGLIA,67.5,2592,3059,61.96,31.54,1211,1746,35.37,1381,CSX/M5S,17.237622000000002,40.797915,5.54,-5.54
Altamura,BARI,PUGLIA,64.48,16609,17808,57.05,34.85,8976,12551,40.21,7633,CSX/M5S,16.550301,40.859602,7.43,-7.43
Bari,BARI,PUGLIA,71.51,81866,97741,67.23,26.94,30837,43549,29.96,51029,CSX/M5S,16.846317,41.102515,4.28,-4.28
Binetto,BARI,PUGLIA,70.27,631,782,61.92,29.29,263,459,36.34,368,CSX/M5S,16.725062,41.012819,8.35,-8.35
Bitetto,BARI,PUGLIA,67.72,3243,4524,67.34,30.9,1480,1979,29.46,1763,CSX/M5S,16.758621,41.038376,0.38,-0.38
Bitonto,BARI,PUGLIA,69.52,13300,15549,63.24,29.78,5698,8269,33.63,7602,CSX/M5S,16.613947,41.066215,6.28,-6.28
Bitritto,BARI,PUGLIA,76.2,3582,4002,74.28,23.12,1087,1251,23.22,2495,CSX/M5S,16.823259,41.036209,1.92,-1.92
Capurso,BARI,PUGLIA,71.44,3704,6160,74.14,27.83,1443,1928,23.2,2261,CSX/M5S,16.924295,41.041355,-2.7,2.7
Casamassima,BARI,PUGLIA,77.22,4719,5446,67.2,21.7,1326,2412,29.76,3393,CSX/M5S,16.924383,40.945378,10.02,-10.02
Cassano Delle Murge,BARI,PUGLIA,66.77,3717,3757,57.76,32.46,1807,2616,40.22,1910,CSX/M5S,16.749724,40.882347,9.01,-9.01
Castellana Grotte,BARI,PUGLIA,75,6415,5682,55.71,24.3,2078,4329,42.45,4337,CSX/M5S,17.186778,40.868112000000004,19.29,-19.29
Cellamare,BARI,PUGLIA,77.49,1604,1989,72.41,21.59,447,692,25.19,1157,CSX/M5S,16.93053,41.016277,5.08,-5.08
Conversano,BARI,PUGLIA,83.33,8816,9560,65.89,15.54,1644,4461,30.74,7172,CSX/M5S,17.102943,40.954166,17.44,-17.44
Corato,BARI,PUGLIA,67.9,11210,15540,58.71,31.15,5142,9555,36.1,6068,CSX/M5S,16.367487,41.096589,9.19,-9.19
Gioia Del Colle,BARI,PUGLIA,62.3,6456,7762,61.56,36.9,3824,4597,36.46,2632,CSX/M5S,16.911885,40.777787,0.74,-0.74
Giovinazzo,BARI,PUGLIA,66.78,5592,6614,67.53,32.34,2708,2957,30.19,2884,CSX/M5S,16.657622,41.160868,-0.75,0.75
Gravina In Puglia,BARI,PUGLIA,59.23,8623,9938,49.59,40.22,5856,5949,29.68,2767,CSX/M5S,16.363747,40.840944,9.64,-9.64
Grumo Appula,BARI,PUGLIA,76.44,3469,4315,62.1,22.85,1037,2381,34.27,2432,CSX/M5S,16.694002,40.950617,14.34,-14.34
Locorotondo,BARI,PUGLIA,49.86,2882,3448,45.52,49.08,2837,3969,52.4,45,CSX/M5S,17.337944,40.772472,4.34,-4.34
Modugno,BARI,PUGLIA,81.57,11280,15464,76.76,17.47,2416,4185,20.77,8864,CSX/M5S,16.784932,41.083734,4.81,-4.81
Mola Di Bari,BARI,PUGLIA,67.62,5375,6750,63.69,30.04,2388,3314,31.27,2987,CSX/M5S,17.07726,41.040035,3.93,-3.93
Molfetta,BARI,PUGLIA,80.06,16420,14426,56.36,18.7,3836,10330,40.36,12584,CSX/M5S,16.570388,41.183263,23.7,-23.7
Monopoli,BARI,PUGLIA,62.86,10819,11413,53.55,36.46,6275,9354,43.89,4544,CSX/M5S,17.278685,40.898609,9.31,-9.31
Noci,BARI,PUGLIA,78.84,6338,5470,57.17,20.57,1654,3671,38.37,4684,CSX/M5S,17.099824,40.765163,21.67,-21.67
Noicattaro,BARI,PUGLIA,79.91,7042,7435,64.01,19.36,1706,3842,33.08,5336,CSX/M5S,16.986981,41.044511,15.9,-15.9
Palo Del Colle,BARI,PUGLIA,69.47,5446,6986,59.82,29.72,2330,4495,38.49,3116,CSX/M5S,16.652583,41.04086,9.65,-9.65
Poggiorsini,BARI,PUGLIA,39.31,272,222,26.97,60.55,419,266,32.32,147,CDX,16.249281,40.920684,12.34,-12.34
Polignano A Mare,BARI,PUGLIA,73.88,5213,5097,66.95,25.3,1785,2377,31.22,3428,CSX/M5S,17.191309,40.972624,6.93,-6.93
Putignano,BARI,PUGLIA,71.23,8246,7697,57.83,28.08,3251,5280,39.67,4995,CSX/M5S,17.088952,40.842992,13.4,-13.4
Rutigliano,BARI,PUGLIA,76.1,5015,5077,60.74,23.28,1534,3160,37.8,3481,CSX/M5S,17.00694,40.993113,15.36,-15.36
Ruvo Di Puglia,BARI,PUGLIA,59.03,5643,6398,56.07,40.24,3847,4408,38.63,1796,CSX/M5S,16.426144,41.040221,2.96,-2.96
Sammichele Di Bari,BARI,PUGLIA,79.76,2238,1930,62.26,20.03,562,1083,34.94,1676,CSX/M5S,16.950165,40.873775,17.5,-17.5
Sannicandro Di Bari,BARI,PUGLIA,58.17,2403,3282,63.47,41.27,1705,1803,34.87,698,CSX/M5S,16.788482,40.976411,-5.3,5.3
Santeramo In Colle,BARI,PUGLIA,74.63,8079,8320,61.86,24.64,2667,4625,34.39,5412,CSX/M5S,16.745269,40.780898,12.77,-12.77
Terlizzi,BARI,PUGLIA,72.45,7358,8148,66.98,26.68,2710,3564,29.3,4648,CSX/M5S,16.548951,41.113514,5.47,-5.47
Toritto,BARI,PUGLIA,58.32,1727,2063,49.64,41.03,1215,1974,47.5,512,CSX/M5S,16.616767,40.973321,8.68,-8.68
Triggiano,BARI,PUGLIA,70.76,6390,9115,73.81,28.38,2563,2883,23.34,3827,CSX/M5S,16.946568,41.070997,-3.05,3.05
Turi,BARI,PUGLIA,64.51,3159,3253,56.26,34.96,1712,2397,41.46,1447,CSX/M5S,17.010566,40.907364,8.25,-8.25
Valenzano,BARI,PUGLIA,66.53,4583,5436,61.08,32.59,2245,3239,36.39,2338,CSX/M5S,16.88746,41.035061,5.45,-5.45
Andria,BARLETTA-ANDRIA-TRANI,PUGLIA,65.02,22512,31526,63.32,34.5,11944,17257,34.66,10568,CSX/M5S,16.235632,41.157906,1.7,-1.7
Barletta,BARLETTA-ANDRIA-TRANI,PUGLIA,63.52,22811,29080,67.11,35.88,12886,13331,30.76,9925,CSX/M5S,16.215034,41.289047,-3.59,3.59
Bisceglie,BARLETTA-ANDRIA-TRANI,PUGLIA,74.47,13488,14873,66.99,24.63,4462,6466,29.12,9026,CSX/M5S,16.48595,41.204442,7.48,-7.48
Canosa Di Puglia,BARLETTA-ANDRIA-TRANI,PUGLIA,63.43,4514,5539,47.65,35.3,2512,5799,49.88,2002,CSX/M5S,16.017249,41.189831,15.78,-15.78
Margherita Di Savoia,BARLETTA-ANDRIA-TRANI,PUGLIA,57.92,2396,3040,56.53,41.7,1725,2282,42.43,671,CSX/M5S,16.126518,41.376189,1.39,-1.39
Minervino Murge,BARLETTA-ANDRIA-TRANI,PUGLIA,60.86,1967,2225,51.79,38.52,1245,2004,46.65,722,CSX/M5S,16.07934,41.080826,9.07,-9.07
San Ferdinando Di Puglia,BARLETTA-ANDRIA-TRANI,PUGLIA,43.84,1848,3391,55.2,55.73,2349,2661,43.32,501,CDX,16.040849,41.285843,-11.36,11.36
Spinazzola,BARLETTA-ANDRIA-TRANI,PUGLIA,67.08,1575,1297,43.42,32.5,763,1490,49.88,812,CSX/M5S,16.133014,40.966833,23.66,-23.66
Trani,BARLETTA-ANDRIA-TRANI,PUGLIA,62.17,12290,18599,63.6,37.17,7348,10011,34.24,4942,CSX/M5S,16.390226,41.239201,-1.43,1.43
Trinitapoli,BARLETTA-ANDRIA-TRANI,PUGLIA,47.56,2004,2599,35.24,51.97,2190,4640,62.91,186,CDX,16.063502,41.352078,12.32,-12.32
Brindisi,BRINDISI,PUGLIA,64.78,18204,17950,50.54,34.42,9672,15878,44.71,8532,CSX/M5S,17.899091,40.606478,14.24,-14.24
Carovigno,BRINDISI,PUGLIA,74.04,5526,4226,57.65,25.43,1898,2708,36.94,3628,CSX/M5S,17.702113,40.708052,16.39,-16.39
Ceglie Messapica,BRINDISI,PUGLIA,43.58,2992,4102,41.04,55.67,3822,5653,56.56,830,CDX,17.514503,40.643533,2.54,-2.54
