comune,provincia,regione,CSX/M5S_perc_2025,CSX/M5S_voti_2025,CSX/M5S_voti_2020,CSX/M5S_perc_2020,CDX_perc_2025,CDX_voti_2025,CDX_voti_2020,CDX_perc_2020,margine_voti,vincitore,x,y,var_perc,var_perc_neg
Loria,TREVISO,VENETO,14.11,514,425,8.78,76.54,2789,4199,86.76,2275,CDX,11.845963,45.719452,-10.22,10.22
Mansue,TREVISO,VENETO,14.06,249,170,7.31,75.32,1334,2093,90.02,1085,CDX,12.525973,45.826113,-14.7,14.7
Mareno Di Piave,TREVISO,VENETO,17.93,732,527,10.61,59.42,2426,4155,83.64,1694,CDX,12.333379,45.83703,-24.22,24.22
Maser,TREVISO,VENETO,14.11,330,235,8.32,76.43,1787,2494,88.25,1457,CDX,11.962663,45.800949,-11.82,11.82
Maserada Sul Piave,TREVISO,VENETO,24.45,986,687,13.9,62.67,2527,4072,82.36,1541,CDX,12.335514,45.749917,-19.69,19.69
Meduna Di Livenza,TREVISO,VENETO,15.48,180,190,13.59,76.01,884,1188,84.98,704,CDX,12.624403,45.810847,-8.97,8.97
Miane,TREVISO,VENETO,21.04,274,278,17.68,62.29,811,1214,77.23,537,CDX,12.08463,45.942175,-14.94,14.94
Mogliano Veneto,TREVISO,VENETO,40.58,4594,3249,23.11,52.76,5973,10112,71.93,1379,CDX,12.252509,45.567994,-19.17,19.17
Monastier Di Treviso,TREVISO,VENETO,30.23,548,321,14.5,61.28,1111,1758,79.4,563,CDX,12.44167,45.65938,-18.12,18.12
Monfumo,TREVISO,VENETO,17.76,106,93,13.29,74.37,444,583,83.29,338,CDX,11.93658,45.834207,-8.92,8.92
Montebelluna,TREVISO,VENETO,27.8,3329,2530,17.03,63.64,7620,11690,78.67,4291,CDX,12.042484,45.771612,-15.03,15.03
Morgano,TREVISO,VENETO,25.65,504,356,15.12,65.45,1286,1880,79.86,782,CDX,12.104151,45.642972,-14.41,14.41
Moriago Della Battaglia,TREVISO,VENETO,16.39,187,148,11.2,66.26,756,1102,83.42,569,CDX,12.093818,45.861431,-17.16,17.16
Motta Di Livenza,TREVISO,VENETO,18.22,706,604,12.09,73.7,2855,4254,85.15,2149,CDX,12.622766,45.766594,-11.45,11.45
Nervesa Della Battaglia,TREVISO,VENETO,21.14,592,449,13.15,62.41,1748,2834,83.01,1156,CDX,12.195911,45.820046,-20.6,20.6
Oderzo,TREVISO,VENETO,24.74,1994,1456,14.15,66.91,5394,8491,82.49,3400,CDX,12.497903,45.771976,-15.58,15.58
Ormelle,TREVISO,VENETO,10.78,174,147,6.92,76.39,1233,1899,89.36,1059,CDX,12.42361,45.770667,-12.97,12.97
Orsago,TREVISO,VENETO,24.24,353,308,15,58.17,847,1664,81.05,494,CDX,12.443902,45.920826,-22.88,22.88
Paese,TREVISO,VENETO,30.94,3008,2105,18.02,60.33,5865,9132,78.16,2857,CDX,12.148854,45.694551,-17.83,17.83
Pederobba,TREVISO,VENETO,25.99,761,702,19.94,61.41,1798,2671,75.88,1037,CDX,11.970958,45.865241,-14.47,14.47
Pieve Del Grappa,TREVISO,VENETO,20.24,496,382,12.48,66.29,1624,2510,81.97,1128,CDX,11.832733,45.84981,-15.68,15.68
Pieve Di Soligo,TREVISO,VENETO,17.62,841,681,12.26,65.44,3124,4552,81.97,2283,CDX,12.177719,45.905671,-16.53,16.53
Ponte Di Piave,TREVISO,VENETO,18.36,607,414,10.28,74.15,2452,3427,85.12,1845,CDX,12.466997,45.732112,-10.97,10.97
Ponzano Veneto,TREVISO,VENETO,30.05,1729,1221,17.86,60.52,3482,5323,77.88,1753,CDX,12.196213,45.722016000000004,-17.36,17.36
Portobuffole,TREVISO,VENETO,12.63,37,47,11.99,74.74,219,339,86.48,182,CDX,12.535583,45.852089,-11.74,11.74
Possagno,TREVISO,VENETO,20.22,162,125,12.59,64.42,516,820,82.58,354,CDX,11.86268,45.866449,-18.16,18.16
Povegliano,TREVISO,VENETO,25.67,562,397,15.14,61.72,1351,2110,80.47,789,CDX,12.191845,45.754775,-18.75,18.75
Preganziol,TREVISO,VENETO,36.38,2684,1801,20.19,56.36,4158,6703,75.13,1474,CDX,12.226729,45.607493,-18.77,18.77
Quinto Di Treviso,TREVISO,VENETO,23.71,953,715,13.82,66.42,2670,4266,82.48,1717,CDX,12.155625,45.643279,-16.06,16.06
Refrontolo,TREVISO,VENETO,14.41,115,86,9.56,65.41,522,766,85.11,407,CDX,12.212801,45.917845,-19.7,19.7
Resana,TREVISO,VENETO,20.49,768,587,12.84,68.55,2570,3801,83.15,1802,CDX,11.967707,45.635273,-14.6,14.6
Revine Lago,TREVISO,VENETO,29.17,257,186,17.4,47.11,415,811,75.87,158,CDX,12.227271,46.000183,-28.76,28.76
Riese Pio X,TREVISO,VENETO,19.84,866,643,11.36,69.94,3052,4761,84.09,2186,CDX,11.912783,45.726075,-14.15,14.15
Roncade,TREVISO,VENETO,25.98,1610,749,9.52,65.99,4090,6008,76.39,2480,CDX,12.395316,45.613376,-10.4,10.4
Salgareda,TREVISO,VENETO,20.06,517,426,12.89,70.74,1823,2771,83.82,1306,CDX,12.520515,45.703003,-13.08,13.08
San Biagio Di Callalta,TREVISO,VENETO,24,1200,854,13.16,66.74,3337,5285,81.42,2137,CDX,12.387326,45.686449,-14.68,14.68
San Fior,TREVISO,VENETO,14.98,418,336,9.64,65.25,1821,2961,84.96,1403,CDX,12.363463,45.905827,-19.71,19.71
San Pietro Di Feletto,TREVISO,VENETO,23.52,559,437,15.26,57.97,1378,2277,79.5,819,CDX,12.248302,45.908034,-21.53,21.53
San Polo Di Piave,TREVISO,VENETO,13.33,239,196,8.58,72.34,1297,2023,88.57,1058,CDX,12.391976,45.792221,-16.23,16.23
San Vendemiano,TREVISO,VENETO,18.87,816,638,11.91,62.2,2690,4437,82.84,1874,CDX,12.349581,45.882803,-20.64,20.64
San Zenone Degli Ezzelini,TREVISO,VENETO,11.47,352,286,7.94,78.69,2415,3087,85.65,2063,CDX,11.838807,45.777257,-6.96,6.96
Santa Lucia Di Piave,TREVISO,VENETO,18.17,688,578,12.71,37.42,1417,3241,71.29,729,CDX,12.29023,45.832879,-33.87,33.87
Sarmede,TREVISO,VENETO,21.36,263,204,13.62,54.67,673,1217,81.24,410,CDX,12.391204,45.992869,-26.57,26.57
Segusino,TREVISO,VENETO,16.71,126,113,11.7,68.57,517,836,86.54,391,CDX,11.970272,45.933907,-17.97,17.97
Sernaglia Della Battaglia,TREVISO,VENETO,15.37,392,321,10.18,64.94,1656,2660,84.39,1264,CDX,12.143231,45.86616,-19.45,19.45
Silea,TREVISO,VENETO,36.45,1678,1036,18.81,55.83,2570,4180,75.88,892,CDX,12.324771,45.640536,-20.05,20.05
Spresiano,TREVISO,VENETO,23.29,1068,832,13.1,63.39,2907,5190,81.75,1839,CDX,12.274289,45.775679,-18.36,18.36
Susegana,TREVISO,VENETO,19.02,849,701,12.78,57.54,2568,4471,81.54,1719,CDX,12.229294,45.851653,-24,24
Tarzo,TREVISO,VENETO,21.8,363,323,15.04,61.32,1021,1723,80.21,658,CDX,12.225399,45.963307,-18.89,18.89
Trevignano,TREVISO,VENETO,23.16,993,755,13.73,67.13,2878,4526,82.32,1885,CDX,12.093251,45.734844,-15.19,15.19
Treviso,TREVISO,VENETO,42.25,14351,10481,26,51.33,17432,27799,68.97,3081,CDX,12.227605,45.663645,-17.64,17.64
Valdobbiadene,TREVISO,VENETO,18.06,765,657,12.93,70.33,2979,4300,84.61,2214,CDX,12.016112,45.912845,-14.28,14.28
Vazzola,TREVISO,VENETO,12.07,318,265,8.19,66.03,1740,2846,87.98,1422,CDX,12.383158,45.829167,-21.95,21.95
Vedelago,TREVISO,VENETO,21.01,1396,1117,13.33,70.17,4662,6909,82.43,3266,CDX,12.022233,45.692167,-12.26,12.26
Vidor,TREVISO,VENETO,18.4,295,253,12.44,65.19,1045,1701,83.63,750,CDX,12.050761,45.870389,-18.44,18.44
Villorba,TREVISO,VENETO,31.01,2297,1644,17.83,57.59,4266,7041,76.38,1969,CDX,12.252698,45.729792,-18.79,18.79
Vittorio Veneto,TREVISO,VENETO,32.57,3474,2932,21.6,52.17,5564,9947,73.28,2090,CDX,12.296722,46.004184,-21.11,21.11
Volpago Del Montello,TREVISO,VENETO,23,980,653,12.06,65.63,2796,4517,83.45,1816,CDX,12.123138,45.785785,-17.82,17.82
Zenson Di Piave,TREVISO,VENETO,14.77,108,87,9.2,75.92,555,838,88.58,447,CDX,12.481585,45.677827,-12.66,12.66
Zero Branco,TREVISO,VENETO,25.84,1241,688,11.5,63.42,3046,4746,79.34,1805,CDX,12.141698,45.60756,-15.92,15.92
Annone Veneto,VENEZIA,VENETO,21.42,293,232,12.97,72.37,990,1464,81.83,697,CDX,12.700757,45.765259,-9.46,9.46
Campagna Lupia,VENEZIA,VENETO,35.5,951,723,19.62,57.3,1535,2770,75.17,584,CDX,12.167206,45.339904,-17.87,17.87
Campolongo Maggiore,VENEZIA,VENETO,27.44,1182,939,16,66.68,2872,4696,80,1690,CDX,12.057704,45.336177,-13.32,13.32
Camponogara,VENEZIA,VENETO,31.74,1582,1292,18.52,61.5,3066,5193,74.42,1484,CDX,12.087604,45.379032,-12.92,12.92
Caorle,VENEZIA,VENETO,18.35,772,742,13.14,76,3198,4707,83.35,2426,CDX,12.891234,45.642913,-7.35,7.35
Cavallinotreporti,VENEZIA,VENETO,21.55,864,773,10.52,71.05,2849,6369,86.68,1985,CDX,12.496427,45.470166999999996,-15.63,15.63
Cavarzere,VENEZIA,VENETO,27.01,1208,1018,15.24,69.33,3101,5491,82.2,1893,CDX,12.119819,45.123976,-12.87,12.87
Ceggia,VENEZIA,VENETO,30.41,679,536,17.77,64.35,1437,2400,79.58,758,CDX,12.648416,45.68363,-15.23,15.23
Chioggia,VENEZIA,VENETO,29.03,4680,4914,20.85,67.32,10854,17840,75.71,6174,CDX,12.24645,45.217892,-8.39,8.39
Cinto Caomaggiore,VENEZIA,VENETO,21.55,244,199,12.42,71.55,810,1356,84.64,566,CDX,12.780588,45.82194,-13.09,13.09
Cona,VENEZIA,VENETO,21.12,212,174,11.65,74.9,752,1291,86.41,540,CDX,12.080625,45.178794,-11.51,11.51
Concordia Sagittaria,VENEZIA,VENETO,32.04,1302,1151,21.36,62.23,2529,4075,75.63,1227,CDX,12.832394,45.720553,-13.4,13.4
Dolo,VENEZIA,VENETO,38.75,2225,2021,24.76,55.26,3173,5759,70.54,948,CDX,12.086627,45.419608,-15.28,15.28
Eraclea,VENEZIA,VENETO,17.93,819,723,10.61,77.25,3528,5953,87.34,2709,CDX,12.719799,45.595112,-10.09,10.09
Fiesso Dartico,VENEZIA,VENETO,30.81,942,781,18.81,62.71,1917,3158,76.04,975,CDX,12.035136,45.421947,-13.33,13.33
Fossalta Di Piave,VENEZIA,VENETO,28.07,455,339,16.98,66.69,1081,1605,80.41,626,CDX,12.506342,45.64853,-13.72,13.72
Fossalta Di Portogruaro,VENEZIA,VENETO,32.17,702,588,19.33,63.57,1387,2373,78.01,685,CDX,12.910107,45.781498,-14.44,14.44
Fosso,VENEZIA,VENETO,22.95,663,577,15.35,70.85,2047,2987,79.48,1384,CDX,12.045987,45.376745,-8.63,8.63
Gruaro,VENEZIA,VENETO,19.63,211,187,13,72.93,784,1206,83.87,573,CDX,12.838684,45.824784,-10.94,10.94
Jesolo,VENEZIA,VENETO,16.93,1580,1271,10.02,77.2,7207,10980,86.57,5627,CDX,12.634035,45.534621,-9.37,9.37
Marcon,VENEZIA,VENETO,32.91,2456,1605,17.8,61.36,4579,6983,77.43,2123,CDX,12.32703,45.551595,-16.07,16.07
Martellago,VENEZIA,VENETO,35.7,3128,2218,19.83,57.48,5036,8490,75.89,1908,CDX,12.159405,45.535005,-18.41,18.41
Meolo,VENEZIA,VENETO,33.12,828,586,18.31,58.44,1461,2484,77.6,633,CDX,12.462368,45.613989,-19.16,19.16
Mira,VENEZIA,VENETO,42.48,5817,4711,25.33,52.28,7160,12972,69.75,1343,CDX,12.185556,45.412844,-17.47,17.47
Mirano,VENEZIA,VENETO,38.76,4458,3343,23.56,54.67,6288,10015,70.59,1830,CDX,12.087636,45.485493,-15.92,15.92
Musile Di Piave,VENEZIA,VENETO,25.75,1070,936,16.82,68.01,2826,4444,79.86,1756,CDX,12.524237,45.59988,-11.85,11.85
Noale,VENEZIA,VENETO,30.92,2141,1603,18.47,60.9,4217,6438,74.2,2076,CDX,12.067799,45.553652,-13.3,13.3
Noventa Di Piave,VENEZIA,VENETO,29.63,746,567,16.56,64.58,1626,2757,80.54,880,CDX,12.543305,45.671367,-15.96,15.96
Pianiga,VENEZIA,VENETO,27.38,1382,1017,15.69,65.95,3329,5163,79.68,1947,CDX,12.02934,45.455001,-13.73,13.73
Portogruaro,VENEZIA,VENETO,33.75,3091,3074,23.08,60.61,5551,9851,73.96,2460,CDX,12.851804,45.756921,-13.35,13.35
Pramaggiore,VENEZIA,VENETO,18.78,286,255,12.3,73.8,1124,1784,86.02,838,CDX,12.729847,45.802139,-12.22,12.22
Quarto Daltino,VENEZIA,VENETO,32.08,1037,663,16.31,63.32,2047,3135,77.12,1010,CDX,12.408921,45.560825,-13.8,13.8
Salzano,VENEZIA,VENETO,32.92,1713,1283,18.41,59.22,3082,5302,76.08,1369,CDX,12.113555,45.532619,-16.86,16.86
San Dona Di Piave,VENEZIA,VENETO,29.67,4780,3607,17.51,64.37,10368,16228,78.79,5588,CDX,12.597039,45.627399,-14.42,14.42
San Michele Al Tagliamento,VENEZIA,VENETO,19.3,673,624,11.52,75.22,2623,4621,85.29,1950,CDX,13.002606,45.708798,-10.07,10.07
San Stino Di Livenza,VENEZIA,VENETO,25.43,1231,1014,15.74,68.62,3322,5170,80.23,2091,CDX,12.751311,45.697271,-11.61,11.61
Santa Maria Di Sala,VENEZIA,VENETO,24.6,1719,1165,12.58,69.16,4833,6961,75.17,3114,CDX,12.027215,45.502203,-6.01,6.01
Scorze,VENEZIA,VENETO,29.33,2263,1737,17.45,59.09,4559,7778,78.13,2296,CDX,12.141359,45.575955,-19.04,19.04
Spinea,VENEZIA,VENETO,41.68,4241,3203,23.39,52.83,5375,9703,70.87,1134,CDX,12.15529,45.49049,-18.04,18.04
Stra,VENEZIA,VENETO,28.02,791,710,18.44,65.07,1837,2957,76.79,1046,CDX,12.03082,45.410454,-11.72,11.72
Teglio Veneto,VENEZIA,VENETO,29.8,239,238,21.5,63.34,508,841,75.97,269,CDX,12.892168,45.817055,-12.63,12.63
Torre Di Mosto,VENEZIA,VENETO,22.37,404,350,13.35,72.87,1316,2188,83.48,912,CDX,12.709084,45.665109,-10.61,10.61
Venezia,VENEZIA,VENETO,47.7,40915,34788,28.21,47.24,40516,82587,66.96,399,CSX/M5S,12.346011,45.466952,-19.72,19.72
Vigonovo,VENEZIA,VENETO,23.51,861,837,16.41,69.18,2534,3999,78.43,1673,CDX,12.010382,45.389887,-9.25,9.25
Affi,VERONA,VENETO,22.61,215,194,16.33,74.13,705,964,81.14,490,CDX,10.776696,45.557034,-7.01,7.01
Albaredo Dadige,VERONA,VENETO,15.26,268,297,10.78,79.95,1404,2395,86.9,1136,CDX,11.291572,45.298311,-6.95,6.95
Angiari,VERONA,VENETO,17.58,179,191,15.55,77.9,793,989,80.54,614,CDX,11.266006,45.222235,-2.64,2.64
Arcole,VERONA,VENETO,18.77,420,447,14.7,76.41,1710,2500,82.21,1290,CDX,11.298696,45.365411,-5.8,5.8
Badia Calavena,VERONA,VENETO,9.85,117,100,7.23,84.76,1007,1266,91.47,890,CDX,11.15391,45.574721,-6.71,6.71
Bardolino,VERONA,VENETO,21.34,511,566,16.95,75.16,1800,2684,80.36,1289,CDX,10.696172,45.538987,-5.2,5.2
Belfiore,VERONA,VENETO,26.93,356,222,14.1,69.36,917,1325,84.13,561,CDX,11.217142,45.374529,-14.77,14.77
Bevilacqua,VERONA,VENETO,19.25,124,127,15.78,74.07,477,655,81.37,353,CDX,11.391871,45.216008,-7.3,7.3
Bonavigo,VERONA,VENETO,14.79,101,139,12.49,79.36,542,940,84.46,441,CDX,11.295797,45.246374,-5.1,5.1
Boschi Santanna,VERONA,VENETO,15.57,85,82,10.88,77.66,424,656,87,339,CDX,11.366641,45.207666,-9.34,9.34
Bosco Chiesanuova,VERONA,VENETO,17.47,256,202,10.4,77.13,1130,1712,88.16,874,CDX,11.046555,45.653813,-11.03,11.03
Bovolone,VERONA,VENETO,16.5,826,876,12.25,72.19,3614,5810,81.26,2788,CDX,11.116663,45.264073,-9.07,9.07
Brentino Belluno,VERONA,VENETO,16.83,87,97,14.95,77.95,403,537,82.74,316,CDX,10.881673,45.670469,-4.79,4.79
Brenzone Sul Garda,VERONA,VENETO,18.38,170,234,18.93,78.27,724,969,78.4,554,CDX,10.76557,45.695037,-0.13,0.13
Bussolengo,VERONA,VENETO,24.15,1639,1590,16.81,71.74,4869,7544,79.77,3230,CDX,10.84599,45.46632,-8.03,8.03
Buttapietra,VERONA,VENETO,22.95,572,526,15.52,71.59,1784,2793,82.41,1212,CDX,11.002795,45.342883,-10.82,10.82
Caldiero,VERONA,VENETO,23.14,631,532,15.21,71.03,1937,2869,82.02,1306,CDX,11.169402,45.406441,-10.99,10.99
Caprino Veronese,VERONA,VENETO,24.66,711,684,17.4,70.83,2042,3088,78.54,1331,CDX,10.802357,45.61833,-7.71,7.71
Casaleone,VERONA,VENETO,12.96,236,290,10.53,81.22,1479,2341,85.03,1243,CDX,11.19911,45.144804,-3.81,3.81
Castagnaro,VERONA,VENETO,18.17,233,214,12.3,77.77,997,1505,86.49,764,CDX,11.403354,45.089626,-8.72,8.72
Castel Dazzano,VERONA,VENETO,21.59,941,847,14.01,74.93,3266,5060,83.72,2325,CDX,10.948979,45.358464,-8.79,8.79
Castelnuovo Del Garda,VERONA,VENETO,20.05,882,867,14.49,75.59,3326,4854,81.13,2444,CDX,10.740397,45.444204,-5.54,5.54
Cavaion Veronese,VERONA,VENETO,25.38,503,446,16.06,71.09,1409,2278,82.03,906,CDX,10.778143,45.531193,-10.94,10.94
Cazzano Di Tramigna,VERONA,VENETO,12.63,82,98,12.55,85.05,552,659,84.38,470,CDX,11.21141,45.482712,0.67,-0.67
Cerea,VERONA,VENETO,14.08,849,945,11.93,79.97,4822,6743,85.14,3973,CDX,11.218057,45.173693,-5.17,5.17
Cerro Veronese,VERONA,VENETO,19.55,209,136,10.39,73.9,790,1154,88.16,581,CDX,11.031957,45.569609,-14.26,14.26
Cologna Veneta,VERONA,VENETO,19.35,593,576,14.5,76.5,2344,3272,82.36,1751,CDX,11.398101,45.308289,-5.86,5.86
Colognola Ai Colli,VERONA,VENETO,22.42,699,588,14.52,71.68,2235,3326,82.14,1536,CDX,11.188991,45.427862,-10.46,10.46
Concamarise,VERONA,VENETO,12.26,52,46,8.01,79.48,337,518,90.24,285,CDX,11.141992,45.204426,-10.76,10.76
Costermano Sul Garda,VERONA,VENETO,20.88,332,299,15.4,75.28,1197,1564,80.58,865,CDX,10.736629,45.592222,-5.3,5.3
Dolce,VERONA,VENETO,17.37,157,151,13.26,75.66,684,955,83.85,527,CDX,10.87708,45.619784,-8.19,8.19
Erbe,VERONA,VENETO,23.09,148,117,13.85,71.61,459,721,85.33,311,CDX,10.973543,45.241788,-13.72,13.72
Erbezzo,VERONA,VENETO,7.14,25,25,6.2,90,315,377,93.55,290,CDX,10.997198,45.661108,-3.55,3.55
Ferrara Di Monte Baldo,VERONA,VENETO,14.69,21,13,8.72,79.72,114,129,86.58,93,CDX,10.846807,45.682509,-6.86,6.86
Fumane,VERONA,VENETO,32.66,551,474,22.44,61.53,1038,1561,73.91,487,CDX,10.889962,45.582114,-12.38,12.38
Garda,VERONA,VENETO,23.89,311,338,18.39,70.81,922,1371,74.59,611,CDX,10.687367,45.576538,-3.78,3.78
Gazzo Veronese,VERONA,VENETO,14.02,230,244,9.65,81.23,1333,2162,85.52,1103,CDX,11.094733,45.134943,-4.29,4.29
Grezzana,VERONA,VENETO,18.87,838,650,11.64,76.42,3393,4829,86.45,2555,CDX,11.017561,45.547085,-10.03,10.03
Illasi,VERONA,VENETO,19.75,430,322,11.66,76.34,1662,2303,83.38,1232,CDX,11.177086,45.46867,-7.04,7.04
Isola Della Scala,VERONA,VENETO,23,908,881,16.02,71.83,2836,4449,80.92,1928,CDX,11.020636,45.277508,-9.09,9.09
Isola Rizza,VERONA,VENETO,10.93,137,138,8.46,83.57,1048,1450,88.9,911,CDX,11.190099,45.277908,-5.33,5.33
Lavagno,VERONA,VENETO,28,959,740,16.99,67.18,2301,3466,79.57,1342,CDX,11.131689,45.44062,-12.39,12.39
Lazise,VERONA,VENETO,19.12,473,500,15.47,77.28,1912,2658,82.24,1439,CDX,10.710834,45.485899,-4.96,4.96
Legnago,VERONA,VENETO,25.98,2271,2173,18.42,69.61,6086,9280,78.67,3815,CDX,11.301188,45.164663,-9.06,9.06
Malcesine,VERONA,VENETO,24.82,244,260,16.12,70.6,694,1270,78.74,450,CDX,10.830746,45.768873,-8.14,8.14
Marano Di Valpolicella,VERONA,VENETO,27.75,376,323,20.04,68.41,927,1234,76.55,551,CDX,10.915781,45.5584,-8.14,8.14
Mezzane Di Sotto,VERONA,VENETO,28.75,322,294,20.9,64.46,722,1069,75.98,400,CDX,11.122485,45.488391,-11.52,11.52
Minerbe,VERONA,VENETO,14.51,249,295,13.05,82.52,1416,1938,85.75,1167,CDX,11.352707,45.249083,-3.23,3.23
Montecchia Di Crosara,VERONA,VENETO,11.6,212,224,9.76,84.95,1552,2022,88.1,1340,CDX,11.267788,45.477683,-3.15,3.15
Monteforte Dalpone,VERONA,VENETO,19.36,627,556,13.64,76.13,2466,3397,83.36,1839,CDX,11.286914,45.436053,-7.23,7.23
Mozzecane,VERONA,VENETO,20.43,609,543,14.73,76.38,2277,3072,83.34,1668,CDX,10.838556,45.309067,-6.96,6.96
Negrar Di Valpolicella,VERONA,VENETO,28.25,1888,1808,20.99,66.96,4475,6578,76.37,2587,CDX,10.952842,45.538815,-9.41,9.41
Nogara,VERONA,VENETO,21.41,551,555,15.19,74.08,1906,2992,81.91,1355,CDX,11.064585,45.18775,-7.83,7.83
Nogarole Rocca,VERONA,VENETO,19.3,210,234,15.12,75.18,818,1287,83.14,608,CDX,10.879162000000001,45.280371,-7.96,7.96
Oppeano,VERONA,VENETO,13.75,448,474,10.87,81.71,2662,3780,86.72,2214,CDX,11.113395,45.310284,-5.01,5.01
Palu,VERONA,VENETO,15.73,70,102,15.07,79.33,353,562,83.01,283,CDX,11.142411,45.326316,-3.68,3.68
Pastrengo,VERONA,VENETO,23.71,243,229,16.26,73.17,750,1142,81.11,507,CDX,10.796458,45.497383,-7.94,7.94
Pescantina,VERONA,VENETO,24.5,1584,1567,18.32,71.06,4595,6791,79.39,3011,CDX,10.861212,45.490648,-8.33,8.33
Peschiera Del Garda,VERONA,VENETO,21.48,796,821,16.87,74.82,2773,3954,81.24,1977,CDX,10.674319,45.438329,-6.42,6.42
Povegliano Veronese,VERONA,VENETO,31.07,837,830,22.57,65.66,1769,2767,75.25,932,CDX,10.889564,45.340348,-9.59,9.59
Pressana,VERONA,VENETO,15.29,142,135,11.16,78.79,732,1049,86.69,590,CDX,11.397213,45.27476,-7.9,7.9
Rivoli Veronese,VERONA,VENETO,19.52,162,176,13.83,75.3,625,1067,83.82,463,CDX,10.810484,45.572357,-8.52,8.52
Ronca,VERONA,VENETO,16.99,256,174,9.06,78.43,1182,1668,86.83,926,CDX,11.298952,45.484643,-8.4,8.4
Ronco Alladige,VERONA,VENETO,15.96,314,305,11.08,80.43,1582,2408,87.5,1268,CDX,11.224555,45.326168,-7.07,7.07
Roverchiara,VERONA,VENETO,13.13,119,109,8.81,83.11,753,1118,90.38,634,CDX,11.239651,45.263946,-7.27,7.27
Rovere Veronese,VERONA,VENETO,11.2,108,100,8.58,84.34,813,1055,90.56,705,CDX,11.078047,45.600654,-6.22,6.22
Roveredo Di Gua,VERONA,VENETO,14.87,91,84,10.67,82.68,506,697,88.56,415,CDX,11.462952,45.27331,-5.88,5.88
Salizzole,VERONA,VENETO,8.4,110,105,5.72,84.03,1100,1677,91.34,990,CDX,11.089412,45.222012,-7.31,7.31
San Bonifacio,VERONA,VENETO,27.1,1860,1680,18,68.7,4715,7276,77.98,2855,CDX,11.28675,45.396732,-9.28,9.28
San Giovanni Ilarione,VERONA,VENETO,10.61,212,197,7.29,83.58,1670,2381,88.05,1458,CDX,11.236378,45.526469,-4.47,4.47
San Giovanni Lupatoto,VERONA,VENETO,24.46,2283,2172,17.64,71.92,6713,9823,79.8,4430,CDX,11.037755,45.369064,-7.88,7.88
San Martino Buon Albergo,VERONA,VENETO,30.09,1702,1470,20.04,65.37,3698,5676,77.37,1996,CDX,11.098633,45.420063,-12,12
San Mauro Di Saline,VERONA,VENETO,10.81,32,14,4,85.81,254,326,93.14,222,CDX,11.10951,45.560146,-7.33,7.33
San Pietro Di Morubio,VERONA,VENETO,9.89,96,142,10.19,85.89,834,1216,87.23,738,CDX,11.201505,45.242501,-1.34,1.34
San Pietro In Cariano,VERONA,VENETO,30.07,1609,1446,21.08,65.37,3498,5187,75.6,1889,CDX,10.898475,45.506484,-10.23,10.23
San Zeno Di Montagna,VERONA,VENETO,20.68,122,103,14.51,74.24,438,588,82.82,316,CDX,10.766082,45.648412,-8.58,8.58
Sanguinetto,VERONA,VENETO,12.57,172,212,10.54,82.53,1129,1740,86.52,957,CDX,11.154189,45.173425,-3.99,3.99
Santambrogio Di Valpolicella,VERONA,VENETO,26.99,1106,936,16.93,67.98,2786,4413,79.8,1680,CDX,10.84177,45.538725,-11.82,11.82
Santanna Dalfaedo,VERONA,VENETO,15.28,165,121,9.41,81.57,881,1147,89.19,716,CDX,10.950187,45.631283,-7.62,7.62
Selva Di Progno,VERONA,VENETO,10.82,49,33,6.1,83.66,379,501,92.61,330,CDX,11.142651,45.641971,-8.95,8.95
Soave,VERONA,VENETO,18.21,622,604,16.99,78.75,2690,2826,79.49,2068,CDX,11.241994,45.436292,-0.74,0.74
Sommacampagna,VERONA,VENETO,20,1119,1496,19.84,71.21,3984,5886,78.04,2865,CDX,10.845144,45.400931,-6.83,6.83
Sona,VERONA,VENETO,25.16,1645,1413,16.04,70.77,4626,7165,81.35,2981,CDX,10.813909,45.428434,-10.58,10.58
Sorga,VERONA,VENETO,22.08,206,169,11.81,73.95,690,1236,86.37,484,CDX,10.990178,45.198998,-12.42,12.42
Terrazzo,VERONA,VENETO,17.75,131,160,15.55,79.13,584,857,83.28,453,CDX,11.392324,45.163795,-4.15,4.15
Torri Del Benaco,VERONA,VENETO,12.54,150,187,12.63,83.78,1002,1244,84,852,CDX,10.680694,45.618839,-0.22,0.22
Tregnago,VERONA,VENETO,18.7,410,320,12.16,77.6,1701,2206,83.85,1291,CDX,11.166735,45.528483,-6.25,6.25
Trevenzuolo,VERONA,VENETO,14.06,115,157,11.09,81.91,670,1230,86.86,555,CDX,10.93239,45.265405,-4.95,4.95
Valeggio Sul Mincio,VERONA,VENETO,24.87,1264,1135,16.14,71.38,3628,5738,81.6,2364,CDX,10.741718,45.353787,-10.22,10.22
Velo Veronese,VERONA,VENETO,10.93,41,27,6.16,86.4,324,403,92.01,283,CDX,11.106664,45.612116,-5.61,5.61
Verona,VERONA,VENETO,37.16,34533,30805,26.15,58.17,54057,82193,69.78,19524,CDX,11.002067,45.448627,-11.61,11.61
Veronella,VERONA,VENETO,15.13,249,268,11.38,80.44,1324,2032,86.28,1075,CDX,11.31785,45.31836,-5.84,5.84
Vestenanova,VERONA,VENETO,11.6,119,106,7.84,83.92,861,1223,90.46,742,CDX,11.215721,45.583118,-6.54,6.54
