DATAFLOW,FREQ,REF_AREA,DATA_TYPE,MEASURE,SEX,AGE,EDU_LEV_HIGHEST,LABOUR_PROFESS_STATUS_B,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_MEASURE,NOTE_SEX,NOTE_AGE,NOTE_EDU_LEV_HIGHEST,NOTE_LABOUR_PROFESS_STATUS_B,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:83_85_DF_DCCV_AVQ_PERSONE1_226(1.0),A,ITF1,11_ALC_NFUORI,HSC,9,Y_GE11,99,99,2023,30.6,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_226(1.0),A,ITF1,11_ALC_NFUORI,HSC,9,Y_GE11,99,99,2024,32.6,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_226(1.0),A,ITF1,11_ALC_NFUORI,HSC,9,Y_GE11,99,99,2025,35.6,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_226(1.0),A,ITF2,11_ALC_NFUORI,HSC,9,Y_GE11,99,99,2023,30.4,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_226(1.0),A,ITF2,11_ALC_NFUORI,HSC,9,Y_GE11,99,99,2024,34.3,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_226(1.0),A,ITF2,11_ALC_NFUORI,HSC,9,Y_GE11,99,99,2025,35.5,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_226(1.0),A,ITF3,11_ALC_NFUORI,HSC,9,Y_GE11,99,99,2023,35.3,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_226(1.0),A,ITF3,11_ALC_NFUORI,HSC,9,Y_GE11,99,99,2024,36.1,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_226(1.0),A,ITF3,11_ALC_NFUORI,HSC,9,Y_GE11,99,99,2025,36.9,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_226(1.0),A,ITF4,11_ALC_NFUORI,HSC,9,Y_GE11,99,99,2023,35.8,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_226(1.0),A,ITF4,11_ALC_NFUORI,HSC,9,Y_GE11,99,99,2024,35.9,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_226(1.0),A,ITF4,11_ALC_NFUORI,HSC,9,Y_GE11,99,99,2025,35.5,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_226(1.0),A,ITF5,11_ALC_NFUORI,HSC,9,Y_GE11,99,99,2023,38.6,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_226(1.0),A,ITF5,11_ALC_NFUORI,HSC,9,Y_GE11,99,99,2024,35.8,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_226(1.0),A,ITF5,11_ALC_NFUORI,HSC,9,Y_GE11,99,99,2025,38.2,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_226(1.0),A,ITF6,11_ALC_NFUORI,HSC,9,Y_GE11,99,99,2023,32.5,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_226(1.0),A,ITF6,11_ALC_NFUORI,HSC,9,Y_GE11,99,99,2024,37.5,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_226(1.0),A,ITF6,11_ALC_NFUORI,HSC,9,Y_GE11,99,99,2025,39.2,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_226(1.0),A,ITG1,11_ALC_NFUORI,HSC,9,Y_GE11,99,99,2023,37.6,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_226(1.0),A,ITG1,11_ALC_NFUORI,HSC,9,Y_GE11,99,99,2024,41.5,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_226(1.0),A,ITG1,11_ALC_NFUORI,HSC,9,Y_GE11,99,99,2025,38.2,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_226(1.0),A,ITG2,11_ALC_NFUORI,HSC,9,Y_GE11,99,99,2023,37,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_226(1.0),A,ITG2,11_ALC_NFUORI,HSC,9,Y_GE11,99,99,2024,36.2,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_226(1.0),A,ITG2,11_ALC_NFUORI,HSC,9,Y_GE11,99,99,2025,38,,,,,,,,,,,,,
