DATAFLOW,FREQ,REF_AREA,DATA_TYPE,TYPE_CRIME,Y_KNOWN_OFFENDER_IDEN,REFERENCE_PERIOD_CRIME,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_TYPE_CRIME,NOTE_Y_KNOWN_OFFENDER_IDEN,NOTE_REFERENCE_PERIOD_CRIME,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,POSTROB,9,YRDUR,2008,454,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,POSTROB,9,YRDUR,2009,379,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,POSTROB,9,YRDUR,2010,411,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,POSTROB,9,YRDUR,2011,403,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,POSTROB,9,YRDUR,2012,423,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,POSTROB,9,YRDUR,2013,441,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,POSTROB,9,YRDUR,2014,353,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,POSTROB,9,YRDUR,2015,321,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,POSTROB,9,YRDUR,2016,352,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,POSTROB,9,YRDUR,2017,256,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,POSTROB,9,YRDUR,2018,246,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,POSTROB,9,YRDUR,2019,176,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,POSTROB,9,YRDUR,2020,100,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,POSTROB,9,YRDUR,2021,82,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,POSTROB,9,YRDUR,2022,103,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,POSTROB,9,YRDUR,2023,107,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,POSTROB,9,YRDUR,2024,122,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,ROBBER,9,YRDUR,2006,50270,,,,,REATI_PS__ROBBER_N1,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,ROBBER,9,YRDUR,2007,51210,,,,,REATI_PS__ROBBER_N1,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,ROBBER,9,YRDUR,2008,45857,,,,,REATI_PS__ROBBER_N1,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,ROBBER,9,YRDUR,2009,35822,,,,,REATI_PS__ROBBER_N1,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,ROBBER,9,YRDUR,2010,33754,,,,,REATI_PS__ROBBER_N1,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,ROBBER,9,YRDUR,2011,40549,,,,,REATI_PS__ROBBER_N1,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,ROBBER,9,YRDUR,2012,42631,,,,,REATI_PS__ROBBER_N1,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,ROBBER,9,YRDUR,2013,43754,,,,,REATI_PS__ROBBER_N1,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,ROBBER,9,YRDUR,2014,39236,,,,,REATI_PS__ROBBER_N1,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,ROBBER,9,YRDUR,2015,35068,,,,,REATI_PS__ROBBER_N1,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,ROBBER,9,YRDUR,2016,32918,,,,,REATI_PS__ROBBER_N1,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,ROBBER,9,YRDUR,2017,30564,,,,,REATI_PS__ROBBER_N1,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,ROBBER,9,YRDUR,2018,28441,,,,,REATI_PS__ROBBER_N1,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,ROBBER,9,YRDUR,2019,24276,,,,,REATI_PS__ROBBER_N1,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,ROBBER,9,YRDUR,2020,20000,,,,,REATI_PS__ROBBER_N1,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,ROBBER,9,YRDUR,2021,22093,,,,,REATI_PS__ROBBER_N1,,,,,,
