modalita,etichetta,base_persone,n_obs,qualsiasi_peso,frequente_peso,perc_qualsiasi,perc_frequente,base_migliaia_media,perc_quota_occupati
1,Nord-Ovest,28521835.69999967,49297,2891217.199999992,977448.8000000016,10.1,3.4,7130,29.6
3,Centro,20503979.80000007,36227,2073650.1000000036,704960.9999999987,10.1,3.4,5126,21.3
2,Nord-Est,21235499.49999989,39813,1772682.4999999998,517794.3999999993,8.3,2.4,5309,22
5,Isole,8338635.399999998,17174,460439.1000000002,154221.40000000002,5.5,1.8,2085,8.7
4,Sud,17739037.70000007,32398,743725.699999999,272856.10000000015,4.2,1.5,4435,18.4
