modalita,etichetta,base_persone,n_obs,qualsiasi_peso,frequente_peso,perc_qualsiasi,perc_frequente,base_migliaia_media,perc_quota_occupati
2,Donne,41010715.19999971,77485,3725585.999999992,1288922.5999999982,9.1,3.1,10253,42.6
1,Uomini,55328272.90000027,97424,4216128.600000014,1338359.1000000013,7.6,2.4,13832,57.4
