eta,base_migliaia,perc_qualsiasi,perc_frequente,fascia
1,24,0.3,0,<20
2,1255,9,2.8,20-29
3,2341,13.3,4.2,30-39
4,2802,13.1,3.5,40-49
5,3076,11.7,2.7,50-59
6,1132,10.8,2.2,60+
