modalita,etichetta,base_persone,n_obs,qualsiasi_peso,frequente_peso,perc_qualsiasi,perc_frequente,base_migliaia_media,perc_quota_occupati
1,15-24,4189033.8999999887,7071,108953.59999999998,40774.499999999985,2.6,1,1047,4.3
2,25-34,16896010.99999995,26547,1433951.4000000001,535289.6999999994,8.5,3.2,4224,17.5
3,35-44,21373194.000000086,37306,1918815.3999999962,653874.7000000007,9,3.1,5343,22.2
4,45-54,28013673.499999862,49839,2333967.000000002,705779.0999999996,8.3,2.5,7003,29.1
5,55-64,22408240.100000102,45020,1812139.1999999967,538346.6000000004,8.1,2.4,5602,23.3
6,65+,3458835.599999994,9126,333887.9999999998,153217.10000000006,9.7,4.4,865,3.6
