modalita,etichetta,base_persone,n_obs,qualsiasi_peso,frequente_peso,perc_qualsiasi,perc_frequente,base_migliaia_media,perc_quota_occupati
2,Professioni intellettuali e scientifiche,14974021.999999946,27103,3375662.1999999965,1014443.2,22.5,6.8,3744,15.5
1,"Legislatori, dirigenti, imprenditori",3134429.3999999953,5684,492462.3,114108.59999999995,15.7,3.6,784,3.3
3,Professioni tecniche,16854263.699999936,29762,2347398.2000000025,805459.8999999985,13.9,4.8,4214,17.5
4,Impiegati esecutivi d'ufficio,10853511.199999968,19457,1021957.3000000011,281915.1,9.4,2.6,2713,11.3
5,Qualificate nel commercio e servizi,18315943.999999974,34907,429059.2000000003,262610.70000000024,2.3,1.4,4579,19
6,"Artigiani, operai specializzati, agric.",14123124.799999947,25605,190689.20000000004,99076.50000000001,1.4,0.7,3531,14.7
8,Professioni non qualificate,9984122.50000007,18397,53659.80000000001,31460.60000000001,0.5,0.3,2496,10.4
7,"Conduttori impianti, macchinari, veicoli",7126765.499999979,12344,27959.399999999994,17355.599999999995,0.4,0.2,1782,7.4
9,Forze armate,972805.0000000007,1650,2867,851.5,0.3,0.1,243,1
