modalita,etichetta,base_persone,n_obs,qualsiasi_peso,frequente_peso,perc_qualsiasi,perc_frequente,base_migliaia_media,perc_quota_occupati
2,Centro,20503979.80000007,36227,2073650.1000000036,704960.9999999987,10.1,3.4,5126,21.3
1,Nord,49757335.20000057,89110,4663899.700000006,1495243.1999999997,9.4,3,12439,51.6
3,Mezzogiorno,26077673.10000018,49572,1204164.799999999,427077.50000000006,4.6,1.6,6519,27.1
