modalita,etichetta,base_persone,n_obs,qualsiasi_peso,frequente_peso,perc_qualsiasi,perc_frequente,base_migliaia_media,perc_quota_occupati
3,Autonomo,19567067.29999981,37247,2520576.500000004,1041170.2999999982,12.9,5.3,4892,20.3
2,Collaboratore,1131917.699999999,1994,110517.39999999997,64409.59999999999,9.8,5.7,283,1.2
1,Dipendente,75640003.09999897,135668,5310620.699999996,1521701.7999999993,7,2,18910,78.5
