modalita,etichetta,base_persone,n_obs,qualsiasi_peso,frequente_peso,perc_qualsiasi,perc_frequente,base_migliaia_media,perc_quota_occupati
2,Tempo indeterminato,65456854.50000013,116846,4919181.500000004,1421324.5,7.5,2.2,16364,86.5
1,Tempo determinato,10183148.600000089,18822,391439.20000000007,100377.30000000002,3.8,1,2546,13.5
