modalita,etichetta,base_persone,n_obs,qualsiasi_peso,frequente_peso,perc_qualsiasi,perc_frequente,base_migliaia_media,perc_quota_occupati
3,Terziario (ISCED 5-8),24970259.300000105,44481,4701839.400000003,1422443.5999999992,18.8,5.7,6243,25.9
2,Sec. superiore (ISCED 3-4),46166583.10000016,84209,2834636.6000000047,984076.399999999,6.1,2.1,11542,47.9
1,Fino a sec. inferiore (ISCED 0-2),25202145.699999798,46219,405238.60000000003,220761.70000000007,1.6,0.9,6301,26.2
