modalita,etichetta,base_persone,n_obs,qualsiasi_peso,frequente_peso,perc_qualsiasi,perc_frequente,base_migliaia_media,perc_quota_occupati
1,Tempo pieno,81182599.50000016,146062,7024078.300000012,2167145.399999999,8.7,2.7,20296,84.3
2,Tempo parziale,15156388.599999968,28847,917636.3000000007,460136.29999999993,6.1,3,3789,15.7
