modalita,etichetta,base_persone,n_obs,qualsiasi_peso,frequente_peso,perc_qualsiasi,perc_frequente,base_migliaia_media,perc_quota_occupati
1,Italiana,86008878.60000013,156487,7477665.0000000065,2329443.9,8.7,2.7,21502,89.3
2,Straniera UE,3020488.000000011,5416,178779.50000000015,111781.79999999992,5.9,3.7,755,3.1
3,Straniera extra-UE,7309621.500000032,13006,285270.09999999986,186056.00000000017,3.9,2.5,1827,7.6
