DATAFLOW,LAST UPDATE,freq,unit,sector,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,DK,2016-01-01,52.4,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,EA19,2016-01-01,47.9,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,EA20,2016-01-01,47.9,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,EA21,2016-01-01,47.9,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,EE,2016-01-01,38.9,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,EL,2016-01-01,50.3,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,ES,2016-01-01,42.1,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,EU27_2020,2016-01-01,47.5,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,FI,2016-01-01,55.1,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,FR,2016-01-01,57.4,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,HR,2016-01-01,45.9,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,HU,2016-01-01,46.7,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,IE,2016-01-01,27.5,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,IS,2016-01-01,45.8,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,IT,2016-01-01,49.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,LT,2016-01-01,34.5,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,LU,2016-01-01,40.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,LV,2016-01-01,38.8,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,MT,2016-01-01,35.5,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,NL,2016-01-01,43.9,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,NO,2016-01-01,49.5,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,PL,2016-01-01,41.1,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,PT,2016-01-01,44.9,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,RO,2016-01-01,34.8,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,SE,2016-01-01,50.5,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,SI,2016-01-01,46.9,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,SK,2016-01-01,40.9,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,AT,2017-01-01,49.8,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,BE,2017-01-01,52.3,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,BG,2017-01-01,34.8,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,CH,2017-01-01,33.6,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,CY,2017-01-01,38.5,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,CZ,2017-01-01,38.5,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,DE,2017-01-01,44.5,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,DK,2017-01-01,50.6,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,EA19,2017-01-01,47.4,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,EA20,2017-01-01,47.4,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,EA21,2017-01-01,47.3,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,EE,2017-01-01,38.9,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,EL,2017-01-01,48.6,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,ES,2017-01-01,41.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,EU27_2020,2017-01-01,47.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,FI,2017-01-01,52.8,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,FR,2017-01-01,57.7,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,HR,2017-01-01,44.3,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,HU,2017-01-01,46.6,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,IE,2017-01-01,25.3,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,IS,2017-01-01,43.8,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,IT,2017-01-01,48.8,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,LT,2017-01-01,33.4,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,LU,2017-01-01,41.3,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,LV,2017-01-01,39.6,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,MT,2017-01-01,32.7,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,NL,2017-01-01,42.8,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,NO,2017-01-01,48.3,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,PL,2017-01-01,41.1,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,PT,2017-01-01,45.5,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,RO,2017-01-01,33.6,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,SE,2017-01-01,50.3,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,SI,2017-01-01,44.6,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,SK,2017-01-01,39.8,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,AT,2018-01-01,49.2,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,BE,2018-01-01,52.5,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,BG,2018-01-01,37.1,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,CH,2018-01-01,32.9,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,CY,2018-01-01,44.3,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,CZ,2018-01-01,40.1,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,DE,2018-01-01,44.7,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,A,PC_GDP,S13,TE,DK,2018-01-01,50.8,,
