gruppo,nomeGruppo,senatore,nome,cognome,inizio,fine,carica
http://dati.senato.it/gruppo/26,Unione dei Democraticicristiani e di Centro (UDC),http://dati.senato.it/senatore/763,Francesco,D'Onofrio,2006-04-28,2006-05-02,Membro
http://dati.senato.it/gruppo/26,Unione dei Democraticicristiani e di Centro (UDC),http://dati.senato.it/senatore/17569,Amedeo,Ciccanti,2006-04-28,2006-07-16,Membro
http://dati.senato.it/gruppo/26,Unione dei Democraticicristiani e di Centro (UDC),http://dati.senato.it/senatore/17653,Gino,Trematerra,2006-04-28,2006-07-16,Membro
http://dati.senato.it/gruppo/26,Unione dei Democraticicristiani e di Centro (UDC),http://dati.senato.it/senatore/2547,Tomaso,Zanoletti,2006-04-28,2006-07-16,Membro
http://dati.senato.it/gruppo/26,Unione dei Democraticicristiani e di Centro (UDC),http://dati.senato.it/senatore/22728,Salvatore,Cuffaro,2006-04-28,2006-07-24,Membro
http://dati.senato.it/gruppo/26,Unione dei Democraticicristiani e di Centro (UDC),http://dati.senato.it/senatore/4427,Marco,Follini,2006-04-28,2006-10-18,Membro
http://dati.senato.it/gruppo/26,Unione dei Democraticicristiani e di Centro (UDC),http://dati.senato.it/senatore/128,Mario,Baccini,2006-04-28,2008-02-03,Membro
http://dati.senato.it/gruppo/26,Unione dei Democraticicristiani e di Centro (UDC),http://dati.senato.it/senatore/17593,Maurizio,Eufemi,2006-04-28,2008-03-13,Membro
http://dati.senato.it/gruppo/26,Unione dei Democraticicristiani e di Centro (UDC),http://dati.senato.it/senatore/763,Francesco,D'Onofrio,2006-05-03,2008-04-28,Presidente
http://dati.senato.it/gruppo/26,Unione dei Democraticicristiani e di Centro (UDC),http://dati.senato.it/senatore/17569,Amedeo,Ciccanti,2006-07-17,2008-04-28,Vicepresidente
http://dati.senato.it/gruppo/26,Unione dei Democraticicristiani e di Centro (UDC),http://dati.senato.it/senatore/17653,Gino,Trematerra,2006-07-17,2008-04-28,Segretario Amministrativo
http://dati.senato.it/gruppo/26,Unione dei Democraticicristiani e di Centro (UDC),http://dati.senato.it/senatore/2547,Tomaso,Zanoletti,2006-07-17,2008-04-28,Vicepresidente Vicario
http://dati.senato.it/gruppo/26,Unione dei Democraticicristiani e di Centro (UDC),http://dati.senato.it/senatore/23986,Francesco,Pionati,2006-07-25,2008-04-28,Membro
http://dati.senato.it/gruppo/3,Alleanza Nazionale,http://dati.senato.it/senatore/1445,Alfredo,Mantica,2006-04-28,2006-05-02,Membro
http://dati.senato.it/gruppo/3,Alleanza Nazionale,http://dati.senato.it/senatore/1526,Altero,Matteoli,2006-04-28,2006-05-02,Membro
http://dati.senato.it/gruppo/3,Alleanza Nazionale,http://dati.senato.it/senatore/1666,Domenico,Nania,2006-04-28,2006-05-02,Membro
http://dati.senato.it/gruppo/3,Alleanza Nazionale,http://dati.senato.it/senatore/2393,Oreste,Tofani,2006-04-28,2006-05-02,Membro
http://dati.senato.it/gruppo/3,Alleanza Nazionale,http://dati.senato.it/senatore/4468,Stefano,Losurdo,2006-04-28,2007-07-29,Membro
