"Osservatorio: Osservatorio sui Lavoratori Dipendenti - Anni 2019-2023 (classificazione dell'attività economica ISTAT ATECO 2007)"
"Filtri:"


"
                                
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                        
                                        
                                        
                                            
                                                Cerca
                                            
                                        
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                            
                                                  Entra in MyInps
                                            
                                        
                                    
                                
                            "
"";" ";" ";"Periodo retribuito dal datore di lavoro";"Finoa 3 mesi";" ";" ";" ";" ";"Oltre3 e fino a 6 mesi";" ";" ";" ";" ";"Oltre6 e meno di 12 mesi";" ";" ";" ";" ";"Annointero";" ";" ";" ";" ";"Totale";" ";" ";" ";" ";"  ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Anno";"Classe di età";"Tipologia contrattuale";"";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero giornate retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero settimane retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero giornate retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero settimane retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero giornate retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero settimane retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero giornate retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero settimane retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero giornate retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero settimane retribuite nell'anno "
"2019";"Fino a 19";"Tempo determinato";"";"107.521 ";"3.140.988 ";"140.518.535 ";"641.979 ";"912.567 ";"22.531 ";"2.472.962 ";"116.644.863 ";"416.266 ";"567.823 ";"9.701 ";"2.072.197 ";"101.430.475 ";"300.097 ";"408.384 ";"1.163 ";"359.250 ";"28.506.396 ";"49.024 ";"60.476 ";"140.916 ";"8.045.397 ";"387.100.269 ";"1.407.365 ";"1.949.250 "
" ";" ";"Tempo indeterminato";"";"30.124 ";"1.209.272 ";"50.723.560 ";"228.323 ";"311.817 ";"18.778 ";"2.170.004 ";"94.238.804 ";"362.519 ";"469.745 ";"17.123 ";"3.920.486 ";"169.251.008 ";"583.520 ";"756.030 ";"10.400 ";"3.223.361 ";"152.566.025 ";"463.799 ";"540.796 ";"76.425 ";"10.523.123 ";"466.779.397 ";"1.638.161 ";"2.078.388 "
" ";" ";"Stagionale";"";"37.811 ";"1.463.706 ";"68.271.383 ";"233.399 ";"351.126 ";"6.557 ";"659.744 ";"34.214.985 ";"107.805 ";"142.888 ";"1.268 ";"258.993 ";"15.519.016 ";"43.902 ";"50.949 ";"48 ";"14.741 ";"1.110.273 ";"1.961 ";"2.495 ";"45.684 ";"2.397.184 ";"119.115.657 ";"387.066 ";"547.458 "
