"Osservatorio: Osservatorio sui Lavoratori Dipendenti - Anni 2014-2018 (classificazione dell'attività economica ISTAT ATECO 2007)"
"Filtri:"


"
                                
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                        
                                        
                                        
                                            
                                                Cerca
                                            
                                        
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                            
                                                  Entra in MyInps
                                            
                                        
                                    
                                
                            "
"";" ";" ";"Periodo retribuito dal datore di lavoro";"Finoa 3 mesi";" ";" ";" ";" ";"Oltre3 e fino a 6 mesi";" ";" ";" ";" ";"Oltre6 e meno di 12 mesi";" ";" ";" ";" ";"Annointero";" ";" ";" ";" ";"Totale";" ";" ";" ";" ";"  ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Anno";"Classe di età";"Tipologia contrattuale";"";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero giornate retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero settimane retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero giornate retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero settimane retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero giornate retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero settimane retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero giornate retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero settimane retribuite nell'anno ";"Numero lavoratori con almeno una giornata retribuita nell'anno ";"Numero giornate retribuite nell'anno ";"Somma retribuzioni nell'anno ";"Numero settimane utili nell'anno ";"Numero settimane retribuite nell'anno "
"2014";"Fino a 19";"Tempo determinato";"";"44.209 ";"1.218.356 ";"57.710.435 ";"234.615 ";"339.999 ";"8.027 ";"881.963 ";"43.245.740 ";"142.743 ";"193.734 ";"3.507 ";"756.360 ";"37.102.485 ";"110.739 ";"147.298 ";"485 ";"149.815 ";"7.646.212 ";"20.131 ";"25.220 ";"56.228 ";"3.006.494 ";"145.704.872 ";"508.227 ";"706.251 "
" ";" ";"Tempo indeterminato";"";"22.476 ";"875.853 ";"37.006.022 ";"168.962 ";"232.595 ";"12.102 ";"1.381.855 ";"59.189.099 ";"225.907 ";"300.092 ";"11.594 ";"2.634.988 ";"110.017.426 ";"391.330 ";"509.003 ";"7.214 ";"2.237.618 ";"100.499.182 ";"328.078 ";"375.124 ";"53.386 ";"7.130.314 ";"306.711.729 ";"1.114.276 ";"1.416.814 "
" ";" ";"Stagionale";"";"16.963 ";"620.482 ";"29.743.611 ";"107.813 ";"154.694 ";"2.687 ";"266.374 ";"13.955.204 ";"45.273 ";"57.306 ";"574 ";"117.957 ";"7.239.274 ";"20.447 ";"23.088 ";"18 ";"5.592 ";"306.508 ";"884 ";"936 ";"20.242 ";"1.010.405 ";"51.244.597 ";"174.417 ";"236.024 "
