"Osservatorio: Osservatorio sui Lavoratori Dipendenti - Anno 2024 (classificazione dell'attività economica ISTAT ATECO 2007)"
"Filtri:"


"
                                
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                        
                                        
                                        
                                            
                                                Cerca
                                            
                                        
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                            
" ";"Attivita' dei servizi di alloggio e di ristorazione";"";"487.865 ";"5.565.880 ";"902.527.593 ";"3.998.624 ";"18.006.079 ";"372.174 ";"10.227.237 ";"2.421.768.090 ";"7.543.197 ";"43.519.986 ";"645.879 ";"28.662.100 ";"8.796.980.450 ";"21.358.255 ";"147.599.592 ";"514.201 ";"26.738.365 ";"10.569.940.962 ";"21.612.224 ";"159.549.704 ";"2.020.119 ";"71.193.582 ";"22.691.217.095 ";"54.512.301 ";"368.675.361 "
" ";"Servizi di informazione e comunicazione";"";"73.240 ";"394.029 ";"171.328.527 ";"349.207 ";"1.415.849 ";"26.781 ";"678.565 ";"375.735.191 ";"591.748 ";"3.184.515 ";"101.999 ";"4.850.718 ";"3.093.074.345 ";"4.425.251 ";"26.009.943 ";"434.822 ";"22.610.733 ";"18.794.042.558 ";"21.779.833 ";"135.256.014 ";"636.842 ";"28.534.045 ";"22.434.180.621 ";"27.146.038 ";"165.866.321 "
" ";"Attivita' finanziarie e assicurative";"";"9.075 ";"90.743 ";"64.113.139 ";"77.104 ";"422.894 ";"9.806 ";"245.057 ";"186.616.376 ";"214.622 ";"1.229.833 ";"44.914 ";"2.120.347 ";"1.664.995.614 ";"1.914.668 ";"11.455.790 ";"419.062 ";"21.791.223 ";"25.331.211.290 ";"21.054.241 ";"130.526.821 ";"482.857 ";"24.247.370 ";"27.246.936.419 ";"23.260.635 ";"143.635.338 "
" ";"Attivita' immobiliari";"";"5.310 ";"57.757 ";"14.941.644 ";"37.561 ";"221.686 ";"4.886 ";"124.511 ";"38.543.032 ";"86.306 ";"589.426 ";"12.234 ";"550.360 ";"208.118.396 ";"411.407 ";"2.931.347 ";"41.455 ";"2.155.655 ";"1.382.670.136 ";"1.819.974 ";"12.904.856 ";"63.885 ";"2.888.283 ";"1.644.273.208 ";"2.355.248 ";"16.647.315 "
" ";"Attivita' professionali, scientifiche e tecniche";"";"54.974 ";"545.003 ";"144.362.111 ";"427.279 ";"1.915.885 ";"38.203 ";"1.010.736 ";"357.642.280 ";"802.807 ";"4.535.291 ";"103.409 ";"4.760.672 ";"2.151.290.095 ";"3.953.534 ";"25.277.173 ";"432.420 ";"22.485.799 ";"15.496.524.326 ";"20.496.699 ";"134.578.489 ";"629.006 ";"28.802.210 ";"18.149.818.812 ";"25.680.318 ";"166.306.838 "
" ";"Noleggio, agenzie di viaggio, servizi di supporto alle imprese";"";"332.186 ";"3.000.618 ";"687.113.438 ";"2.067.634 ";"11.252.009 ";"220.762 ";"5.716.699 ";"1.648.240.218 ";"4.299.608 ";"26.110.331 ";"531.979 ";"24.517.859 ";"8.572.477.533 ";"19.888.497 ";"128.161.910 ";"810.663 ";"42.154.398 ";"20.340.504.369 ";"36.598.426 ";"251.823.288 ";"1.895.590 ";"75.389.574 ";"31.248.335.558 ";"62.854.166 ";"417.347.538 "
" ";"Istruzione";"";"87.173 ";"912.471 ";"278.344.073 ";"722.356 ";"3.734.398 ";"122.894 ";"3.120.456 ";"1.055.028.690 ";"2.778.376 ";"16.048.057 ";"342.472 ";"14.521.335 ";"5.953.154.660 ";"13.489.493 ";"81.189.669 ";"188.039 ";"9.778.002 ";"4.896.804.535 ";"8.917.912 ";"58.459.673 ";"740.578 ";"28.332.264 ";"12.183.331.958 ";"25.908.135 ";"159.431.797 "
" ";"Sanita' e assistenza sociale";"";"75.211 ";"778.461 ";"192.453.934 ";"502.408 ";"3.104.821 ";"71.852 ";"1.919.188 ";"512.749.015 ";"1.267.736 ";"8.662.745 ";"255.070 ";"11.962.855 ";"4.010.117.081 ";"9.042.989 ";"62.411.545 ";"542.167 ";"28.192.634 ";"12.962.242.834 ";"24.709.574 ";"168.593.409 ";"944.300 ";"42.853.138 ";"17.677.562.864 ";"35.522.707 ";"242.772.520 "
" ";"Attivita' artistiche, sportive, di intrattenimento e divertimento";"";"93.977 ";"847.868 ";"200.789.973 ";"603.866 ";"3.165.061 ";"48.347 ";"1.205.595 ";"432.208.421 ";"933.196 ";"5.528.603 ";"52.367 ";"2.342.065 ";"1.026.828.389 ";"1.894.483 ";"12.132.295 ";"75.251 ";"3.913.051 ";"2.558.715.592 ";"3.531.692 ";"23.389.321 ";"269.942 ";"8.308.579 ";"4.218.542.375 ";"6.963.237 ";"44.215.280 "
" ";"Altre attivita' di servizi";"";"64.020 ";"702.993 ";"127.020.113 ";"467.166 ";"2.403.388 ";"48.016 ";"1.370.773 ";"302.092.928 ";"888.822 ";"5.681.488 ";"133.653 ";"6.291.982 ";"1.881.072.286 ";"4.629.174 ";"32.341.564 ";"260.804 ";"13.561.771 ";"6.567.067.526 ";"11.673.761 ";"81.068.671 ";"506.493 ";"21.927.519 ";"8.877.252.853 ";"17.658.923 ";"121.495.111 "
" ";"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze";"";"4.668 ";"36.617 ";"9.235.720 ";"25.926 ";"153.517 ";"1.784 ";"48.061 ";"12.463.271 ";"32.384 ";"210.549 ";"3.981 ";"184.897 ";"58.096.736 ";"144.006 ";"986.297 ";"26.019 ";"1.352.981 ";"508.878.633 ";"1.185.013 ";"8.098.421 ";"36.452 ";"1.622.556 ";"588.674.360 ";"1.387.329 ";"9.448.784 "
"2024";"Totale";"";"1.973.587 ";"19.906.792 ";"4.958.833.763 ";"14.832.407 ";"73.686.126 ";"1.555.960 ";"41.311.330 ";"12.863.430.571 ";"32.243.076 ";"186.021.801 ";"4.564.160 ";"212.632.193 ";"89.460.761.412 ";"181.542.450 ";"1.116.352.772 ";"9.637.295 ";"501.138.721 ";"326.881.350.296 ";"462.739.806 ";"2.995.160.875 ";"17.731.002 ";"774.989.036 ";"434.164.376.042 ";"691.357.740 ";"4.371.221.574 "
