"Osservatorio: Osservatorio sui Lavoratori Dipendenti - Anni 2014-2018 (classificazione dell'attività economica ISTAT ATECO 2007)"
"Filtri:"


"
                                
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                        
                                        
                                        
                                            
                                                Cerca
                                            
                                        
                                    
                                
                            ";"
                                
                                    
                                        
                                            
                                            
" ";"25  - 29";"Totale";"";"268.015 ";"2.726.344 ";"1.976.882 ";"545.745.915 ";"9.760.661 ";"199.941 ";"5.340.614 ";"4.071.742 ";"1.324.234.976 ";"23.570.237 ";"427.908 ";"19.601.701 ";"16.141.825 ";"5.987.180.242 ";"101.623.942 ";"637.734 ";"33.161.715 ";"30.267.330 ";"13.881.420.973 ";"198.189.422 ";"1.533.598 ";"60.830.374 ";"52.457.779 ";"21.738.582.106 ";"333.144.262 "
" ";"30  - 34";"Maschi";"";"116.599 ";"1.136.207 ";"903.045 ";"278.153.426 ";"4.302.383 ";"91.884 ";"2.446.260 ";"2.026.577 ";"713.872.761 ";"10.895.561 ";"246.859 ";"11.577.024 ";"10.339.239 ";"4.191.617.341 ";"59.919.221 ";"534.060 ";"27.770.677 ";"26.713.098 ";"14.767.760.715 ";"166.002.294 ";"989.402 ";"42.930.168 ";"39.981.958 ";"19.951.404.243 ";"241.119.459 "
" ";" ";"Femmine";"";"112.065 ";"1.255.793 ";"865.629 ";"234.566.820 ";"4.165.864 ";"101.404 ";"2.820.628 ";"2.083.727 ";"675.639.009 ";"12.175.990 ";"238.199 ";"10.860.951 ";"8.565.257 ";"3.267.007.291 ";"56.456.982 ";"366.240 ";"19.044.390 ";"16.746.428 ";"8.189.387.005 ";"113.867.619 ";"817.908 ";"33.981.762 ";"28.261.041 ";"12.366.600.125 ";"186.666.455 "
" ";"30  - 34";"Totale";"";"228.664 ";"2.392.000 ";"1.768.674 ";"512.720.246 ";"8.468.247 ";"193.288 ";"5.266.888 ";"4.110.304 ";"1.389.511.770 ";"23.071.551 ";"485.058 ";"22.437.975 ";"18.904.496 ";"7.458.624.632 ";"116.376.203 ";"900.300 ";"46.815.067 ";"43.459.525 ";"22.957.147.720 ";"279.869.913 ";"1.807.310 ";"76.911.930 ";"68.243.000 ";"32.318.004.368 ";"427.785.914 "
" ";"35  - 39";"Maschi";"";"110.343 ";"1.079.851 ";"887.868 ";"278.130.961 ";"4.048.115 ";"90.028 ";"2.441.775 ";"2.074.927 ";"745.134.463 ";"10.751.747 ";"277.546 ";"13.159.586 ";"12.031.370 ";"5.166.862.011 ";"68.174.482 ";"671.093 ";"34.896.259 ";"33.869.616 ";"20.939.796.538 ";"208.608.593 ";"1.149.010 ";"51.577.471 ";"48.863.781 ";"27.129.923.973 ";"291.582.937 "
" ";" ";"Femmine";"";"101.119 ";"1.138.262 ";"784.781 ";"218.889.840 ";"3.803.473 ";"97.059 ";"2.718.247 ";"2.016.967 ";"675.087.196 ";"11.737.786 ";"264.587 ";"12.196.135 ";"9.653.368 ";"3.923.916.636 ";"63.575.565 ";"462.754 ";"24.063.074 ";"20.749.740 ";"10.901.702.965 ";"143.859.287 ";"925.519 ";"40.115.718 ";"33.204.855 ";"15.719.596.637 ";"222.976.111 "
" ";"35  - 39";"Totale";"";"211.462 ";"2.218.113 ";"1.672.649 ";"497.020.801 ";"7.851.588 ";"187.087 ";"5.160.022 ";"4.091.893 ";"1.420.221.659 ";"22.489.533 ";"542.133 ";"25.355.721 ";"21.684.738 ";"9.090.778.647 ";"131.750.047 ";"1.133.847 ";"58.959.333 ";"54.619.356 ";"31.841.499.503 ";"352.467.880 ";"2.074.529 ";"91.693.189 ";"82.068.636 ";"42.849.520.610 ";"514.559.048 "
" ";"40  - 44";"Maschi";"";"102.437 ";"1.003.152 ";"839.341 ";"275.567.835 ";"3.754.841 ";"84.002 ";"2.300.161 ";"1.988.203 ";"738.833.702 ";"10.044.699 ";"287.466 ";"13.729.481 ";"12.739.441 ";"5.769.524.196 ";"71.166.723 ";"755.404 ";"39.280.401 ";"38.313.694 ";"26.462.705.073 ";"234.848.569 ";"1.229.309 ";"56.313.195 ";"53.880.679 ";"33.246.630.806 ";"319.814.832 "
" ";" ";"Femmine";"";"82.934 ";"894.262 ";"610.647 ";"177.720.316 ";"3.118.124 ";"78.652 ";"2.190.434 ";"1.581.214 ";"546.783.775 ";"9.501.650 ";"242.447 ";"11.324.609 ";"8.729.137 ";"3.700.367.145 ";"59.048.970 ";"545.252 ";"28.352.916 ";"24.068.038 ";"13.641.044.834 ";"169.560.582 ";"949.285 ";"42.762.221 ";"34.989.035 ";"18.065.916.070 ";"241.229.326 "
" ";"40  - 44";"Totale";"";"185.371 ";"1.897.414 ";"1.449.988 ";"453.288.151 ";"6.872.965 ";"162.654 ";"4.490.595 ";"3.569.416 ";"1.285.617.477 ";"19.546.349 ";"529.913 ";"25.054.090 ";"21.468.578 ";"9.469.891.341 ";"130.215.693 ";"1.300.656 ";"67.633.317 ";"62.381.732 ";"40.103.749.907 ";"404.409.151 ";"2.178.594 ";"99.075.416 ";"88.869.714 ";"51.312.546.876 ";"561.044.158 "
" ";"45  - 49";"Maschi";"";"91.783 ";"901.903 ";"767.637 ";"253.323.737 ";"3.323.715 ";"74.775 ";"2.064.632 ";"1.808.853 ";"684.451.938 ";"8.954.683 ";"270.794 ";"13.013.216 ";"12.184.824 ";"5.740.178.496 ";"67.457.762 ";"732.642 ";"38.096.922 ";"37.238.247 ";"27.634.341.232 ";"227.790.223 ";"1.169.994 ";"54.076.673 ";"51.999.561 ";"34.312.295.403 ";"307.526.383 "
" ";" ";"Femmine";"";"66.629 ";"712.384 ";"481.288 ";"139.455.321 ";"2.499.706 ";"62.325 ";"1.741.323 ";"1.235.729 ";"425.669.636 ";"7.521.921 ";"205.668 ";"9.667.189 ";"7.329.053 ";"3.114.574.790 ";"50.404.079 ";"520.435 ";"27.062.462 ";"22.832.166 ";"13.271.955.800 ";"161.892.605 ";"855.057 ";"39.183.358 ";"31.878.236 ";"16.951.655.547 ";"222.318.311 "
" ";"45  - 49";"Totale";"";"158.412 ";"1.614.287 ";"1.248.925 ";"392.779.058 ";"5.823.421 ";"137.100 ";"3.805.955 ";"3.044.582 ";"1.110.121.574 ";"16.476.604 ";"476.462 ";"22.680.405 ";"19.513.877 ";"8.854.753.286 ";"117.861.841 ";"1.253.077 ";"65.159.384 ";"60.070.413 ";"40.906.297.032 ";"389.682.828 ";"2.025.051 ";"93.260.031 ";"83.877.796 ";"51.263.950.950 ";"529.844.694 "
" ";"50  - 54";"Maschi";"";"73.247 ";"721.860 ";"623.781 ";"211.704.103 ";"2.631.365 ";"58.603 ";"1.622.111 ";"1.436.587 ";"569.036.805 ";"7.019.374 ";"221.127 ";"10.647.526 ";"10.023.261 ";"4.912.645.511 ";"55.268.145 ";"636.917 ";"33.119.299 ";"32.432.006 ";"25.502.420.400 ";"198.062.251 ";"989.894 ";"46.110.796 ";"44.515.634 ";"31.195.806.819 ";"262.981.135 "
" ";" ";"Femmine";"";"48.054 ";"520.152 ";"358.580 ";"102.596.977 ";"1.786.144 ";"44.867 ";"1.266.341 ";"907.269 ";"308.463.134 ";"5.418.051 ";"156.838 ";"7.411.732 ";"5.658.220 ";"2.408.962.417 ";"38.633.181 ";"412.191 ";"21.433.788 ";"18.316.315 ";"10.901.889.342 ";"128.233.150 ";"661.950 ";"30.632.013 ";"25.240.383 ";"13.721.911.870 ";"174.070.526 "
" ";"50  - 54";"Totale";"";"121.301 ";"1.242.012 ";"982.361 ";"314.301.080 ";"4.417.509 ";"103.470 ";"2.888.452 ";"2.343.855 ";"877.499.939 ";"12.437.425 ";"377.965 ";"18.059.258 ";"15.681.480 ";"7.321.607.928 ";"93.901.326 ";"1.049.108 ";"54.553.087 ";"50.748.321 ";"36.404.309.742 ";"326.295.401 ";"1.651.844 ";"76.742.809 ";"69.756.017 ";"44.917.718.689 ";"437.051.661 "
" ";"55  - 59";"Maschi";"";"56.425 ";"565.765 ";"499.928 ";"175.146.456 ";"2.010.007 ";"44.127 ";"1.225.525 ";"1.100.058 ";"456.482.418 ";"5.296.681 ";"159.717 ";"7.637.731 ";"7.213.629 ";"3.701.773.434 ";"39.769.723 ";"460.777 ";"23.960.162 ";"23.472.378 ";"19.322.250.959 ";"143.318.141 ";"721.046 ";"33.389.183 ";"32.285.993 ";"23.655.653.267 ";"190.394.552 "
" ";" ";"Femmine";"";"31.772 ";"358.836 ";"261.501 ";"78.977.387 ";"1.209.527 ";"30.915 ";"864.843 ";"645.542 ";"240.473.279 ";"3.748.920 ";"98.551 ";"4.634.036 ";"3.608.083 ";"1.606.761.607 ";"24.237.224 ";"254.652 ";"13.241.844 ";"11.480.482 ";"7.060.892.562 ";"79.230.161 ";"415.890 ";"19.099.559 ";"15.995.608 ";"8.987.104.835 ";"108.425.832 "
" ";"55  - 59";"Totale";"";"88.197 ";"924.601 ";"761.430 ";"254.123.843 ";"3.219.534 ";"75.042 ";"2.090.368 ";"1.745.600 ";"696.955.697 ";"9.045.601 ";"258.268 ";"12.271.767 ";"10.821.711 ";"5.308.535.041 ";"64.006.947 ";"715.429 ";"37.202.006 ";"34.952.860 ";"26.383.143.521 ";"222.548.302 ";"1.136.936 ";"52.488.742 ";"48.281.601 ";"32.642.758.102 ";"298.820.384 "
" ";"60  - 64";"Maschi";"";"36.803 ";"387.239 ";"337.251 ";"119.989.362 ";"1.305.817 ";"27.077 ";"760.449 ";"668.830 ";"301.447.837 ";"3.260.763 ";"68.849 ";"3.212.539 ";"2.926.064 ";"1.561.294.176 ";"16.683.658 ";"162.357 ";"8.442.477 ";"8.088.999 ";"7.119.603.127 ";"50.512.611 ";"295.086 ";"12.802.704 ";"12.021.143 ";"9.102.334.502 ";"71.762.849 "
" ";" ";"Femmine";"";"15.563 ";"183.650 ";"135.423 ";"41.098.367 ";"587.009 ";"14.209 ";"401.292 ";"295.983 ";"116.548.251 ";"1.722.275 ";"34.754 ";"1.603.872 ";"1.186.807 ";"521.942.510 ";"8.379.278 ";"72.209 ";"3.754.824 ";"3.101.422 ";"1.804.314.765 ";"22.469.131 ";"136.735 ";"5.943.638 ";"4.719.634 ";"2.483.903.893 ";"33.157.693 "
" ";"60  - 64";"Totale";"";"52.366 ";"570.889 ";"472.674 ";"161.087.729 ";"1.892.826 ";"41.286 ";"1.161.741 ";"964.813 ";"417.996.088 ";"4.983.038 ";"103.603 ";"4.816.411 ";"4.112.871 ";"2.083.236.686 ";"25.062.936 ";"234.566 ";"12.197.301 ";"11.190.420 ";"8.923.917.892 ";"72.981.742 ";"431.821 ";"18.746.342 ";"16.740.778 ";"11.586.238.395 ";"104.920.542 "
" ";"65 ed oltre";"Maschi";"";"21.845 ";"249.177 ";"196.356 ";"54.021.555 ";"699.972 ";"11.803 ";"351.441 ";"267.962 ";"110.800.048 ";"1.399.601 ";"17.932 ";"819.079 ";"615.306 ";"312.219.609 ";"4.199.973 ";"25.196 ";"1.310.158 ";"1.059.971 ";"829.718.131 ";"7.838.901 ";"76.776 ";"2.729.855 ";"2.139.596 ";"1.306.759.343 ";"14.138.447 "
" ";" ";"Femmine";"";"7.971 ";"100.116 ";"70.499 ";"12.619.691 ";"246.126 ";"4.389 ";"139.423 ";"86.912 ";"25.386.532 ";"521.028 ";"7.107 ";"325.742 ";"195.560 ";"76.731.879 ";"1.663.968 ";"12.585 ";"654.413 ";"451.326 ";"227.910.737 ";"3.917.053 ";"32.052 ";"1.219.694 ";"804.296 ";"342.648.839 ";"6.348.175 "
" ";"65 ed oltre";"Totale";"";"29.816 ";"349.293 ";"266.855 ";"66.641.246 ";"946.098 ";"16.192 ";"490.864 ";"354.874 ";"136.186.580 ";"1.920.629 ";"25.039 ";"1.144.821 ";"810.867 ";"388.951.488 ";"5.863.941 ";"37.781 ";"1.964.571 ";"1.511.296 ";"1.057.628.868 ";"11.755.954 ";"108.828 ";"3.949.549 ";"2.943.892 ";"1.649.408.182 ";"20.486.622 "
" ";"Totale";"Maschi";"";"946.547 ";"9.288.509 ";"7.522.464 ";"2.316.718.770 ";"34.168.400 ";"691.005 ";"18.645.025 ";"15.729.534 ";"5.710.171.180 ";"81.867.288 ";"1.944.310 ";"91.847.464 ";"83.651.881 ";"37.021.820.441 ";"476.050.235 ";"4.514.228 ";"234.736.533 ";"227.308.196 ";"154.383.218.518 ";"1.403.414.243 ";"8.096.090 ";"354.517.531 ";"334.212.074 ";"199.431.928.909 ";"1.995.500.166 "
" ";" ";"Femmine";"";"772.948 ";"8.291.592 ";"5.686.828 ";"1.513.965.629 ";"28.022.096 ";"615.375 ";"17.036.853 ";"12.306.267 ";"4.040.881.051 ";"73.520.038 ";"1.561.811 ";"72.171.127 ";"55.517.640 ";"22.316.307.591 ";"375.679.015 ";"3.006.123 ";"156.317.405 ";"133.705.109 ";"72.649.610.395 ";"934.846.289 ";"5.956.257 ";"253.816.977 ";"207.215.845 ";"100.520.764.666 ";"1.412.067.438 "
"2014";" ";"Totale";"";"1.719.495 ";"17.580.101 ";"13.209.292 ";"3.830.684.399 ";"62.190.496 ";"1.306.380 ";"35.681.878 ";"28.035.801 ";"9.751.052.231 ";"155.387.326 ";"3.506.121 ";"164.018.591 ";"139.169.520 ";"59.338.128.032 ";"851.729.250 ";"7.520.351 ";"391.053.938 ";"361.013.305 ";"227.032.828.913 ";"2.338.260.532 ";"14.052.347 ";"608.334.508 ";"541.427.919 ";"299.952.693.575 ";"3.407.567.604 "
"2015";"Fino a 19";"Maschi";"";"55.567 ";"460.775 ";"335.418 ";"90.908.295 ";"1.830.369 ";"17.055 ";"402.999 ";"319.308 ";"99.415.373 ";"1.907.583 ";"11.430 ";"490.112 ";"390.672 ";"126.675.687 ";"2.549.062 ";"5.553 ";"288.756 ";"257.198 ";"89.274.800 ";"1.721.938 ";"89.605 ";"1.642.642 ";"1.302.596 ";"406.274.155 ";"8.008.952 "
" ";" ";"Femmine";"";"39.967 ";"320.176 ";"209.950 ";"51.700.015 ";"1.206.399 ";"8.011 ";"192.062 ";"130.728 ";"37.179.703 ";"882.699 ";"4.837 ";"204.318 ";"138.892 ";"40.968.829 ";"1.061.113 ";"1.838 ";"95.575 ";"75.706 ";"22.597.054 ";"569.910 ";"54.653 ";"812.131 ";"555.276 ";"152.445.601 ";"3.720.121 "
" ";"Fino a 19";"Totale";"";"95.534 ";"780.951 ";"545.368 ";"142.608.310 ";"3.036.768 ";"25.066 ";"595.061 ";"450.036 ";"136.595.076 ";"2.790.282 ";"16.267 ";"694.430 ";"529.564 ";"167.644.516 ";"3.610.175 ";"7.391 ";"384.331 ";"332.904 ";"111.871.854 ";"2.291.848 ";"144.258 ";"2.454.773 ";"1.857.872 ";"558.719.756 ";"11.729.073 "
