"Regione","Regione_Cod","Provincia","Provincia_Cod","Comune_Cod","Comune","Cognome","Nome","Voti"
"VENETO",5,"BELLUNO","BELLUNO",170,"DANTA DI CADORE","BUI","FABIO",2
"VENETO",5,"BELLUNO","BELLUNO",170,"DANTA DI CADORE","RIZZO","MARCO",0
"VENETO",5,"BELLUNO","BELLUNO",180,"DOMEGGE DI CADORE","STEFANI","ALBERTO",634
"VENETO",5,"BELLUNO","BELLUNO",180,"DOMEGGE DI CADORE","MANILDO","GIOVANNI",193
"VENETO",5,"BELLUNO","BELLUNO",180,"DOMEGGE DI CADORE","SZUMSKI","RICCARDO",53
"VENETO",5,"BELLUNO","BELLUNO",180,"DOMEGGE DI CADORE","RIZZO","MARCO",13
"VENETO",5,"BELLUNO","BELLUNO",180,"DOMEGGE DI CADORE","BUI","FABIO",4
"VENETO",5,"BELLUNO","BELLUNO",190,"FALCADE","STEFANI","ALBERTO",481
"VENETO",5,"BELLUNO","BELLUNO",190,"FALCADE","MANILDO","GIOVANNI",122
"VENETO",5,"BELLUNO","BELLUNO",190,"FALCADE","SZUMSKI","RICCARDO",65
"VENETO",5,"BELLUNO","BELLUNO",190,"FALCADE","RIZZO","MARCO",8
"VENETO",5,"BELLUNO","BELLUNO",190,"FALCADE","BUI","FABIO",2
"VENETO",5,"BELLUNO","BELLUNO",210,"FELTRE","STEFANI","ALBERTO",4771
"VENETO",5,"BELLUNO","BELLUNO",210,"FELTRE","MANILDO","GIOVANNI",2810
"VENETO",5,"BELLUNO","BELLUNO",210,"FELTRE","SZUMSKI","RICCARDO",379
"VENETO",5,"BELLUNO","BELLUNO",210,"FELTRE","RIZZO","MARCO",76
"VENETO",5,"BELLUNO","BELLUNO",210,"FELTRE","BUI","FABIO",39
"VENETO",5,"BELLUNO","BELLUNO",220,"FONZASO","STEFANI","ALBERTO",829
"VENETO",5,"BELLUNO","BELLUNO",220,"FONZASO","MANILDO","GIOVANNI",270
"VENETO",5,"BELLUNO","BELLUNO",220,"FONZASO","SZUMSKI","RICCARDO",58
"VENETO",5,"BELLUNO","BELLUNO",220,"FONZASO","RIZZO","MARCO",12
"VENETO",5,"BELLUNO","BELLUNO",220,"FONZASO","BUI","FABIO",10
"VENETO",5,"BELLUNO","BELLUNO",250,"GOSALDO","STEFANI","ALBERTO",164
"VENETO",5,"BELLUNO","BELLUNO",250,"GOSALDO","MANILDO","GIOVANNI",42
"VENETO",5,"BELLUNO","BELLUNO",250,"GOSALDO","SZUMSKI","RICCARDO",10
"VENETO",5,"BELLUNO","BELLUNO",250,"GOSALDO","RIZZO","MARCO",4
"VENETO",5,"BELLUNO","BELLUNO",250,"GOSALDO","BUI","FABIO",0
"VENETO",5,"BELLUNO","BELLUNO",260,"LAMON","STEFANI","ALBERTO",524
"VENETO",5,"BELLUNO","BELLUNO",260,"LAMON","MANILDO","GIOVANNI",373
"VENETO",5,"BELLUNO","BELLUNO",260,"LAMON","SZUMSKI","RICCARDO",36
"VENETO",5,"BELLUNO","BELLUNO",260,"LAMON","BUI","FABIO",7
"VENETO",5,"BELLUNO","BELLUNO",260,"LAMON","RIZZO","MARCO",7
"VENETO",5,"BELLUNO","BELLUNO",270,"LA VALLE AGORDINA","STEFANI","ALBERTO",279
"VENETO",5,"BELLUNO","BELLUNO",270,"LA VALLE AGORDINA","MANILDO","GIOVANNI",100
"VENETO",5,"BELLUNO","BELLUNO",270,"LA VALLE AGORDINA","SZUMSKI","RICCARDO",16
"VENETO",5,"BELLUNO","BELLUNO",270,"LA VALLE AGORDINA","RIZZO","MARCO",9
"VENETO",5,"BELLUNO","BELLUNO",270,"LA VALLE AGORDINA","BUI","FABIO",0
"VENETO",5,"BELLUNO","BELLUNO",290,"LIMANA","STEFANI","ALBERTO",1259
"VENETO",5,"BELLUNO","BELLUNO",290,"LIMANA","MANILDO","GIOVANNI",715
"VENETO",5,"BELLUNO","BELLUNO",290,"LIMANA","SZUMSKI","RICCARDO",163
"VENETO",5,"BELLUNO","BELLUNO",290,"LIMANA","RIZZO","MARCO",34
"VENETO",5,"BELLUNO","BELLUNO",290,"LIMANA","BUI","FABIO",15
"VENETO",5,"BELLUNO","BELLUNO",300,"LIVINALLONGO DEL COL DI LANA","STEFANI","ALBERTO",319
"VENETO",5,"BELLUNO","BELLUNO",300,"LIVINALLONGO DEL COL DI LANA","MANILDO","GIOVANNI",38
"VENETO",5,"BELLUNO","BELLUNO",300,"LIVINALLONGO DEL COL DI LANA","SZUMSKI","RICCARDO",11
"VENETO",5,"BELLUNO","BELLUNO",300,"LIVINALLONGO DEL COL DI LANA","RIZZO","MARCO",4
"VENETO",5,"BELLUNO","BELLUNO",300,"LIVINALLONGO DEL COL DI LANA","BUI","FABIO",2
"VENETO",5,"BELLUNO","BELLUNO",311,"LONGARONE","STEFANI","ALBERTO",1005
"VENETO",5,"BELLUNO","BELLUNO",311,"LONGARONE","MANILDO","GIOVANNI",415
"VENETO",5,"BELLUNO","BELLUNO",311,"LONGARONE","SZUMSKI","RICCARDO",96
"VENETO",5,"BELLUNO","BELLUNO",311,"LONGARONE","RIZZO","MARCO",19
"VENETO",5,"BELLUNO","BELLUNO",311,"LONGARONE","BUI","FABIO",12
"VENETO",5,"BELLUNO","BELLUNO",320,"LORENZAGO DI CADORE","STEFANI","ALBERTO",175
"VENETO",5,"BELLUNO","BELLUNO",320,"LORENZAGO DI CADORE","MANILDO","GIOVANNI",69
"VENETO",5,"BELLUNO","BELLUNO",320,"LORENZAGO DI CADORE","SZUMSKI","RICCARDO",11
"VENETO",5,"BELLUNO","BELLUNO",320,"LORENZAGO DI CADORE","BUI","FABIO",1
"VENETO",5,"BELLUNO","BELLUNO",320,"LORENZAGO DI CADORE","RIZZO","MARCO",1
"VENETO",5,"BELLUNO","BELLUNO",330,"LOZZO DI CADORE","STEFANI","ALBERTO",314
"VENETO",5,"BELLUNO","BELLUNO",330,"LOZZO DI CADORE","MANILDO","GIOVANNI",113
"VENETO",5,"BELLUNO","BELLUNO",330,"LOZZO DI CADORE","SZUMSKI","RICCARDO",29
"VENETO",5,"BELLUNO","BELLUNO",330,"LOZZO DI CADORE","BUI","FABIO",9
"VENETO",5,"BELLUNO","BELLUNO",330,"LOZZO DI CADORE","RIZZO","MARCO",8
"VENETO",5,"BELLUNO","BELLUNO",350,"OSPITALE DI CADORE","STEFANI","ALBERTO",44
"VENETO",5,"BELLUNO","BELLUNO",350,"OSPITALE DI CADORE","MANILDO","GIOVANNI",37
"VENETO",5,"BELLUNO","BELLUNO",350,"OSPITALE DI CADORE","SZUMSKI","RICCARDO",17
"VENETO",5,"BELLUNO","BELLUNO",350,"OSPITALE DI CADORE","BUI","FABIO",3
"VENETO",5,"BELLUNO","BELLUNO",350,"OSPITALE DI CADORE","RIZZO","MARCO",0
"VENETO",5,"BELLUNO","BELLUNO",360,"PEDAVENA","STEFANI","ALBERTO",1087
"VENETO",5,"BELLUNO","BELLUNO",360,"PEDAVENA","MANILDO","GIOVANNI",530
"VENETO",5,"BELLUNO","BELLUNO",360,"PEDAVENA","SZUMSKI","RICCARDO",66
"VENETO",5,"BELLUNO","BELLUNO",360,"PEDAVENA","RIZZO","MARCO",24
"VENETO",5,"BELLUNO","BELLUNO",360,"PEDAVENA","BUI","FABIO",12
"VENETO",5,"BELLUNO","BELLUNO",370,"PERAROLO DI CADORE","STEFANI","ALBERTO",58
"VENETO",5,"BELLUNO","BELLUNO",370,"PERAROLO DI CADORE","MANILDO","GIOVANNI",48
"VENETO",5,"BELLUNO","BELLUNO",370,"PERAROLO DI CADORE","SZUMSKI","RICCARDO",13
"VENETO",5,"BELLUNO","BELLUNO",370,"PERAROLO DI CADORE","RIZZO","MARCO",4
"VENETO",5,"BELLUNO","BELLUNO",370,"PERAROLO DI CADORE","BUI","FABIO",0
"VENETO",5,"BELLUNO","BELLUNO",390,"PIEVE DI CADORE","STEFANI","ALBERTO",733
"VENETO",5,"BELLUNO","BELLUNO",390,"PIEVE DI CADORE","MANILDO","GIOVANNI",467
"VENETO",5,"BELLUNO","BELLUNO",390,"PIEVE DI CADORE","SZUMSKI","RICCARDO",101
"VENETO",5,"BELLUNO","BELLUNO",390,"PIEVE DI CADORE","RIZZO","MARCO",27
"VENETO",5,"BELLUNO","BELLUNO",390,"PIEVE DI CADORE","BUI","FABIO",15
"VENETO",5,"BELLUNO","BELLUNO",400,"PONTE NELLE ALPI","STEFANI","ALBERTO",1764
"VENETO",5,"BELLUNO","BELLUNO",400,"PONTE NELLE ALPI","MANILDO","GIOVANNI",1021
"VENETO",5,"BELLUNO","BELLUNO",400,"PONTE NELLE ALPI","SZUMSKI","RICCARDO",266
"VENETO",5,"BELLUNO","BELLUNO",400,"PONTE NELLE ALPI","RIZZO","MARCO",57
"VENETO",5,"BELLUNO","BELLUNO",400,"PONTE NELLE ALPI","BUI","FABIO",25
"VENETO",5,"BELLUNO","BELLUNO",430,"RIVAMONTE AGORDINO","STEFANI","ALBERTO",167
"VENETO",5,"BELLUNO","BELLUNO",430,"RIVAMONTE AGORDINO","MANILDO","GIOVANNI",73
"VENETO",5,"BELLUNO","BELLUNO",430,"RIVAMONTE AGORDINO","SZUMSKI","RICCARDO",11
"VENETO",5,"BELLUNO","BELLUNO",430,"RIVAMONTE AGORDINO","RIZZO","MARCO",4
"VENETO",5,"BELLUNO","BELLUNO",430,"RIVAMONTE AGORDINO","BUI","FABIO",0
"VENETO",5,"BELLUNO","BELLUNO",440,"ROCCA PIETORE","STEFANI","ALBERTO",391
"VENETO",5,"BELLUNO","BELLUNO",440,"ROCCA PIETORE","MANILDO","GIOVANNI",56
"VENETO",5,"BELLUNO","BELLUNO",440,"ROCCA PIETORE","SZUMSKI","RICCARDO",16
"VENETO",5,"BELLUNO","BELLUNO",440,"ROCCA PIETORE","RIZZO","MARCO",5
"VENETO",5,"BELLUNO","BELLUNO",440,"ROCCA PIETORE","BUI","FABIO",0
"VENETO",5,"BELLUNO","BELLUNO",450,"SAN GREGORIO NELLE ALPI","STEFANI","ALBERTO",351
"VENETO",5,"BELLUNO","BELLUNO",450,"SAN GREGORIO NELLE ALPI","MANILDO","GIOVANNI",178
"VENETO",5,"BELLUNO","BELLUNO",450,"SAN GREGORIO NELLE ALPI","SZUMSKI","RICCARDO",65
"VENETO",5,"BELLUNO","BELLUNO",450,"SAN GREGORIO NELLE ALPI","RIZZO","MARCO",7
"VENETO",5,"BELLUNO","BELLUNO",450,"SAN GREGORIO NELLE ALPI","BUI","FABIO",6
"VENETO",5,"BELLUNO","BELLUNO",460,"SAN NICOLO' DI COMELICO","STEFANI","ALBERTO",105
"VENETO",5,"BELLUNO","BELLUNO",460,"SAN NICOLO' DI COMELICO","MANILDO","GIOVANNI",37
"VENETO",5,"BELLUNO","BELLUNO",460,"SAN NICOLO' DI COMELICO","SZUMSKI","RICCARDO",14
"VENETO",5,"BELLUNO","BELLUNO",460,"SAN NICOLO' DI COMELICO","RIZZO","MARCO",3
"VENETO",5,"BELLUNO","BELLUNO",460,"SAN NICOLO' DI COMELICO","BUI","FABIO",2
"VENETO",5,"BELLUNO","BELLUNO",470,"SAN PIETRO DI CADORE","STEFANI","ALBERTO",347
"VENETO",5,"BELLUNO","BELLUNO",470,"SAN PIETRO DI CADORE","MANILDO","GIOVANNI",144
"VENETO",5,"BELLUNO","BELLUNO",470,"SAN PIETRO DI CADORE","SZUMSKI","RICCARDO",19
"VENETO",5,"BELLUNO","BELLUNO",470,"SAN PIETRO DI CADORE","BUI","FABIO",6
"VENETO",5,"BELLUNO","BELLUNO",470,"SAN PIETRO DI CADORE","RIZZO","MARCO",6
"VENETO",5,"BELLUNO","BELLUNO",480,"SANTA GIUSTINA","STEFANI","ALBERTO",1579
"VENETO",5,"BELLUNO","BELLUNO",480,"SANTA GIUSTINA","MANILDO","GIOVANNI",725
"VENETO",5,"BELLUNO","BELLUNO",480,"SANTA GIUSTINA","SZUMSKI","RICCARDO",188
"VENETO",5,"BELLUNO","BELLUNO",480,"SANTA GIUSTINA","RIZZO","MARCO",25
"VENETO",5,"BELLUNO","BELLUNO",480,"SANTA GIUSTINA","BUI","FABIO",16
"VENETO",5,"BELLUNO","BELLUNO",490,"SAN TOMASO AGORDINO","STEFANI","ALBERTO",138
"VENETO",5,"BELLUNO","BELLUNO",490,"SAN TOMASO AGORDINO","MANILDO","GIOVANNI",41
"VENETO",5,"BELLUNO","BELLUNO",490,"SAN TOMASO AGORDINO","SZUMSKI","RICCARDO",6
"VENETO",5,"BELLUNO","BELLUNO",490,"SAN TOMASO AGORDINO","RIZZO","MARCO",4
"VENETO",5,"BELLUNO","BELLUNO",490,"SAN TOMASO AGORDINO","BUI","FABIO",1
"VENETO",5,"BELLUNO","BELLUNO",500,"SANTO STEFANO DI CADORE","STEFANI","ALBERTO",546
"VENETO",5,"BELLUNO","BELLUNO",500,"SANTO STEFANO DI CADORE","MANILDO","GIOVANNI",191
"VENETO",5,"BELLUNO","BELLUNO",500,"SANTO STEFANO DI CADORE","SZUMSKI","RICCARDO",21
"VENETO",5,"BELLUNO","BELLUNO",500,"SANTO STEFANO DI CADORE","RIZZO","MARCO",18
"VENETO",5,"BELLUNO","BELLUNO",500,"SANTO STEFANO DI CADORE","BUI","FABIO",0
"VENETO",5,"BELLUNO","BELLUNO",510,"SAN VITO DI CADORE","STEFANI","ALBERTO",445
"VENETO",5,"BELLUNO","BELLUNO",510,"SAN VITO DI CADORE","MANILDO","GIOVANNI",183
"VENETO",5,"BELLUNO","BELLUNO",510,"SAN VITO DI CADORE","SZUMSKI","RICCARDO",24
"VENETO",5,"BELLUNO","BELLUNO",510,"SAN VITO DI CADORE","BUI","FABIO",13
"VENETO",5,"BELLUNO","BELLUNO",510,"SAN VITO DI CADORE","RIZZO","MARCO",8
"VENETO",5,"BELLUNO","BELLUNO",530,"SEDICO","STEFANI","ALBERTO",2181
"VENETO",5,"BELLUNO","BELLUNO",530,"SEDICO","MANILDO","GIOVANNI",1131
"VENETO",5,"BELLUNO","BELLUNO",530,"SEDICO","SZUMSKI","RICCARDO",291
"VENETO",5,"BELLUNO","BELLUNO",530,"SEDICO","RIZZO","MARCO",58
"VENETO",5,"BELLUNO","BELLUNO",530,"SEDICO","BUI","FABIO",20
"VENETO",5,"BELLUNO","BELLUNO",540,"SELVA DI CADORE","STEFANI","ALBERTO",154
"VENETO",5,"BELLUNO","BELLUNO",540,"SELVA DI CADORE","MANILDO","GIOVANNI",25
"VENETO",5,"BELLUNO","BELLUNO",540,"SELVA DI CADORE","SZUMSKI","RICCARDO",12
"VENETO",5,"BELLUNO","BELLUNO",540,"SELVA DI CADORE","RIZZO","MARCO",4
"VENETO",5,"BELLUNO","BELLUNO",540,"SELVA DI CADORE","BUI","FABIO",2
"VENETO",5,"BELLUNO","BELLUNO",550,"SEREN DEL GRAPPA","STEFANI","ALBERTO",659
"VENETO",5,"BELLUNO","BELLUNO",550,"SEREN DEL GRAPPA","MANILDO","GIOVANNI",228
"VENETO",5,"BELLUNO","BELLUNO",550,"SEREN DEL GRAPPA","SZUMSKI","RICCARDO",41
"VENETO",5,"BELLUNO","BELLUNO",550,"SEREN DEL GRAPPA","BUI","FABIO",11
"VENETO",5,"BELLUNO","BELLUNO",550,"SEREN DEL GRAPPA","RIZZO","MARCO",10
"VENETO",5,"BELLUNO","BELLUNO",555,"SETTEVILLE","STEFANI","ALBERTO",1230
"VENETO",5,"BELLUNO","BELLUNO",555,"SETTEVILLE","MANILDO","GIOVANNI",487
"VENETO",5,"BELLUNO","BELLUNO",555,"SETTEVILLE","SZUMSKI","RICCARDO",169
"VENETO",5,"BELLUNO","BELLUNO",555,"SETTEVILLE","RIZZO","MARCO",21
"VENETO",5,"BELLUNO","BELLUNO",555,"SETTEVILLE","BUI","FABIO",15
"VENETO",5,"BELLUNO","BELLUNO",560,"SOSPIROLO","STEFANI","ALBERTO",636
"VENETO",5,"BELLUNO","BELLUNO",560,"SOSPIROLO","MANILDO","GIOVANNI",364
"VENETO",5,"BELLUNO","BELLUNO",560,"SOSPIROLO","SZUMSKI","RICCARDO",76
"VENETO",5,"BELLUNO","BELLUNO",560,"SOSPIROLO","RIZZO","MARCO",12
"VENETO",5,"BELLUNO","BELLUNO",560,"SOSPIROLO","BUI","FABIO",5
"VENETO",5,"BELLUNO","BELLUNO",570,"SOVERZENE","STEFANI","ALBERTO",103
"VENETO",5,"BELLUNO","BELLUNO",570,"SOVERZENE","MANILDO","GIOVANNI",100
"VENETO",5,"BELLUNO","BELLUNO",570,"SOVERZENE","SZUMSKI","RICCARDO",7
"VENETO",5,"BELLUNO","BELLUNO",570,"SOVERZENE","RIZZO","MARCO",3
"VENETO",5,"BELLUNO","BELLUNO",570,"SOVERZENE","BUI","FABIO",1
"VENETO",5,"BELLUNO","BELLUNO",580,"SOVRAMONTE","STEFANI","ALBERTO",334
"VENETO",5,"BELLUNO","BELLUNO",580,"SOVRAMONTE","MANILDO","GIOVANNI",187
"VENETO",5,"BELLUNO","BELLUNO",580,"SOVRAMONTE","SZUMSKI","RICCARDO",35
"VENETO",5,"BELLUNO","BELLUNO",580,"SOVRAMONTE","RIZZO","MARCO",7
"VENETO",5,"BELLUNO","BELLUNO",580,"SOVRAMONTE","BUI","FABIO",5
"VENETO",5,"BELLUNO","BELLUNO",590,"TAIBON AGORDINO","STEFANI","ALBERTO",418
"VENETO",5,"BELLUNO","BELLUNO",590,"TAIBON AGORDINO","MANILDO","GIOVANNI",105
"VENETO",5,"BELLUNO","BELLUNO",590,"TAIBON AGORDINO","SZUMSKI","RICCARDO",53
"VENETO",5,"BELLUNO","BELLUNO",590,"TAIBON AGORDINO","BUI","FABIO",3
"VENETO",5,"BELLUNO","BELLUNO",590,"TAIBON AGORDINO","RIZZO","MARCO",3
"VENETO",5,"BELLUNO","BELLUNO",600,"TAMBRE","STEFANI","ALBERTO",374
"VENETO",5,"BELLUNO","BELLUNO",600,"TAMBRE","MANILDO","GIOVANNI",92
"VENETO",5,"BELLUNO","BELLUNO",600,"TAMBRE","SZUMSKI","RICCARDO",55
"VENETO",5,"BELLUNO","BELLUNO",600,"TAMBRE","RIZZO","MARCO",15
"VENETO",5,"BELLUNO","BELLUNO",600,"TAMBRE","BUI","FABIO",0
"VENETO",5,"BELLUNO","BELLUNO",615,"VAL DI ZOLDO","STEFANI","ALBERTO",588
"VENETO",5,"BELLUNO","BELLUNO",615,"VAL DI ZOLDO","MANILDO","GIOVANNI",176
