periodo,lavoratori_2014,lavoratori_2024,quota_lavoratori_2014,quota_lavoratori_2024,settimane_utili_2014,settimane_utili_2024,quota_settimane_utili_2014,quota_settimane_utili_2024,stipendio_annuo_reale_2014,stipendio_annuo_reale_2024,stipendio_settimanale_reale_2014,stipendio_settimanale_reale_2024,stipendio_settimanale_fte_reale_2014,stipendio_settimanale_fte_reale_2024,stipendio_annuo_fte_reale_2014,stipendio_annuo_fte_reale_2024
Fino a 3 mesi,1719495,1973587,0.12236354539209714,0.11130713312197472,13209292,14832409,0.024397138363338018,0.02145402890208174,2664.184464770621,2512.5995271553775,260.5816579922242,249.10260593469806,346.8052539266116,334.3242330359148,18033.8732041838,17384.86011786757
Oltre 3 e fino a 6 mesi,1306380,1555960,0.09296525341994473,0.0877536418979593,28035805,32243075,0.051781232007935316,0.046637323912925355,8926.285959616987,8267.198752538625,326.80795141792817,311.3777883936441,415.9367441714065,398.9517305964149,21628.71069691314,20745.489991013575
Oltre 6 e meno di 12 mesi,3506121,4564160,0.2495042998867022,0.2574112844835278,139169520,181542452,0.2570416367053842,0.26258829649066356,20239.313484859867,19600.706682500175,432.64291933132364,420.7300886559544,509.89241060003917,492.7814978063643,26514.40535120204,25624.637885930944
Anno intero,7520351,9637295,0.535166901301256,0.5435279404965382,361013308,462739807,0.6667799929233424,0.6693203506943293,36102.675305385594,33918.37131643267,694.2898765426366,652.2771771531101,752.0631076999849,706.4042153952837,39107.28160039922,36733.01920055475
