dim,vista,tempo_parziale,sesso,lavoratori_2014,lavoratori_2024,settimane_utili_2014,settimane_utili_2024,stipendio_annuo_reale_2014,stipendio_annuo_reale_2024,stipendio_settimanale_reale_2014,stipendio_settimanale_reale_2024,stipendio_settimanale_fte_reale_2014,stipendio_settimanale_fte_reale_2024,stipendio_annuo_fte_reale_2014,stipendio_annuo_fte_reale_2024,lavoratori_var_pct,settimane_utili_var_pct,stipendio_annuo_reale_var_pct,stipendio_settimanale_reale_var_pct,stipendio_settimanale_fte_reale_var_pct,stipendio_annuo_fte_reale_var_pct
tempo_parziale_x_sesso,anno_intero,No,Femmine,1755278,2235953,91273811,116269513,36380.90401841233,35918.97899150832,699.6377136441772,690.749851450741,699.6377136441772,690.749851450741,36381.16110949722,35918.992275438526,27.384551051172522,27.385404122109016,-1.269690897923359,-1.2703520722378459,-1.2703520722378459,-1.270352072237857
tempo_parziale_x_sesso,anno_intero,No,Maschi,4071892,5007988,211735384,260415284,43358.85651642224,40685.90837058715,833.8359779221765,782.4215912342534,833.8359779221765,782.4215912342534,43359.47085195318,40685.922744181174,22.989214841650995,22.990913979687022,-6.1647108816689,-6.166007230347859,-6.166007230347859,-6.166007230347859
tempo_parziale_x_sesso,anno_intero,Si,Femmine,1250845,1669906,42431298,59421222,18405.048042659513,17815.841324601504,353.9451143939008,342.6135247258559,542.5679487561383,500.6760097091238,28213.533335319193,26035.152504874437,33.50223249083619,40.04101877816699,-3.2013321382934556,-3.201510405772723,-7.721049343783337,-7.721049343783337
tempo_parziale_x_sesso,anno_intero,Si,Maschi,442336,723448,15572812,26633787,18247.998342013998,18056.419052924328,350.92797297270255,347.2405078705469,518.3229974530678,490.46274384487646,26952.795867559526,25504.062679933577,63.55168921362946,71.02747403615994,-1.0498646783005272,-1.0507754827633886,-5.375075724035194,-5.375075724035183
tempo_parziale_x_sesso,complessivo,No,Femmine,3130936,3866623,135631991,169085664,26796.81468155986,26817.989478157037,618.5790767594372,613.2693480743583,618.5790767594372,613.2693480743583,32166.111991490732,31890.00609986663,23.497350313133204,24.66503127569659,0.07901982697873233,-0.8583750864796569,-0.8583750864796569,-0.8583750864796569
tempo_parziale_x_sesso,complessivo,No,Maschi,6663397,8006898,300913764,367759654,33395.73188036456,32323.030283637934,739.5109371747635,703.7400751198227,739.5109371747635,703.7400751198227,38454.568733087704,36594.48390623078,20.162403650870566,22.214301237480115,-3.2120918941660803,-4.83709709441219,-4.83709709441219,-4.83709709441219
tempo_parziale_x_sesso,complessivo,Si,Femmine,2825321,3720852,71583853,99739215,12852.345484799314,12573.65312111312,307.2471624903241,300.4203211916603,507.2652571168345,469.0702885820788,26377.793370075393,24391.655006268098,31.69661075679542,39.332001310407264,-2.168416372060711,-2.2219379483704005,-7.529584965437241,-7.52958496543723
tempo_parziale_x_sesso,complessivo,Si,Maschi,1432693,2136629,33298311,54773207,11145.662535413272,11643.2998976425,297.89534557988895,301.8630847476548,479.5532330408244,454.189440048672,24936.76811812287,23617.850882530944,49.13376417697302,64.492448280635,4.464852229717864,1.331923854010597,-5.289046396647523,-5.289046396647523
