anno,classe_di_eta,tipologia_contrattuale,periodo_retribuito_dal_datore_di_lavoro,numero_lavoratori_con_almeno_una_giornata_retribuita_nell_anno,numero_settimane_retribuite_nell_anno,numero_settimane_utili_nell_anno,numero_giornate_retribuite_nell_anno,somma_retribuzioni_nell_anno
2016,20  - 24,Tempo indeterminato,Oltre 3 e fino a 6 mesi,65935,1760429,1261463,7761119,366997849
2016,20  - 24,Tempo indeterminato,Oltre 6 e meno di 12 mesi,164333,7519581,5868368,39084239,1979168394
2016,20  - 24,Tempo indeterminato,Anno intero,245191,12749886,11145163,76188312,4457223398
2016,25  - 29,Stagionale,Fino a 3 mesi,19326,193447,146886,794023,45493807
2016,25  - 29,Stagionale,Oltre 3 e fino a 6 mesi,19767,469267,396420,2239979,138909533
2016,25  - 29,Stagionale,Oltre 6 e meno di 12 mesi,14194,565882,510337,2902904,206028347
2016,25  - 29,Stagionale,Anno intero,505,26260,22860,156203,11801996
2016,25  - 29,Tempo determinato,Fino a 3 mesi,154005,1370102,972006,5355329,297777022
2016,25  - 29,Tempo determinato,Oltre 3 e fino a 6 mesi,95479,2421513,1848746,11242235,667065247
2016,25  - 29,Tempo determinato,Oltre 6 e meno di 12 mesi,142865,6196639,5167963,32551363,2066622298
2016,25  - 29,Tempo determinato,Anno intero,51744,2690688,2397776,16026712,1117526554
2016,25  - 29,Tempo indeterminato,Fino a 3 mesi,93059,1020991,720737,3700226,207048729
2016,25  - 29,Tempo indeterminato,Oltre 3 e fino a 6 mesi,84095,2312529,1678725,10020953,539165115
2016,25  - 29,Tempo indeterminato,Oltre 6 e meno di 12 mesi,276944,12967366,10423374,67216560,3887098744
2016,25  - 29,Tempo indeterminato,Anno intero,636496,33097703,29931628,197914520,13881349153
2016,30  - 34,Stagionale,Fino a 3 mesi,12986,130166,100534,531685,32161212
2016,30  - 34,Stagionale,Oltre 3 e fino a 6 mesi,15854,382547,326601,1835648,119817563
2016,30  - 34,Stagionale,Oltre 6 e meno di 12 mesi,13237,524790,475189,2694440,201044133
2016,30  - 34,Stagionale,Anno intero,414,21528,18414,127741,10137825
2016,30  - 34,Tempo determinato,Fino a 3 mesi,118367,1065098,775018,4253165,249094876
2016,30  - 34,Tempo determinato,Oltre 3 e fino a 6 mesi,83859,2132939,1685268,10066728,630595846
2016,30  - 34,Tempo determinato,Oltre 6 e meno di 12 mesi,134268,5792766,4948327,30598741,2029362913
2016,30  - 34,Tempo determinato,Anno intero,46464,2416127,2167054,14392495,1043389857
2016,30  - 34,Tempo indeterminato,Fino a 3 mesi,82713,979464,690644,3253229,207157323
2016,30  - 34,Tempo indeterminato,Oltre 3 e fino a 6 mesi,83095,2392085,1757004,9986372,593251029
2016,30  - 34,Tempo indeterminato,Oltre 6 e meno di 12 mesi,323150,15391847,12644534,79438735,5069612145
2016,30  - 34,Tempo indeterminato,Anno intero,889104,46233346,42548295,276495498,22589990086
2016,35  - 39,Stagionale,Fino a 3 mesi,11270,113526,88165,462712,28469709
2016,35  - 39,Stagionale,Oltre 3 e fino a 6 mesi,14879,360954,309660,1733495,115161876
2016,35  - 39,Stagionale,Oltre 6 e meno di 12 mesi,12677,498368,453064,2557224,194197050
2016,35  - 39,Stagionale,Anno intero,297,15444,13301,91845,6326853
2016,35  - 39,Tempo determinato,Fino a 3 mesi,104100,929488,689245,3734599,222476403
2016,35  - 39,Tempo determinato,Oltre 3 e fino a 6 mesi,79410,2027328,1656048,9705944,622143065
2016,35  - 39,Tempo determinato,Oltre 6 e meno di 12 mesi,127919,5493660,4772744,29127013,1985848269
2016,35  - 39,Tempo determinato,Anno intero,40059,2083067,1859156,12409510,945576198
2016,35  - 39,Tempo indeterminato,Fino a 3 mesi,76053,905273,651347,2999095,206083057
2016,35  - 39,Tempo indeterminato,Oltre 3 e fino a 6 mesi,78431,2280378,1697241,9449303,607293851
2016,35  - 39,Tempo indeterminato,Oltre 6 e meno di 12 mesi,355166,17131195,14299501,88576037,6150389923
2016,35  - 39,Tempo indeterminato,Anno intero,1083286,56330827,51864456,336849632,30454293798
2016,40  - 44,Stagionale,Fino a 3 mesi,11071,113353,88919,461887,28612797
2016,40  - 44,Stagionale,Oltre 3 e fino a 6 mesi,15752,382035,328837,1841669,123868724
2016,40  - 44,Stagionale,Oltre 6 e meno di 12 mesi,13420,525438,479817,2696711,208015168
2016,40  - 44,Stagionale,Anno intero,296,15391,13441,91453,6773872
2016,40  - 44,Tempo determinato,Fino a 3 mesi,100316,888167,665360,3556432,213945329
2016,40  - 44,Tempo determinato,Oltre 3 e fino a 6 mesi,76289,1953521,1610092,9355637,605798840
2016,40  - 44,Tempo determinato,Oltre 6 e meno di 12 mesi,121048,5217765,4546483,27619986,1906653241
2016,40  - 44,Tempo determinato,Anno intero,37220,1935434,1716979,11528722,874077296
2016,40  - 44,Tempo indeterminato,Fino a 3 mesi,66810,752414,544784,2644984,187273040
2016,40  - 44,Tempo indeterminato,Oltre 3 e fino a 6 mesi,67932,1972744,1453569,8215588,558236704
2016,40  - 44,Tempo indeterminato,Oltre 6 e meno di 12 mesi,373445,18219995,15271017,94467594,6940954774
2016,40  - 44,Tempo indeterminato,Anno intero,1335915,69467514,63849781,415490278,40946100929
2016,45  - 49,Stagionale,Fino a 3 mesi,10508,109287,85751,446665,27887428
2016,45  - 49,Stagionale,Oltre 3 e fino a 6 mesi,15166,368425,316987,1778504,119752307
2016,45  - 49,Stagionale,Oltre 6 e meno di 12 mesi,13028,509638,464706,2614978,203371974
2016,45  - 49,Stagionale,Anno intero,261,13572,11942,80699,6383845
2016,45  - 49,Tempo determinato,Fino a 3 mesi,86926,763105,577272,3053641,185074794
2016,45  - 49,Tempo determinato,Oltre 3 e fino a 6 mesi,65372,1679008,1388123,8002377,521194809
2016,45  - 49,Tempo determinato,Oltre 6 e meno di 12 mesi,100775,4339168,3776855,22928574,1591958683
2016,45  - 49,Tempo determinato,Anno intero,30689,1595824,1410144,9507093,736746304
2016,45  - 49,Tempo indeterminato,Fino a 3 mesi,56423,617977,450602,2234468,164528416
2016,45  - 49,Tempo indeterminato,Oltre 3 e fino a 6 mesi,56076,1630503,1198401,6792791,477810535
2016,45  - 49,Tempo indeterminato,Oltre 6 e meno di 12 mesi,345218,16935852,14250600,87902186,6696919409
2016,45  - 49,Tempo indeterminato,Anno intero,1323451,68819401,63245422,411723517,43468633757
2016,50  - 54,Stagionale,Fino a 3 mesi,8896,93542,73569,380495,24148890
2016,50  - 54,Stagionale,Oltre 3 e fino a 6 mesi,12707,309794,267144,1494397,101414581
2016,50  - 54,Stagionale,Oltre 6 e meno di 12 mesi,10797,418012,381139,2150674,167706301
2016,50  - 54,Stagionale,Anno intero,199,10348,9045,61476,5069869
2016,50  - 54,Tempo determinato,Fino a 3 mesi,69239,605601,467098,2412988,149561969
2016,50  - 54,Tempo determinato,Oltre 3 e fino a 6 mesi,51449,1319596,1102544,6295361,419693947
2016,50  - 54,Tempo determinato,Oltre 6 e meno di 12 mesi,76881,3297820,2879475,17444574,1230230829
2016,50  - 54,Tempo determinato,Anno intero,22682,1179457,1034908,7028385,554156412
2016,50  - 54,Tempo indeterminato,Fino a 3 mesi,46297,514832,383671,1810203,143260828
2016,50  - 54,Tempo indeterminato,Oltre 3 e fino a 6 mesi,46771,1383652,1028835,5681172,413086550
2016,50  - 54,Tempo indeterminato,Oltre 6 e meno di 12 mesi,303389,14917178,12659821,77480707,6085332394
2016,50  - 54,Tempo indeterminato,Anno intero,1178935,61304577,56686201,366803527,40688798031
2016,55  - 59,Stagionale,Fino a 3 mesi,5888,60933,48024,247687,15737454
2016,55  - 59,Stagionale,Oltre 3 e fino a 6 mesi,9083,222042,192995,1078259,74548420
2016,55  - 59,Stagionale,Oltre 6 e meno di 12 mesi,7124,274645,251569,1410311,111754582
2016,55  - 59,Stagionale,Anno intero,108,5616,4823,33370,2818342
2016,55  - 59,Tempo determinato,Fino a 3 mesi,43577,384712,305233,1517941,99009347
2016,55  - 59,Tempo determinato,Oltre 3 e fino a 6 mesi,31719,815143,689266,3855065,269523475
2016,55  - 59,Tempo determinato,Oltre 6 e meno di 12 mesi,45648,1951333,1719556,10321152,773531127
2016,55  - 59,Tempo determinato,Anno intero,13447,699241,617701,4167313,371940147
2016,55  - 59,Tempo indeterminato,Fino a 3 mesi,36980,415279,322476,1434176,124147626
2016,55  - 59,Tempo indeterminato,Oltre 3 e fino a 6 mesi,39422,1147747,907489,4874127,406613072
2016,55  - 59,Tempo indeterminato,Oltre 6 e meno di 12 mesi,224873,10916393,9449017,57042555,4752731471
2016,55  - 59,Tempo indeterminato,Anno intero,825716,42937212,40105334,256954119,30217610893
2016,60  - 64,Stagionale,Fino a 3 mesi,3334,35853,27978,142027,9144674
2016,60  - 64,Stagionale,Oltre 3 e fino a 6 mesi,4938,119400,102218,583463,40209205
2016,60  - 64,Stagionale,Oltre 6 e meno di 12 mesi,3567,134925,122637,696631,55245204
2016,60  - 64,Stagionale,Anno intero,52,2704,2233,16112,1337209
2016,60  - 64,Tempo determinato,Fino a 3 mesi,24426,218036,176297,823087,59382559
2016,60  - 64,Tempo determinato,Oltre 3 e fino a 6 mesi,15854,412657,346597,1914474,146706514
2016,60  - 64,Tempo determinato,Oltre 6 e meno di 12 mesi,20440,873887,758093,4620949,391466144
2016,60  - 64,Tempo determinato,Anno intero,6743,350636,303211,2091986,247839278
2016,60  - 64,Tempo indeterminato,Fino a 3 mesi,26713,314262,251426,1053562,99037881
2016,60  - 64,Tempo indeterminato,Oltre 3 e fino a 6 mesi,28308,815793,669545,3564738,350448786
2016,60  - 64,Tempo indeterminato,Oltre 6 e meno di 12 mesi,112109,5290016,4508016,27742464,2424339763
2016,60  - 64,Tempo indeterminato,Anno intero,325938,16948748,15590906,101448700,12294125173
2016,65 ed oltre,Stagionale,Fino a 3 mesi,2374,23927,15179,81822,4894924
2016,65 ed oltre,Stagionale,Oltre 3 e fino a 6 mesi,1884,44850,32723,215492,13508497
2016,65 ed oltre,Stagionale,Oltre 6 e meno di 12 mesi,850,32382,25848,167566,12391384
2016,65 ed oltre,Stagionale,Anno intero,19,988,791,5867,744697
2016,65 ed oltre,Tempo determinato,Fino a 3 mesi,14030,115854,89892,380055,28161735
2016,65 ed oltre,Tempo determinato,Oltre 3 e fino a 6 mesi,5540,149764,115049,655455,51295112
2016,65 ed oltre,Tempo determinato,Oltre 6 e meno di 12 mesi,5773,249190,186997,1304715,103568115
2016,65 ed oltre,Tempo determinato,Anno intero,2350,122200,95512,728906,100183142
2016,65 ed oltre,Tempo indeterminato,Fino a 3 mesi,15151,209896,155183,555751,39608127
2016,65 ed oltre,Tempo indeterminato,Oltre 3 e fino a 6 mesi,11149,354202,247409,1342601,101610381
2016,65 ed oltre,Tempo indeterminato,Oltre 6 e meno di 12 mesi,25539,1183445,830849,6100190,418758026
2016,65 ed oltre,Tempo indeterminato,Anno intero,50756,2639289,2050071,15797246,1426660434
2016,Fino a 19,Stagionale,Fino a 3 mesi,19754,179063,123748,761946,36594388
2016,Fino a 19,Stagionale,Oltre 3 e fino a 6 mesi,2909,61569,47765,290589,15479120
2016,Fino a 19,Stagionale,Oltre 6 e meno di 12 mesi,706,28490,25973,145626,9568840
2016,Fino a 19,Stagionale,Anno intero,38,1976,1745,11735,836830
2016,Fino a 19,Tempo determinato,Fino a 3 mesi,60026,450620,304895,1709692,81503508
2016,Fino a 19,Tempo determinato,Oltre 3 e fino a 6 mesi,11241,266110,196525,1232616,63905425
2016,Fino a 19,Tempo determinato,Oltre 6 e meno di 12 mesi,4492,187140,141842,960154,50282313
2016,Fino a 19,Tempo determinato,Anno intero,772,40144,33829,238879,19955849
2016,Fino a 19,Tempo indeterminato,Fino a 3 mesi,24801,244243,174102,981723,41124853
2016,Fino a 19,Tempo indeterminato,Oltre 3 e fino a 6 mesi,13490,325880,242599,1543564,66693763
2016,Fino a 19,Tempo indeterminato,Oltre 6 e meno di 12 mesi,12566,546467,411695,2845864,122820291
2016,Fino a 19,Tempo indeterminato,Anno intero,8483,441116,371083,2632145,121391723
2017,20  - 24,Stagionale,Fino a 3 mesi,37196,372424,269290,1441782,74308824
2017,20  - 24,Stagionale,Oltre 3 e fino a 6 mesi,22993,545435,437934,2521906,141063948
2017,20  - 24,Stagionale,Oltre 6 e meno di 12 mesi,12776,512182,451108,2612152,171222827
2017,20  - 24,Stagionale,Anno intero,529,27508,25228,163517,13727773
2017,20  - 24,Tempo determinato,Fino a 3 mesi,247690,2296281,1616861,7785964,380155016
2017,20  - 24,Tempo determinato,Oltre 3 e fino a 6 mesi,114784,3029051,2219414,13225348,681882461
2017,20  - 24,Tempo determinato,Oltre 6 e meno di 12 mesi,137573,6030982,4799329,31109868,1773986933
2017,20  - 24,Tempo determinato,Anno intero,45339,2357620,2017409,14037613,890668923
2017,20  - 24,Tempo indeterminato,Fino a 3 mesi,71785,819384,590229,2927090,136079085
2017,20  - 24,Tempo indeterminato,Oltre 3 e fino a 6 mesi,62172,1679974,1208447,7343450,340987698
2017,20  - 24,Tempo indeterminato,Oltre 6 e meno di 12 mesi,157464,7202390,5625572,37454821,1884412498
2017,20  - 24,Tempo indeterminato,Anno intero,237109,12329658,10848559,73669513,4352829812
2017,25  - 29,Stagionale,Fino a 3 mesi,20889,208937,155455,796111,44853953
2017,25  - 29,Stagionale,Oltre 3 e fino a 6 mesi,20104,490271,403690,2297207,138547883
2017,25  - 29,Stagionale,Oltre 6 e meno di 12 mesi,16503,660349,591048,3389480,237225721
2017,25  - 29,Stagionale,Anno intero,640,33280,29594,197897,14923026
2017,25  - 29,Tempo determinato,Fino a 3 mesi,189541,1747991,1225741,6473662,348888125
2017,25  - 29,Tempo determinato,Oltre 3 e fino a 6 mesi,119262,3082492,2316373,14099741,810043431
2017,25  - 29,Tempo determinato,Oltre 6 e meno di 12 mesi,189814,8314209,6830104,43487526,2685288067
2017,25  - 29,Tempo determinato,Anno intero,79156,4116105,3649806,24520081,1676572889
2017,25  - 29,Tempo indeterminato,Fino a 3 mesi,77763,892829,637802,3176482,180229615
2017,25  - 29,Tempo indeterminato,Oltre 3 e fino a 6 mesi,76024,2101418,1528042,9096143,490632262
2017,25  - 29,Tempo indeterminato,Oltre 6 e meno di 12 mesi,257555,12072688,9675838,62683545,3627012840
2017,25  - 29,Tempo indeterminato,Anno intero,622145,32351526,29351707,193449188,13770951526
2017,30  - 34,Stagionale,Fino a 3 mesi,13667,137556,104314,526736,31126367
2017,30  - 34,Stagionale,Oltre 3 e fino a 6 mesi,15946,392519,329713,1855117,118889449
2017,30  - 34,Stagionale,Oltre 6 e meno di 12 mesi,14912,595113,536697,3053220,226208494
2017,30  - 34,Stagionale,Anno intero,522,27144,23781,161222,12275129
2017,30  - 34,Tempo determinato,Fino a 3 mesi,138858,1281997,917529,4929982,279091447
2017,30  - 34,Tempo determinato,Oltre 3 e fino a 6 mesi,99053,2553629,1960834,11844466,708846185
2017,30  - 34,Tempo determinato,Oltre 6 e meno di 12 mesi,171341,7485080,6280377,39399531,2525205787
2017,30  - 34,Tempo determinato,Anno intero,69882,3633852,3242332,21647116,1527549199
2017,30  - 34,Tempo indeterminato,Fino a 3 mesi,67683,845350,596426,2718354,179251488
2017,30  - 34,Tempo indeterminato,Oltre 3 e fino a 6 mesi,72227,2106499,1533002,8705131,522387784
2017,30  - 34,Tempo indeterminato,Oltre 6 e meno di 12 mesi,291739,13915075,11358840,71884709,4609102758
2017,30  - 34,Tempo indeterminato,Anno intero,860288,44734958,41224081,267537029,22096631507
2017,35  - 39,Stagionale,Fino a 3 mesi,11681,116947,89252,449625,27233675
2017,35  - 39,Stagionale,Oltre 3 e fino a 6 mesi,14981,369561,311864,1750547,113809921
2017,35  - 39,Stagionale,Oltre 6 e meno di 12 mesi,14160,559210,507106,2875876,217452346
2017,35  - 39,Stagionale,Anno intero,389,20228,18064,120135,8598958
2017,35  - 39,Tempo determinato,Fino a 3 mesi,120299,1103145,802970,4284496,247874372
2017,35  - 39,Tempo determinato,Oltre 3 e fino a 6 mesi,87880,2267483,1782189,10582026,646219421
2017,35  - 39,Tempo determinato,Oltre 6 e meno di 12 mesi,158535,6882489,5882030,36375966,2394727500
2017,35  - 39,Tempo determinato,Anno intero,58371,3035278,2694177,18083394,1313759593
2017,35  - 39,Tempo indeterminato,Fino a 3 mesi,62689,777541,556542,2534969,178003656
2017,35  - 39,Tempo indeterminato,Oltre 3 e fino a 6 mesi,68765,2025316,1482095,8319930,539099340
2017,35  - 39,Tempo indeterminato,Oltre 6 e meno di 12 mesi,322572,15554720,12906641,80566743,5618408487
2017,35  - 39,Tempo indeterminato,Anno intero,1048112,54501799,50200344,325913138,29754024229
2017,40  - 44,Stagionale,Fino a 3 mesi,12025,121260,92028,466124,28198819
2017,40  - 44,Stagionale,Oltre 3 e fino a 6 mesi,16045,397137,335878,1888127,123870251
2017,40  - 44,Stagionale,Oltre 6 e meno di 12 mesi,15201,597402,541976,3072215,234417091
2017,40  - 44,Stagionale,Anno intero,354,18408,16220,109349,8462895
2017,40  - 44,Tempo determinato,Fino a 3 mesi,115992,1057106,776609,4086697,237979889
2017,40  - 44,Tempo determinato,Oltre 3 e fino a 6 mesi,83530,2157981,1704216,10036178,617051502
2017,40  - 44,Tempo determinato,Oltre 6 e meno di 12 mesi,150043,6529166,5589363,34437757,2285676826
2017,40  - 44,Tempo determinato,Anno intero,56218,2923331,2582781,17418251,1264599996
2017,40  - 44,Tempo indeterminato,Fino a 3 mesi,54812,639518,460080,2238053,163012538
2017,40  - 44,Tempo indeterminato,Oltre 3 e fino a 6 mesi,59361,1745624,1261615,7231529,497206485
2017,40  - 44,Tempo indeterminato,Oltre 6 e meno di 12 mesi,343228,16760178,13999934,87082856,6425066059
2017,40  - 44,Tempo indeterminato,Anno intero,1315745,68418700,62904013,409221113,40381983400
2017,45  - 49,Stagionale,Fino a 3 mesi,11561,119112,91338,458861,28245263
2017,45  - 49,Stagionale,Oltre 3 e fino a 6 mesi,16016,396500,334715,1887017,124078801
2017,45  - 49,Stagionale,Oltre 6 e meno di 12 mesi,14938,586428,532246,3015690,232364024
2017,45  - 49,Stagionale,Anno intero,348,18096,15547,107554,8064877
2017,45  - 49,Tempo determinato,Fino a 3 mesi,103651,942032,697067,3622633,211889869
2017,45  - 49,Tempo determinato,Oltre 3 e fino a 6 mesi,72497,1874105,1483748,8676011,538231532
2017,45  - 49,Tempo determinato,Oltre 6 e meno di 12 mesi,127067,5532519,4729605,29097101,1944539510
2017,45  - 49,Tempo determinato,Anno intero,47553,2472751,2172429,14736792,1075858728
2017,45  - 49,Tempo indeterminato,Fino a 3 mesi,46234,527434,381710,1894751,144133236
2017,45  - 49,Tempo indeterminato,Oltre 3 e fino a 6 mesi,49722,1467442,1049642,6069840,432716004
2017,45  - 49,Tempo indeterminato,Oltre 6 e meno di 12 mesi,322746,15852412,13292507,82439045,6335089665
2017,45  - 49,Tempo indeterminato,Anno intero,1347254,70057141,64405886,419139208,44518085043
2017,50  - 54,Stagionale,Fino a 3 mesi,9882,101873,78334,391391,24231007
2017,50  - 54,Stagionale,Oltre 3 e fino a 6 mesi,13857,342583,290762,1634971,109041780
2017,50  - 54,Stagionale,Oltre 6 e meno di 12 mesi,12916,503312,456832,2589983,201203426
2017,50  - 54,Stagionale,Anno intero,251,13052,11474,77591,6183162
2017,50  - 54,Tempo determinato,Fino a 3 mesi,85355,771305,582280,2950303,177353675
2017,50  - 54,Tempo determinato,Oltre 3 e fino a 6 mesi,58099,1508081,1203255,6957434,439746885
2017,50  - 54,Tempo determinato,Oltre 6 e meno di 12 mesi,98285,4263046,3653997,22415211,1517633469
2017,50  - 54,Tempo determinato,Anno intero,36003,1872143,1639282,11159626,836404742
2017,50  - 54,Tempo indeterminato,Fino a 3 mesi,40144,465516,339447,1625842,128695312
2017,50  - 54,Tempo indeterminato,Oltre 3 e fino a 6 mesi,42607,1276009,921629,5204435,384933234
2017,50  - 54,Tempo indeterminato,Oltre 6 e meno di 12 mesi,292738,14415074,12187131,75009604,5930061814
2017,50  - 54,Tempo indeterminato,Anno intero,1227783,63844685,58987294,382010868,42361840090
2017,55  - 59,Stagionale,Fino a 3 mesi,6976,72808,56279,282003,17920545
2017,55  - 59,Stagionale,Oltre 3 e fino a 6 mesi,9846,242238,205469,1159365,77684210
2017,55  - 59,Stagionale,Oltre 6 e meno di 12 mesi,8619,332937,303452,1713414,134183969
2017,55  - 59,Stagionale,Anno intero,156,8112,7170,48189,3766592
2017,55  - 59,Tempo determinato,Fino a 3 mesi,56030,509768,397123,1921729,119856301
2017,55  - 59,Tempo determinato,Oltre 3 e fino a 6 mesi,37280,971356,793446,4461034,298027946
2017,55  - 59,Tempo determinato,Oltre 6 e meno di 12 mesi,58878,2542697,2190959,13354936,942423447
2017,55  - 59,Tempo determinato,Anno intero,21033,1093704,956526,6521289,526080899
2017,55  - 59,Tempo indeterminato,Fino a 3 mesi,35925,414769,324484,1483544,132242397
2017,55  - 59,Tempo indeterminato,Oltre 3 e fino a 6 mesi,37917,1106293,850757,4686965,387591247
2017,55  - 59,Tempo indeterminato,Oltre 6 e meno di 12 mesi,221643,10790474,9290198,56441922,4725580207
2017,55  - 59,Tempo indeterminato,Anno intero,883085,45920383,42771789,274802581,32175794907
2017,60  - 64,Stagionale,Fino a 3 mesi,4023,42722,32373,159052,9902488
2017,60  - 64,Stagionale,Oltre 3 e fino a 6 mesi,5688,139482,117689,671735,45732792
2017,60  - 64,Stagionale,Oltre 6 e meno di 12 mesi,4448,168922,150931,871441,68356336
2017,60  - 64,Stagionale,Anno intero,60,3120,2740,18539,1393397
2017,60  - 64,Tempo determinato,Fino a 3 mesi,32488,301491,239938,1075322,71423606
2017,60  - 64,Tempo determinato,Oltre 3 e fino a 6 mesi,19121,505758,415130,2272514,164699521
2017,60  - 64,Tempo determinato,Oltre 6 e meno di 12 mesi,25981,1119589,946403,5862089,455158987
2017,60  - 64,Tempo determinato,Anno intero,10001,520052,444238,3103621,320161599
2017,60  - 64,Tempo indeterminato,Fino a 3 mesi,32212,373018,307243,1382520,152862391
2017,60  - 64,Tempo indeterminato,Oltre 3 e fino a 6 mesi,31296,878363,713579,3884425,385600978
2017,60  - 64,Tempo indeterminato,Oltre 6 e meno di 12 mesi,114578,5420735,4622014,28493160,2510297726
2017,60  - 64,Tempo indeterminato,Anno intero,367161,19092348,17550594,114274276,13821615123
2017,65 ed oltre,Stagionale,Fino a 3 mesi,3247,32584,20527,104719,5665792
2017,65 ed oltre,Stagionale,Oltre 3 e fino a 6 mesi,2277,55060,39328,260423,15811136
2017,65 ed oltre,Stagionale,Oltre 6 e meno di 12 mesi,1202,45361,36178,234781,16918426
2017,65 ed oltre,Stagionale,Anno intero,20,1040,743,6179,873754
2017,65 ed oltre,Tempo determinato,Fino a 3 mesi,20275,180970,140818,548558,36558195
2017,65 ed oltre,Tempo determinato,Oltre 3 e fino a 6 mesi,7322,202171,153268,864081,62022351
2017,65 ed oltre,Tempo determinato,Oltre 6 e meno di 12 mesi,7661,330847,244101,1719349,128420618
2017,65 ed oltre,Tempo determinato,Anno intero,3489,181420,138466,1083776,128055419
2017,65 ed oltre,Tempo indeterminato,Fino a 3 mesi,19159,250445,189977,750038,66297602
2017,65 ed oltre,Tempo indeterminato,Oltre 3 e fino a 6 mesi,14865,448069,317523,1810848,147863473
2017,65 ed oltre,Tempo indeterminato,Oltre 6 e meno di 12 mesi,28398,1303036,934835,6772409,485878102
2017,65 ed oltre,Tempo indeterminato,Anno intero,60306,3135887,2466980,18771229,1758419569
2017,Fino a 19,Stagionale,Fino a 3 mesi,26783,248277,168519,997085,46071455
2017,Fino a 19,Stagionale,Oltre 3 e fino a 6 mesi,4333,94960,72125,434038,22061385
2017,Fino a 19,Stagionale,Oltre 6 e meno di 12 mesi,958,38607,33697,195910,11819738
2017,Fino a 19,Stagionale,Anno intero,32,1664,1589,9925,675335
2017,Fino a 19,Tempo determinato,Fino a 3 mesi,93108,770868,535202,2662789,120653686
2017,Fino a 19,Tempo determinato,Oltre 3 e fino a 6 mesi,19096,469587,344068,2096821,103025386
2017,Fino a 19,Tempo determinato,Oltre 6 e meno di 12 mesi,7770,324938,240669,1665602,83248375
2017,Fino a 19,Tempo determinato,Anno intero,1256,65312,53147,388739,28271839
2017,Fino a 19,Tempo indeterminato,Fino a 3 mesi,25986,271929,200531,1034258,42630748
2017,Fino a 19,Tempo indeterminato,Oltre 3 e fino a 6 mesi,15348,380868,291352,1761663,75035550
2017,Fino a 19,Tempo indeterminato,Oltre 6 e meno di 12 mesi,13868,603743,461834,3138453,132157310
2017,Fino a 19,Tempo indeterminato,Anno intero,8126,422547,359595,2520901,114657453
2018,20  - 24,Stagionale,Fino a 3 mesi,39438,386620,280597,1496277,77932205
2018,20  - 24,Stagionale,Oltre 3 e fino a 6 mesi,24619,587951,469252,2715800,152836923
2018,20  - 24,Stagionale,Oltre 6 e meno di 12 mesi,14573,593610,522730,3009863,198503655
2018,20  - 24,Stagionale,Anno intero,577,30004,26595,177949,14398561
2018,20  - 24,Tempo determinato,Fino a 3 mesi,256141,2424150,1715961,8096233,392820417
2018,20  - 24,Tempo determinato,Oltre 3 e fino a 6 mesi,120900,3245602,2376045,13948868,710676714
2018,20  - 24,Tempo determinato,Oltre 6 e meno di 12 mesi,145505,6394010,5043044,32901320,1846558214
2018,20  - 24,Tempo determinato,Anno intero,50306,2615891,2242866,15568960,987461198
2018,20  - 24,Tempo indeterminato,Fino a 3 mesi,72039,824845,590092,2966869,139160061
2018,20  - 24,Tempo indeterminato,Oltre 3 e fino a 6 mesi,65758,1777659,1287577,7771439,366964620
2018,20  - 24,Tempo indeterminato,Oltre 6 e meno di 12 mesi,174102,8000566,6297140,41737398,2150019302
2018,20  - 24,Tempo indeterminato,Anno intero,250996,13051774,11610532,77946001,4743167940
2018,25  - 29,Stagionale,Fino a 3 mesi,21427,207477,153696,789887,44772580
2018,25  - 29,Stagionale,Oltre 3 e fino a 6 mesi,20367,498048,409015,2336246,142687906
2018,25  - 29,Stagionale,Oltre 6 e meno di 12 mesi,18325,743728,662097,3798815,267306194
2018,25  - 29,Stagionale,Anno intero,651,33852,29949,201094,15367775
2018,25  - 29,Tempo determinato,Fino a 3 mesi,188888,1755780,1234229,6481895,350544907
2018,25  - 29,Tempo determinato,Oltre 3 e fino a 6 mesi,121188,3144562,2343278,14298858,817760343
2018,25  - 29,Tempo determinato,Oltre 6 e meno di 12 mesi,197246,8655754,7083052,45298277,2797925984
2018,25  - 29,Tempo determinato,Anno intero,85834,4463360,3959869,26580788,1816987647
2018,25  - 29,Tempo indeterminato,Fino a 3 mesi,75574,857844,610822,3115919,177508119
2018,25  - 29,Tempo indeterminato,Oltre 3 e fino a 6 mesi,75917,2079720,1520926,9099490,499648169
2018,25  - 29,Tempo indeterminato,Oltre 6 e meno di 12 mesi,269199,12610862,10178768,65848849,3902679504
2018,25  - 29,Tempo indeterminato,Anno intero,624498,32473870,29655848,194110048,14151762165
2018,30  - 34,Stagionale,Fino a 3 mesi,14005,135983,101837,519569,30845485
2018,30  - 34,Stagionale,Oltre 3 e fino a 6 mesi,16497,406752,338624,1916726,123879313
2018,30  - 34,Stagionale,Oltre 6 e meno di 12 mesi,16395,663372,594038,3391776,251368731
2018,30  - 34,Stagionale,Anno intero,559,29068,25784,172732,12903595
2018,30  - 34,Tempo determinato,Fino a 3 mesi,140811,1316737,938919,5054054,286025392
2018,30  - 34,Tempo determinato,Oltre 3 e fino a 6 mesi,100140,2581834,1954688,11931258,708290278
2018,30  - 34,Tempo determinato,Oltre 6 e meno di 12 mesi,180448,7904690,6591556,41584505,2671436169
2018,30  - 34,Tempo determinato,Anno intero,77963,4054069,3607715,24143900,1681950531
