anno,classe_di_eta,sesso,periodo_retribuito_dal_datore_di_lavoro,numero_lavoratori_con_almeno_una_giornata_retribuita_nell_anno,numero_settimane_retribuite_nell_anno,numero_settimane_utili_nell_anno,numero_giornate_retribuite_nell_anno,somma_retribuzioni_nell_anno
2015,35  - 39,Femmine,Anno intero,443190,23045765,19814642,137765027,10529138045
2015,35  - 39,Maschi,Fino a 3 mesi,114684,1030412,840175,4081293,279532871
2015,35  - 39,Maschi,Oltre 3 e fino a 6 mesi,91463,2411600,2041173,10945259,769545720
2015,35  - 39,Maschi,Oltre 6 e meno di 12 mesi,272343,12802317,11635664,66576416,5042097669
2015,35  - 39,Maschi,Anno intero,653742,33994346,32891418,203217006,20512311979
2015,40  - 44,Femmine,Fino a 3 mesi,93691,916481,615999,3387786,191372733
2015,40  - 44,Femmine,Oltre 3 e fino a 6 mesi,84958,2304408,1668260,10327735,601895061
2015,40  - 44,Femmine,Oltre 6 e meno di 12 mesi,244424,11351996,8751904,59476079,3731833053
2015,40  - 44,Femmine,Anno intero,550877,28645464,24322906,171292866,13919946523
2015,40  - 44,Maschi,Fino a 3 mesi,109737,984231,816567,3879758,280009662
2015,40  - 44,Maschi,Oltre 3 e fino a 6 mesi,87656,2324473,1996320,10515297,777762169
2015,40  - 44,Maschi,Oltre 6 e meno di 12 mesi,283453,13422933,12367797,69866802,5603805682
2015,40  - 44,Maschi,Anno intero,772654,40177778,39102486,240219194,27136397608
2015,45  - 49,Femmine,Fino a 3 mesi,75303,726167,485376,2713663,151161966
2015,45  - 49,Femmine,Oltre 3 e fino a 6 mesi,67683,1839281,1311544,8210449,472402983
2015,45  - 49,Femmine,Oltre 6 e meno di 12 mesi,205115,9581122,7231686,50123185,3064351366
2015,45  - 49,Femmine,Anno intero,533853,27760235,23431983,166058068,13888569394
2015,45  - 49,Maschi,Fino a 3 mesi,97778,879018,740645,3442696,258473456
2015,45  - 49,Maschi,Oltre 3 e fino a 6 mesi,77587,2066403,1796761,9301272,715927839
2015,45  - 49,Maschi,Oltre 6 e meno di 12 mesi,262362,12486633,11602500,64911261,5394466385
2015,45  - 49,Maschi,Anno intero,756004,39311951,38358659,235063254,28661672204
2015,50  - 54,Femmine,Fino a 3 mesi,56130,549421,371429,2004866,113247199
2015,50  - 54,Femmine,Oltre 3 e fino a 6 mesi,50142,1381121,980755,6078875,352776383
2015,50  - 54,Femmine,Oltre 6 e meno di 12 mesi,162974,7654197,5798480,40045304,2454557424
2015,50  - 54,Femmine,Anno intero,438541,22804031,19412585,136428108,11677400209
2015,50  - 54,Maschi,Fino a 3 mesi,81437,737212,630012,2845030,223959406
2015,50  - 54,Maschi,Oltre 3 e fino a 6 mesi,63198,1694378,1492029,7571858,611221426
2015,50  - 54,Maschi,Oltre 6 e meno di 12 mesi,219685,10492088,9805236,54568976,4733736702
2015,50  - 54,Maschi,Anno intero,678801,35297425,34508939,211095084,27252472848
2015,55  - 59,Femmine,Fino a 3 mesi,36701,375011,270181,1361084,89286714
2015,55  - 59,Femmine,Oltre 3 e fino a 6 mesi,33734,924306,680007,4106065,262023444
2015,55  - 59,Femmine,Oltre 6 e meno di 12 mesi,104565,4892834,3777537,25730291,1679962059
2015,55  - 59,Femmine,Anno intero,272484,14169117,12250899,84781619,7632886814
2015,55  - 59,Maschi,Fino a 3 mesi,62941,582320,510266,2253374,195736862
2015,55  - 59,Maschi,Oltre 3 e fino a 6 mesi,50731,1351828,1212127,6119336,536943414
2015,55  - 59,Maschi,Oltre 6 e meno di 12 mesi,160195,7583919,7119398,39607049,3632715857
