cod_rip,desc_rip,cod_naz,desc_naz,ele_t,sz_tot,sz_perv,vot_t,perc_vot,sk_bianche,sk_nulle,sk_contestate,voti_si,voti_no,perc_si,perc_no,dt_agg,stato
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",360,GABON,139,1,1,33,23.74,1,0,0,17,15,53.13,46.88,20260323194415,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",361,GAMBIA,0,1,1,0,0,0,0,0,0,0,0,0,20260323210937,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",362,GHANA,493,1,1,194,39.35,1,16,0,114,63,64.41,35.59,20260323223052,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",363,GUINEA,0,1,1,0,0,0,0,0,0,0,0,0,20260323211052,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",364,KENYA,1421,1,1,319,22.45,2,15,0,114,188,37.75,62.25,20260323200630,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",366,LIBIA,164,2,0,0,0,0,0,0,0,0,0,0,,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",367,MADAGASCAR,379,1,1,116,30.61,1,4,0,63,48,56.76,43.24,20260323194711,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",368,MALAWI,83,1,1,43,51.81,1,3,0,19,20,48.72,51.28,20260323194612,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",369,MALI,0,1,1,0,0,0,0,0,0,0,0,0,20260323200054,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",370,MAROCCO,4226,3,3,1245,29.46,17,122,0,525,581,47.47,52.53,20260323221414,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",371,MAURITANIA,0,1,1,0,0,0,0,0,0,0,0,0,20260323211057,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",372,NIGER,68,1,0,0,0,0,0,0,0,0,0,0,,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",373,NIGERIA,605,2,2,236,39.01,1,8,0,149,78,65.64,34.36,20260323200003,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",374,EGITTO,4738,2,2,1111,23.45,7,121,0,522,461,53.1,46.9,20260323194008,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",376,ZIMBABWE,1,1,1,0,0,0,0,0,0,0,0,0,20260323173148,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",377,RUANDA,93,1,1,61,65.59,1,4,0,21,35,37.5,62.5,20260323213527,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",378,SENEGAL,1349,2,2,473,35.06,7,148,0,84,234,26.42,73.58,20260323223410,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",380,SOMALIA,84,1,1,67,79.76,0,1,0,41,25,62.12,37.88,20260323221306,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",381,SUD AFRICA,27588,11,11,8848,32.07,101,1627,0,5484,1636,77.02,22.98,20260323223126,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",382,SUDAN,1,1,1,0,0,0,0,0,0,0,0,0,20260323172646,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",383,TANZANIA,473,1,1,302,63.85,8,24,0,81,189,30,70,20260323184952,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",384,TOGO,68,1,1,64,94.12,4,12,0,16,32,33.33,66.67,20260323190431,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",385,TUNISIA,6158,2,2,1846,29.98,3,97,0,926,820,53.04,46.96,20260323211122,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",386,UGANDA,224,1,1,132,58.93,0,5,0,30,97,23.62,76.38,20260323205740,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",387,ZAMBIA,373,1,0,0,0,0,0,0,0,0,0,0,,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",388,NAMIBIA,193,1,1,66,34.2,0,0,0,31,35,46.97,53.03,20260323221455,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",389,BOTSWANA,63,1,1,21,33.33,0,2,0,12,7,63.16,36.84,20260323213146,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",390,MAURITIUS,610,1,1,212,34.75,2,16,0,128,66,65.98,34.02,20260323185107,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",391,GUINEA EQUATORIALE,0,1,1,0,0,0,0,0,0,0,0,0,20260323210828,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",392,MOZAMBICO,535,1,1,319,59.63,0,21,0,91,207,30.54,69.46,20260323194101,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",393,ANGOLA,183,1,1,99,54.1,0,9,0,35,55,38.89,61.11,20260323205501,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",394,COMORE,4,1,1,0,0,0,0,0,0,0,0,0,20260323163943,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",395,GIBUTI,201,1,1,160,79.6,0,4,0,122,34,78.21,21.79,20260323221624,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",396,SEYCHELLES,257,1,1,23,8.95,1,1,0,11,10,52.38,47.62,20260323200049,ok
04,"AFRICA, ASIA, OCEANIA E ANTARTIDE",397,CAPO VERDE,386,1,1,85,22.02,0,17,0,35,33,51.47,48.53,20260323223029,ok
