"giorno","n"
"lunedì",22.5943797899517
"martedì",13.7950610275334
"mercoledì",10.3037184217996
"giovedì",10.8430315072381
"venerdì",28.6119784274766
"sabato",7.29491910303718
"domenica",6.55691172296338
