"anno","abruzzo","basilicata","calabria","campania","emilia romagna","friuli venezia giulia","lazio","liguria","lombardia","marche","molise","piemonte","puglia","sardegna","sicilia","toscana","trentino alto adige","umbria","valle d aosta","veneto"
2017,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2018,100.73993207181,93.7306843267108,102.858527131783,102.320136228182,104.648648648649,102.891156462585,99.6025923208609,99.0318494390156,103.799019607843,98.1332508250825,108.561435523114,101.496259351621,102.716894977169,103.856893542757,101.05421686747,104.992283950617,102.39837398374,95.5725699067909,104.447898164594,104.626436781609
2019,102.741387675886,99.4370860927152,106.766795865633,106.768837803321,113.171171171171,106.632653061224,99.468085106383,99.4299674267101,113.085511982571,100.515676567657,107.390510948905,103.09642560266,103.84703196347,109.808027923211,103.953313253012,111.188271604938,106.243902439024,94.3519751442521,109.983718176436,111.685823754789
2020,102.394468704512,101.950331125828,103.391472868217,115.092592592593,125.707207207207,111.683673469388,104.465028124236,99.4598262757872,127.007761437908,103.045585808581,108.310523114355,106.479634247714,105.755707762557,123.802792321117,106.880020080321,121.016975308642,111.252032520325,95.9997780736795,111.082741267022,119.387931034483
2021,103.448568655992,98.575055187638,102.96511627907,120.243720732226,124.428828828829,114.337797619048,103.805942773294,96.6530944625407,128.827614379085,101.922442244224,106.955596107056,108.114089775561,106.283105022831,114.63612565445,107.722138554217,120.56712962963,114.247967479675,97.9283177984909,98.9853463587922,118.070881226054
2022,109.98665696264,100.979028697572,107.761627906977,123.673903788846,129.532432432432,119.762967687075,104.175837613108,101.022439377488,134.264705882353,106.380981848185,113.780413625304,107.00540315877,111.33105022831,134.91797556719,112.581576305221,125.89737654321,121.035772357724,100.320683533067,116.064979277679,121.463601532567
2023,116.471373119845,105.871964679912,116.946059431525,125.968497232865,141.087387387387,126.193664965986,105.171191000245,111.09482446616,146.412037037037,114.957714521452,131.427919708029,113.188902743142,118.124429223744,144.967713787086,117.661897590361,134.690586419753,126.59837398374,104.934531735464,144.493043220841,130.598659003831
2024,122.729257641921,112.112582781457,135.794573643411,137.5,151.918918918919,135.395408163265,111.217290291025,124.770177343467,161.989379084967,120.255775577558,143.605535279805,125.121571072319,125.608447488584,155.89092495637,123.819026104418,150.172067901235,135.147967479675,112.001775410564,187.240970988751,142.483716475096
2025,128.381368267831,108.717880794702,153.744186046512,145.261813537676,158.20972972973,142.97193877551,119.474688187821,130.13680781759,166.797385620915,124.675742574257,142.518248175182,133.645885286783,128.684931506849,154.621989528796,128.55421686747,156.77037037037,139.791219512195,115.595206391478,176.039076376554,150.687356321839
