"","obsTime","PURCHASES_DWELLINGS","Centro","Nord-Est","Nord-Ovest","Sud e Isole"
"1","2010","EXST_DW",100,100,100,100
"2","2010","NEW_DW",100,100,100,100
"3","2011","EXST_DW",102.486812358704,100.635930047695,98.2142857142857,101.21107266436
"4","2011","NEW_DW",103.210576015109,102.859960552268,102.879841112214,104.126984126984
"5","2012","EXST_DW",97.8146194423512,96.0254372019078,93.8664596273292,96.1937716262976
"6","2012","NEW_DW",104.721435316336,104.339250493097,105.660377358491,107.724867724868
"7","2013","EXST_DW",87.3398643556895,88.5532591414945,85.7142857142857,90.2249134948097
"8","2013","NEW_DW",102.455146364495,102.465483234714,104.468718967229,107.089947089947
"9","2014","EXST_DW",79.7287113790505,83.2273449920509,81.3664596273292,89.1868512110727
"10","2014","NEW_DW",96.2228517469311,100.591715976331,102.383316782522,106.031746031746
"11","2015","EXST_DW",75.3579502637528,79.4912559618442,77.639751552795,86.5051903114187
"12","2015","NEW_DW",94.4287063267233,98.6193293885601,99.304865938431,105.820105820106
"13","2016","EXST_DW",75.5086661642803,78.6168521462639,77.9503105590062,87.0242214532872
"14","2016","NEW_DW",96.5061378659112,98.3234714003945,99.1062562065541,107.936507936508
"15","2017","EXST_DW",74.3782969103241,77.5039745627981,77.4844720496894,85.8131487889273
"16","2017","NEW_DW",94.1454202077431,98.0276134122288,97.8152929493545,110.26455026455
"17","2018","EXST_DW",72.9464958553127,77.5039745627981,77.0186335403727,84.5155709342561
"18","2018","NEW_DW",93.1067044381492,100.394477317554,99.304865938431,111.428571428571
"19","2019","EXST_DW",71.4393368500377,77.8219395866455,77.639751552795,83.3910034602076
"20","2019","NEW_DW",92.162417374882,102.465483234714,100.794438927507,113.544973544974
"21","2020","EXST_DW",71.6654107008289,79.7297297297297,79.9689440993789,84.4290657439446
"22","2020","NEW_DW",91.2181303116147,104.339250493097,104.270109235353,116.719576719577
"23","2021","EXST_DW",73.5493594574228,81.7965023847377,81.9099378881987,85.2941176470588
"24","2021","NEW_DW",97.0727101038716,109.270216962525,107.149950347567,119.68253968254
"25","2022","EXST_DW",75.7347400150716,85.214626391097,85.2484472049689,86.5916955017301
"26","2022","NEW_DW",100.944287063267,117.159763313609,113.207547169811,128.888888888889
"27","2023","EXST_DW",75.7347400150716,86.3275039745628,85.7142857142857,86.2456747404844
"28","2023","NEW_DW",101.888574126534,123.372781065089,122.740814299901,133.756613756614
"29","2024","EXST_DW",77.3926149208742,88.3942766295708,87.5776397515528,87.8892733564014
"30","2024","NEW_DW",106.515580736544,134.023668639053,132.969215491559,146.137566137566
