"COMUNE","PROVINCIA","VOTI_Altri","VOTI_CDX","VOTI_CSX/M5S","PCT_Altri","PCT_CDX","PCT_CSX/M5S","ELETTORI","VOTANTI","BIANCHE","VOTI_ESPRESSI","AFFLUENZA","VINCITORE","DIFF_VOTI","X","Y","COD_PROV","COD_REG"
"CAPRARICA DI LECCE","LECCE",16,482,796,1.24,37.25,61.51,2161,1383,56,1327,64,"CSX/M5S",314,18.246819,40.262761,75,16
"CAPURSO","BARI",221,1928,6160,2.66,23.2,74.14,13761,9174,601,8573,66.67,"CSX/M5S",4232,16.924295,41.041355,72,16
"CARAPELLE","FOGGIA",33,1195,1297,1.31,47.33,51.37,4697,2692,102,2590,57.31,"CSX/M5S",102,15.702869,41.362045,71,16
"CARLANTINO","FOGGIA",5,180,228,1.21,43.58,55.21,1326,458,33,425,34.54,"CSX/M5S",48,14.980381,41.611198,71,16
"CARMIANO","LECCE",105,3359,2569,1.74,55.68,42.58,10563,6397,214,6183,60.56,"CDX",790,18.036401,40.343327,75,16
"CAROSINO","TARANTO",153,927,1881,5.17,31.31,63.53,5692,3180,135,3045,55.87,"CSX/M5S",954,17.409214,40.471582,73,16
"CAROVIGNO","BRINDISI",396,2708,4226,5.4,36.94,57.65,15054,7823,248,7575,51.97,"CSX/M5S",1518,17.702113,40.708052,74,16
"CARPIGNANO SALENTINO","LECCE",41,853,1120,2.04,42.35,55.61,3620,2192,126,2066,60.55,"CSX/M5S",267,18.349043,40.209269,75,16
"CARPINO","FOGGIA",25,865,1072,1.27,44.09,54.64,4364,2069,51,2018,47.41,"CSX/M5S",207,15.870614,41.82549,71,16
"CASALNUOVO MONTEROTARO","FOGGIA",12,205,460,1.77,30.28,67.95,1623,730,38,692,44.98,"CSX/M5S",255,15.073734,41.627366,71,16
"CASALVECCHIO DI PUGLIA","FOGGIA",27,334,523,3.05,37.78,59.16,1906,1141,216,925,59.86,"CSX/M5S",189,15.129548,41.628067,71,16
"CASAMASSIMA","BARI",246,2412,5446,3.04,29.76,67.2,16950,8548,256,8292,50.43,"CSX/M5S",3034,16.924383,40.945378,72,16
"CASARANO","LECCE",249,5322,4843,2.39,51.1,46.5,18891,11739,923,10816,62.14,"CDX",479,18.174706,40.018702,75,16
"CASSANO DELLE MURGE","BARI",132,2616,3757,2.03,40.22,57.76,12607,6954,199,6755,55.16,"CSX/M5S",1141,16.749724,40.882347,72,16
"CASTELLANA GROTTE","BARI",188,4329,5682,1.84,42.45,55.71,18204,10763,311,10452,59.12,"CSX/M5S",1353,17.186778,40.868112,72,16
"CASTELLANETA","TARANTO",173,3439,4393,2.16,42.96,54.88,14568,8527,233,8294,58.53,"CSX/M5S",954,16.89591,40.583895,73,16
"CASTELLUCCIO DEI SAURI","FOGGIA",10,356,531,1.11,39.69,59.2,1792,973,54,919,54.3,"CSX/M5S",175,15.485137,41.304719,71,16
"CASTELLUCCIO VALMAGGIORE","FOGGIA",29,235,328,4.9,39.7,55.41,1704,649,43,606,38.09,"CSX/M5S",93,15.209423,41.35283,71,16
"CASTELNUOVO DELLA DAUNIA","FOGGIA",24,162,482,3.59,24.25,72.16,1661,729,34,695,43.89,"CSX/M5S",320,15.158121,41.595534,71,16
