"COMUNE","PROVINCIA","VOTI_Altri","VOTI_CDX","VOTI_CSX/M5S","PCT_Altri","PCT_CDX","PCT_CSX/M5S","ELETTORI","VOTANTI","BIANCHE","VOTI_ESPRESSI","AFFLUENZA","VINCITORE","DIFF_VOTI","X","Y","COD_PROV","COD_REG"
"TREVENZUOLO","VERONA",29,1230,157,2.05,86.86,11.09,2004,1462,22,1440,72.95,"CDX",1073,10.93239,45.265405,23,5
"TREVIGNANO","TREVISO",217,4526,755,3.95,82.32,13.73,9746,5638,88,5550,57.85,"CDX",3771,12.093251,45.734844,26,5
"TREVISO","TREVISO",2024,27799,10481,5.02,68.97,26,69350,41365,538,40827,59.65,"CDX",17318,12.227605,45.663645,26,5
"TRIBANO","PADOVA",110,1773,348,4.93,79.47,15.6,3597,2293,29,2264,63.75,"CDX",1425,11.838783,45.196467,28,5
"TRISSINO","VICENZA",170,4024,503,3.62,85.67,10.71,7612,4827,67,4760,63.41,"CDX",3521,11.348171,45.566547,24,5
"URBANA","PADOVA",77,1020,119,6.33,83.88,9.79,1776,1253,22,1231,70.55,"CDX",901,11.430374,45.199774,28,5
"VAL DI ZOLDO","BELLUNO",78,949,128,6.75,82.16,11.08,4029,1204,31,1173,29.88,"CDX",821,12.152023,46.352989,25,5
"VAL LIONA","VICENZA",73,1342,230,4.44,81.58,13.98,2554,1685,27,1658,65.97,"CDX",1112,11.468933,45.403721,24,5
"VALBRENTA","VICENZA",130,1950,482,5.07,76.11,18.81,6523,2672,51,2621,40.96,"CDX",1468,11.701894,45.87409,24,5
"VALDAGNO","VICENZA",454,10356,2738,3.35,76.44,20.21,22938,13871,168,13703,60.47,"CDX",7618,11.284443,45.646921,24,5
"VALDASTICO","VICENZA",15,562,89,2.25,84.38,13.36,1780,698,12,686,39.21,"CDX",473,11.35823,45.877874,24,5
"VALDOBBIADENE","TREVISO",125,4300,657,2.46,84.61,12.93,9418,5285,87,5198,56.12,"CDX",3643,12.016112,45.912845,26,5
"VALEGGIO SUL MINCIO","VERONA",159,5738,1135,2.26,81.6,16.14,11664,7213,104,7109,61.84,"CDX",4603,10.741718,45.353787,23,5
"VALLADA AGORDINA","BELLUNO",17,198,48,6.46,75.29,18.25,755,268,2,266,35.5,"CDX",150,11.934069,46.376246,25,5
"VALLE DI CADORE","BELLUNO",59,944,136,5.18,82.88,11.94,2159,1202,29,1173,55.67,"CDX",808,12.303832,46.403047,25,5
"VALLI DEL PASUBIO","VICENZA",67,1296,336,3.94,76.28,19.78,3418,1770,39,1731,51.78,"CDX",960,11.228816,45.75129,24,5
"VAZZOLA","TREVISO",124,2846,265,3.83,87.98,8.19,5729,3305,33,3272,57.69,"CDX",2581,12.383158,45.829167,26,5
"VEDELAGO","TREVISO",356,6909,1117,4.25,82.43,13.33,14339,8576,95,8481,59.81,"CDX",5792,12.022233,45.692167,26,5
"VEGGIANO","PADOVA",92,2001,301,3.84,83.58,12.57,3634,2447,26,2421,67.34,"CDX",1700,11.715597,45.435379,28,5
"VELO D'ASTICO","VICENZA",33,1042,189,2.61,82.44,14.95,2244,1297,15,1282,57.8,"CDX",853,11.359289,45.784257,24,5
"VELO VERONESE","VERONA",8,403,27,1.83,92.01,6.16,622,465,7,458,74.76,"CDX",376,11.106664,45.612116,23,5
"VENEZIA","VENEZIA",5955,82587,34788,4.83,66.96,28.21,205137,127981,2509,125472,62.39,"CDX",47799,12.346011,45.466952,27,5
"VERONA","VERONA",4794,82193,30805,4.07,69.78,26.15,202144,121391,1637,119754,60.05,"CDX",51388,11.002067,45.448627,23,5
"VERONELLA","VERONA",55,2032,268,2.34,86.28,11.38,4008,2424,25,2399,60.48,"CDX",1764,11.31785,45.31836,23,5
"VESCOVANA","PADOVA",28,719,140,3.16,81.06,15.78,1568,931,24,907,59.38,"CDX",579,11.725742,45.118836,28,5
"VESTENANOVA","VERONA",23,1223,106,1.7,90.46,7.84,2246,1388,13,1375,61.8,"CDX",1117,11.215721,45.583118,23,5
"VICENZA","VICENZA",2533,34163,14057,4.99,67.31,27.7,87752,52072,633,51439,59.34,"CDX",20106,11.553994,45.544834,24,5
"VIDOR","TREVISO",80,1701,253,3.93,83.63,12.44,3438,2092,34,2058,60.85,"CDX",1448,12.050761,45.870389,26,5
"VIGASIO","VERONA",111,4410,791,2.09,83.02,14.89,7835,5470,75,5395,69.81,"CDX",3619,10.938972,45.323645,23,5
"VIGO DI CADORE","BELLUNO",31,565,97,4.47,81.53,14,1386,713,9,704,51.44,"CDX",468,12.55496,46.494515,25,5
"VIGODARZERE","PADOVA",350,5394,1423,4.88,75.26,19.85,10598,7354,99,7255,69.39,"CDX",3971,11.873769,45.481998,28,5
"VIGONOVO","VENEZIA",263,3999,837,5.16,78.43,16.41,7707,5267,70,5197,68.34,"CDX",3162,12.010382,45.389887,27,5
"VIGONZA","PADOVA",421,9744,2263,3.39,78.4,18.21,18751,12797,160,12637,68.25,"CDX",7481,11.971086,45.448999,28,5
"VILLA BARTOLOMEA","VERONA",70,2109,537,2.58,77.65,19.77,4902,2819,58,2761,57.51,"CDX",1572,11.350435,45.117957,23,5
"VILLA DEL CONTE","PADOVA",133,2746,269,4.22,87.23,8.55,4704,3220,26,3194,68.45,"CDX",2477,11.858623,45.591584,28,5
"VILLA ESTENSE","PADOVA",44,892,168,3.99,80.8,15.22,2046,1141,23,1118,55.77,"CDX",724,11.675078,45.168614,28,5
