DATAFLOW,DATA_TYPE,FREQ,REFERENCE_PERIOD_CRIME,REF_AREA,TYPE_CRIME,Y_KNOWN_OFFENDER_IDEN,TIME_PERIOD,OBS_VALUE
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ATTACK,9,2018,275
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ATTACK,9,2019,204
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ATTACK,9,2020,243
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ATTACK,9,2021,210
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ATTACK,9,2022,197
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ATTACK,9,2023,179
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ATTACK,9,2024,236
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ATTEMPHOM,9,2006,1468
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ATTEMPHOM,9,2007,1588
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ATTEMPHOM,9,2008,1621
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ATTEMPHOM,9,2009,1346
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ATTEMPHOM,9,2010,1309
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ATTEMPHOM,9,2011,1401
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ATTEMPHOM,9,2012,1327
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ATTEMPHOM,9,2013,1222
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ATTEMPHOM,9,2014,1250
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ATTEMPHOM,9,2015,1203
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ATTEMPHOM,9,2016,1079
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ATTEMPHOM,9,2017,1098
