geo,anno,indice,paese
DE,2000,100,Germania
DE,2001,100.2336448598131,Germania
DE,2002,99.18224299065422,Germania
DE,2003,99.64953271028037,Germania
DE,2004,102.68691588785049,Germania
DE,2005,106.30841121495327,Germania
DE,2006,112.26635514018693,Germania
DE,2007,119.1588785046729,Germania
DE,2008,119.04205607476636,Germania
DE,2009,99.64953271028037,Germania
DE,2010,110.63084112149532,Germania
DE,2011,118.5747663551402,Germania
DE,2012,118.10747663551402,Germania
DE,2013,118.22429906542058,Germania
DE,2014,119.85981308411215,Germania
DE,2015,120.91121495327104,Germania
DE,2016,121.84579439252336,Germania
DE,2017,125.70093457943925,Germania
DE,2018,126.86915887850468,Germania
DE,2019,122.78037383177572,Germania
DE,2020,110.98130841121497,Germania
DE,2021,116.00467289719627,Germania
DE,2022,115.77102803738318,Germania
DE,2023,113.55140186915888,Germania
DE,2024,108.29439252336451,Germania
DE,2025,107.35981308411215,Germania
ES,2000,100,Spagna
ES,2001,98.43492586490939,Spagna
ES,2002,98.35255354200989,Spagna
ES,2003,99.75288303130148,Spagna
ES,2004,101.72981878088963,Spagna
ES,2005,102.22405271828666,Spagna
ES,2006,105.93080724876441,Spagna
ES,2007,108.23723228995057,Spagna
ES,2008,100.41186161449754,Spagna
ES,2009,84.18451400329488,Spagna
ES,2010,85.00823723228996,Spagna
ES,2011,83.36079077429983,Spagna
ES,2012,77.84184514003294,Spagna
ES,2013,76.27677100494233,Spagna
ES,2014,77.34761120263592,Spagna
ES,2015,79.98352553542009,Spagna
ES,2016,81.30148270181219,Spagna
ES,2017,83.69028006589785,Spagna
ES,2018,84.34925864909391,Spagna
ES,2019,84.67874794069192,Spagna
ES,2020,76.60626029654037,Spagna
ES,2021,82.37232289950576,Spagna
ES,2022,84.43163097199341,Spagna
ES,2023,83.0313014827018,Spagna
ES,2024,83.52553542009885,Spagna
ES,2025,84.5140032948929,Spagna
EU27_2020,2000,100,Unione europea
EU27_2020,2001,100.69930069930071,Unione europea
EU27_2020,2002,100.46620046620048,Unione europea
EU27_2020,2003,101.16550116550115,Unione europea
EU27_2020,2004,103.84615384615384,Unione europea
EU27_2020,2005,105.94405594405596,Unione europea
EU27_2020,2006,110.60606060606062,Unione europea
EU27_2020,2007,115.15151515151516,Unione europea
EU27_2020,2008,113.40326340326341,Unione europea
EU27_2020,2009,96.85314685314685,Unione europea
EU27_2020,2010,104.07925407925407,Unione europea
EU27_2020,2011,107.80885780885781,Unione europea
EU27_2020,2012,105.71095571095572,Unione europea
EU27_2020,2013,105.01165501165501,Unione europea
EU27_2020,2014,106.2937062937063,Unione europea
EU27_2020,2015,109.09090909090908,Unione europea
EU27_2020,2016,110.37296037296038,Unione europea
EU27_2020,2017,114.21911421911422,Unione europea
EU27_2020,2018,115.73426573426573,Unione europea
EU27_2020,2019,115.15151515151516,Unione europea
EU27_2020,2020,106.75990675990677,Unione europea
EU27_2020,2021,116.55011655011656,Unione europea
EU27_2020,2022,119.58041958041959,Unione europea
EU27_2020,2023,117.83216783216784,Unione europea
EU27_2020,2024,115.03496503496504,Unione europea
EU27_2020,2025,116.78321678321679,Unione europea
FR,2000,100,Francia
FR,2001,101.0810810810811,Francia
FR,2002,100,Francia
FR,2003,99.09909909909909,Francia
FR,2004,100.81081081081082,Francia
FR,2005,101.26126126126127,Francia
FR,2006,102.43243243243244,Francia
FR,2007,103.60360360360362,Francia
FR,2008,100.63063063063062,Francia
FR,2009,87.92792792792793,Francia
FR,2010,91.8018018018018,Francia
FR,2011,94.32432432432432,Francia
FR,2012,91.98198198198197,Francia
FR,2013,92.07207207207207,Francia
FR,2014,91.17117117117117,Francia
FR,2015,92.43243243243244,Francia
FR,2016,92.70270270270271,Francia
FR,2017,94.95495495495496,Francia
FR,2018,95.4954954954955,Francia
FR,2019,95.94594594594594,Francia
FR,2020,85.4054054054054,Francia
FR,2021,90.09009009009009,Francia
FR,2022,90.8108108108108,Francia
FR,2023,91.44144144144144,Francia
FR,2024,91.7117117117117,Francia
FR,2025,92.34234234234235,Francia
IT,2000,100,Italia
IT,2001,99.01558654634947,Italia
IT,2002,97.7030352748154,Italia
IT,2003,96.96472518457752,Italia
IT,2004,96.88269073010663,Italia
IT,2005,96.14438063986874,Italia
IT,2006,99.58982772764561,Italia
IT,2007,101.31255127153405,Italia
IT,2008,97.86710418375716,Italia
IT,2009,79.49138638228057,Italia
IT,2010,84.82362592288762,Italia
IT,2011,85.89007383100902,Italia
IT,2012,80.47579983593108,Italia
IT,2013,77.93273174733388,Italia
IT,2014,77.44052502050862,Italia
IT,2015,78.34290401968826,Italia
IT,2016,79.81952420016405,Italia
IT,2017,82.69073010664478,Italia
IT,2018,83.42904019688268,Italia
IT,2019,82.52666119770302,Italia
IT,2020,73.01066447908121,Italia
IT,2021,82.03445447087776,Italia
IT,2022,82.28055783429039,Italia
IT,2023,80.63986874487284,Italia
IT,2024,77.44052502050862,Italia
IT,2025,77.19442165709597,Italia
