geo,anno,va_reale,occupati,va_per_occ,base,indice,paese
DE,2000,486063.4,7840,61.997882653061225,61.997882653061225,100,Germania
DE,2001,493213.2,7853,62.80570482618108,61.997882653061225,101.30298348677552,Germania
DE,2002,479035.9,7684,62.341996356064556,61.997882653061225,100.55504105669057,Germania
DE,2003,484413.5,7484,64.72654997327632,61.997882653061225,104.40122662814899,Germania
DE,2004,503418.5,7368,68.32498642779588,61.997882653061225,110.20535460886782,Germania
DE,2005,511607.1,7244,70.62494478188846,61.997882653061225,113.91509154772928,Germania
DE,2006,555911.4,7165,77.58707606420099,61.997882653061225,125.14471905174011,Germania
DE,2007,581088.4,7274,79.8856750068738,61.997882653061225,128.85226331665592,Germania
DE,2008,569111,7457,76.31902910017433,61.997882653061225,123.09941216420879,Germania
DE,2009,455753.2,7278,62.62066501786205,61.997882653061225,101.0045219903491,Germania
DE,2010,544972.8,7142,76.30534864183703,61.997882653061225,123.07734615525511,Germania
DE,2011,594104.7,7285,81.55177762525737,61.997882653061225,131.53961737954717,Germania
DE,2012,583777.2,7413,78.75046539862403,61.997882653061225,127.02121754594408,Germania
DE,2013,583471.7,7438,78.44470287711749,61.997882653061225,126.52803534612997,Germania
DE,2014,615920.7,7481,82.3313327095308,61.997882653061225,132.79700723048094,Germania
DE,2015,621665,7512,82.75625665601704,61.997882653061225,133.48239184089434,Germania
DE,2016,645864.3,7534,85.72661268914256,61.997882653061225,138.27345228685758,Germania
DE,2017,667252.5,7603,87.7617387873208,61.997882653061225,141.5560258379041,Germania
DE,2018,675624.5,7731,87.39160522571466,61.997882653061225,140.9590158340667,Germania
DE,2019,666152.6,7773,85.70083622796861,61.997882653061225,138.23187592961614,Germania
DE,2020,611093.1,7586,80.55537832849987,61.997882653061225,129.9324668542085,Germania
DE,2021,666824.8,7470,89.26704149933066,61.997882653061225,143.98401635563434,Germania
DE,2022,680146.6,7486,90.85581084691424,61.997882653061225,146.54663507678373,Germania
DE,2023,669330.3,7489,89.37512351448792,61.997882653061225,144.15834814009557,Germania
DE,2024,640670,7413,86.42519897477405,61.997882653061225,139.40024284120724,Germania
DE,2025,634375.7,7251,87.48802923734657,61.997882653061225,141.11454374486888,Germania
ES,2000,132137.9,2898.3,45.59151916640789,45.59151916640789,100,Spagna
ES,2001,136272.9,2884.2,47.2480757229041,45.59151916640789,103.63347523132495,Spagna
ES,2002,136087.1,2848.9,47.76829653550493,45.59151916640789,104.77452256230345,Spagna
ES,2003,137553.4,2837.6,48.47526078376092,45.59151916640789,106.32517115042262,Spagna
ES,2004,137616.8,2838,48.4907681465821,45.59151916640789,106.3591848510071,Spagna
ES,2005,138694.3,2830.2,49.005123312840084,45.59151916640789,107.48736652966669,Spagna
ES,2006,141239.8,2787.9,50.661716704329415,45.59151916640789,111.12092255451158,Spagna
ES,2007,141978.4,2728.9,52.027703470262736,45.59151916640789,114.11706479962412,Spagna
ES,2008,137934,2697.4,51.13590865277675,45.59151916640789,112.1610106171983,Spagna
ES,2009,122164.2,2352.9,51.92069361213821,45.59151916640789,113.88235040519048,Spagna
ES,2010,121248.1,2241.6,54.089980371163456,45.59151916640789,118.64044313534802,Spagna
ES,2011,119802.7,2149.6,55.73255489393376,45.59151916640789,122.24325030826752,Spagna
ES,2012,112944.5,1991.8,56.70473943166985,45.59151916640789,124.3756305305357,Spagna
ES,2013,111520,1891.5,58.95849854612741,45.59151916640789,129.31900411330972,Spagna
ES,2014,113942.3,1874.4,60.788679043960734,45.59151916640789,133.33330442901803,Spagna
ES,2015,119732,1925.9,62.169375356975955,45.59151916640789,136.3617104533396,Spagna
ES,2016,121722,1997.8,60.9280208229052,45.59151916640789,133.63893534786473,Spagna
ES,2017,130000.2,2053.7,63.30048205677558,45.59151916640789,138.84266901861818,Spagna
ES,2018,128533.9,2098.4,61.25328821959588,45.59151916640789,134.35237372991,Spagna
ES,2019,129335.9,2156.1,59.98603960855248,45.59151916640789,131.57280280484832,Spagna
ES,2020,111060.5,2067,53.730285437832606,45.59151916640789,117.85149172528871,Spagna
ES,2021,126509.5,2059.8,61.418341586561795,45.59151916640789,134.71440019883173,Spagna
ES,2022,134735.1,2112,63.79502840909091,45.59151916640789,139.92740223514087,Spagna
ES,2023,135606.9,2148.8,63.10819992553983,45.59151916640789,138.4209192398185,Spagna
ES,2024,139154.6,2201.5,63.2089938678174,45.59151916640789,138.64199970416905,Spagna
ES,2025,141972.9,2279.2,62.29067216567217,45.59151916640789,136.62776170785799,Spagna
EU27_2020,2000,1540015.6,33806.18,45.55426256382709,45.55426256382709,100,Unione europea
EU27_2020,2001,1564658.9,33727.09,46.39175511436059,45.55426256382709,101.83845046193005,Unione europea
EU27_2020,2002,1560755.7,33237.43,46.95777320930048,45.55426256382709,103.08096447287869,Unione europea
EU27_2020,2003,1577372,32744.29,48.172429452585476,45.55426256382709,105.74735873528853,Unione europea
EU27_2020,2004,1629331.6,32234.21,50.546658348382046,45.55426256382709,110.95922862884674,Unione europea
EU27_2020,2005,1663262.1,31949.15,52.059666689098144,45.55426256382709,114.2805607184535,Unione europea
EU27_2020,2006,1761586.1,31971.97,55.09782787860742,45.55426256382709,120.9498843306016,Unione europea
EU27_2020,2007,1836745.7,32275.98,56.90751140631516,45.55426256382709,124.92247312000887,Unione europea
EU27_2020,2008,1804743.8,32439.23,55.63460661674152,45.55426256382709,122.12821256581783,Unione europea
EU27_2020,2009,1545208.1,30378.1,50.86585731168178,45.55426256382709,111.65992916779742,Unione europea
EU27_2020,2010,1700102.3,29138.94,58.3446858396359,45.55426256382709,128.07733580998675,Unione europea
EU27_2020,2011,1785230.3,29242.67,61.04881325816008,45.55426256382709,134.013393746904,Unione europea
EU27_2020,2012,1741647.9,29019.12,60.017254141407456,45.55426256382709,131.74893141408216,Unione europea
EU27_2020,2013,1731257.3,28728.29,60.26315175737923,45.55426256382709,132.28872198939274,Unione europea
EU27_2020,2014,1794360.8,28824.88,62.250417000868694,45.55426256382709,136.65113536553963,Unione europea
EU27_2020,2015,1870018.9,28935.56,64.62701603148513,45.55426256382709,141.86820814174038,Unione europea
EU27_2020,2016,1916829.7,29401.31,65.1953841512504,45.55426256382709,143.11588089018827,Unione europea
EU27_2020,2017,1992505.8,29894.61,66.65100498049648,45.55426256382709,146.311236818092,Unione europea
EU27_2020,2018,2038387.8,30314.72,67.24085856639942,45.55426256382709,147.60607412355048,Unione europea
EU27_2020,2019,2053316.1,30519.31,67.27924386232847,45.55426256382709,147.6903369208579,Unione europea
EU27_2020,2020,1910133.5,29733.92,64.24089053848266,45.55426256382709,141.02059153843908,Unione europea
EU27_2020,2021,2102845,29705.82,70.78899017094966,45.55426256382709,155.3948767621156,Unione europea
EU27_2020,2022,2192250.8,30088.55,72.859968326822,45.55426256382709,159.9410554055974,Unione europea
EU27_2020,2023,2152780,30081.06,71.56596210372905,45.55426256382709,157.1004733167536,Unione europea
EU27_2020,2024,2138407.7,30096.49,71.05173061709189,45.55426256382709,155.97164045305252,Unione europea
EU27_2020,2025,2191899.9,29876.24,73.36598916061726,45.55426256382709,161.05186437344375,Unione europea
FR,2000,206994.1,3509,58.98948418352807,58.98948418352807,100,Francia
FR,2001,209146.1,3524,59.34906356413167,58.98948418352807,100.60956522265032,Francia
FR,2002,208249.8,3460,60.18780346820809,58.98948418352807,102.03141170204472,Francia
FR,2003,213135.5,3385,62.96469719350074,58.98948418352807,106.73885026287904,Francia
FR,2004,218402.9,3272,66.74905256723716,58.98948418352807,113.1541553399035,Francia
FR,2005,222192,3201,69.41330834114339,58.98948418352807,117.67064808565664,Francia
FR,2006,228133.3,3138,72.70022307202039,58.98948418352807,123.24268312948028,Francia
FR,2007,233315.1,3103,75.190170802449245,58.98948418352807,127.4636858469852,Francia
FR,2008,226250.3,3067,73.76925334202804,58.98948418352807,125.05492184423439,Francia
FR,2009,211315.8,2921,72.34364943512496,58.98948418352807,122.63821329586374,Francia
